name,label,predict,summary,description,人工初判
libinput-utils,库,工具, Utilities and tools for debugging libinput," The libinput-utils package contains tools to debug hardware and analyze
libinput.",unknown
perl-Unicode-EastAsianWidth,库,工具, East Asian Width properties," This module provide user-defined Unicode properties that deal with width
status of East Asian characters, as specified in
<http://www.unicode.org/unicode/reports/tr11/>.",库
xerces-j2,库,工具, Java XML parser," Welcome to the future! Xerces2 is the next generation of high performance,
fully compliant XML parsers in the Apache Xerces family. This new version of
Xerces introduces the Xerces Native Interface (XNI), a complete framework for
building parser components and configurations that is extremely modular and
easy to program.

The Apache Xerces2 parser is the reference implementation of XNI but other
parser components, configurations, and parsers can be written using the Xerces
Native Interface. For complete design and implementation documents, refer to
the XNI Manual.

Xerces2 is a fully conforming XML Schema processor. For more information,
refer to the XML Schema page.

Xerces2 also provides a complete implementation of the Document Object Model
Level 3 Core and Load/Save W3C Recommendations and provides a complete
implementation of the XML Inclusions (XInclude) W3C Recommendation. It also
provides support for OASIS XML Catalogs v1.1.

Xerces2 is able to parse documents written according to the XML 1.1
Recommendation, except that it does not yet provide an option to enable
normalization checking as described in section 2.13 of this specification. It
also handles name spaces according to the XML Namespaces 1.1 Recommendation,
and will correctly serialize XML 1.1 documents if the DOM level 3 load/save
APIs are in use.",库
perl-Thread-Queue,库,服务, Thread-safe queues," This module provides thread-safe FIFO queues that can be accessed safely by
any number of threads.",库
elfutils-libelf-devel-static,库,服务, Static archive of libelf," The elfutils-libelf-static package contains the static archive
for libelf.",库
libguestfs-gfs2,库,服务, GFS2 support for libguestfs," This adds GFS2 support to libguestfs.  Install it if you want to process
disk images containing GFS2.",库
libreoffice-opensymbol-fonts,库,其它, LibreOffice dingbats font," A dingbats font, OpenSymbol, suitable for use by LibreOffice for bullets and
mathematical symbols.",其它
rrdtool-tcl,库,工具, Tcl RRDtool bindings, The rrdtool-tcl package includes RRDtool bindings for Tcl.,库
libproxy-bin,库,工具, Binary to test libproxy, The libproxy-bin package contains the proxy binary for libproxy,库
libreoffice-filters,库,服务, All import / export filters," Metapackage to pull in all subpackages that contain import or export
filters.",库
qt5-qtbase,库,工具, Qt5 - QtBase components," Qt is a software toolkit for developing applications.

This package contains base tools, like string, xml, and network
handling.",库
perl-Pod-Escapes,库,服务, Resolve POD escape sequences, This module provides things that are useful in decoding Pod E<...> sequences.,库
system-config-printer-udev,库,工具, Rules for udev for automatic configuration of USB printers," The udev rules and helper programs for automatically configuring USB
printers.",库
libguestfs-rescue,库,工具, Additional tools for virt-rescue," This adds additional tools to use inside the virt-rescue shell,
such as ssh, network utilities, editors and debugging utilities.",库
jack-audio-connection-kit,库,服务, The Jack Audio Connection Kit," JACK is a low-latency audio server, written primarily for the Linux operating
system. It can connect a number of different applications to an audio device, as
well as allowing them to share audio between themselves. Its clients can run in
their own processes (i.e. as a normal application), or can they can run within a
JACK server (i.e. a ""plugin"").

JACK is different from other audio server efforts in that it has been designed
from the ground up to be suitable for professional audio work. This means that
it focuses on two key areas: synchronous execution of all clients, and low
latency operation.",库
python3-pcp,库,服务, Performance Co-Pilot (PCP) Python3 bindings and documentation," This python PCP module contains the language bindings for
Performance Metric API (PMAPI) monitor tools and Performance
Metric Domain Agent (PMDA) collector tools written in Python3.",库
librepository,库,服务, Hierarchical repository abstraction layer," LibRepository provides a simple abstraction layer to access bulk content that
is organized in a hierarchical layer.",库
ant-contrib,库,工具, Collection of tasks for Ant," The Ant-Contrib project is a collection of tasks
(and at one point maybe types and other tools)
for Apache Ant.",库
at-spi2-core,库,服务, Protocol definitions and daemon for D-Bus at-spi," at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol.",服务
sssd-ad,库,服务, The AD back end of the SSSD," Provides the Active Directory back end that the SSSD can utilize to fetch
identity data from and authenticate against an Active Directory server.",库
sisu-inject,库,其它, Sisu inject, This package contains Sisu inject.,库
libkkc-data,库,工具, Language model data for libkkc," The libkkc-data package contains the language model data that libkkc uses
at run time.",库
libreoffice-help-pt-BR,库,服务, Brazilian help for LibreOffice, Provides Brazilian help for LibreOffice.,库
rust-srpm-macros,库,工具, RPM macros for building Rust source packages, RPM macros for building Rust source packages.,库
webkit2gtk3-jsc,库,服务, JavaScript engine from webkit2gtk3, This package contains JavaScript engine from webkit2gtk3.,库
librdmacm,库,服务, Userspace RDMA Connection Manager, librdmacm provides a userspace RDMA Communication Management API.,库
bsdcpio,库,工具, Copy files to and from archives," The bsdcpio package contains standalone bsdcpio utility split off regular
libarchive packages.",库
owasp-java-encoder,库,工具, Collection of high-performance low-overhead contextual encoders," The OWASP Encoders package is a collection of high-performance low-overhead
contextual encoders, that when utilized correctly, is an effective tool in
preventing Web Application security vulnerabilities such as
Cross-Site Scripting.",库
lz4-libs,库,其它, Libaries for lz4, This package contains the libaries for lz4.,库
clucene-core,库,工具, Core clucene module," CLucene is a C++ port of the popular Apache Lucene search engine
(http://lucene.apache.org/java).
CLucene aims to be a high-speed alternative to Java Lucene, its API is very
similar to that of the Java version. CLucene has recently been brought up to
date with Lucene 2.3.2. It contains most of the same functionality as the Java version.",库
qatengine,库,服务, Intel QuickAssist Technology (QAT) OpenSSL Engine," This package provides the Intel QuickAssist Technology OpenSSL Engine
(an OpenSSL Plug-In Engine) which provides cryptographic acceleration
for both hardware and optimized software using Intel QuickAssist Technology
enabled Intel platforms.",库
perl-Net-SMTP-SSL,库,服务, SSL support for Net::SMTP," Implements the same API as Net::SMTP, but uses IO::Socket::SSL for its
network operations.",库
boost-examples,库,工具, Source examples for the Boost C++ libraries, This package contains example source files distributed with boost.,库
cyrus-sasl-ntlm,库,服务,NTLM authentication support for Cyrus SASL ,"The cyrus-sasl-ntlm package contains the Cyrus SASL plugin which supports
the NTLM authentication scheme. ",库
libproxy-gnome,库,工具, Plugin for libproxy and gnome, The libproxy-gnome package contains the libproxy plugin for gnome.,库
gstreamer1-plugins-bad-free,库,工具," GStreamer streaming media framework ""bad"" plugins"," GStreamer is a streaming media framework, based on graphs of elements which
operate on media data.

This package contains plug-ins that aren't tested well enough, or the code
is not of good enough quality.",库
perl-Module-Pluggable,库,服务, Automatically give your module the ability to have plugins," This package provides a simple but, hopefully, extensible way of having
'plugins' for your module. Essentially all it does is export a method into
your name space that looks through a search path for .pm files and turn those
into class names. Optionally it instantiates those classes for you.",库
bsdcat,库,工具, Expand files to standard output," The bsdcat program typically takes a filename as an argument or reads standard
input when used in a pipe.  In both cases decompressed data it written to
standard output.",库
nmstate-plugin-ovsdb,库,服务, nmstate plugin for OVS database manipulation, This package contains the nmstate plugin for OVS database manipulation.,库
perl-Pod-Html,库,工具, Convert POD files to HTML," This package converts files from POD format (see perlpod) to HTML format. It
can automatically generate indexes and cross-references, and it keeps a cache
of things it knows how to cross-reference.",库
libdhash,库,服务, Dynamic hash table," A hash table which will dynamically resize to achieve optimal storage & access
time properties",库
perl-Text-WrapI18N,库,工具, Line wrapping with support for several locale setups," This is a module which intends to substitute Text::Wrap,
which supports internationalized texts including:
 - multi-byte encodings such as UTF-8, EUC-JP, EUC-KR, GB2312, and Big5,
 - full width characters like east Asian characters which appear in
   UTF-8, EUC-JP, EUC-KR, GB2312, Big5, and so on,
 - combining characters like diacritical marks which appear in UTF-8,
   ISO-8859-11 (aka TIS-620), and so on, and
 - languages which don't use white spaces between words, like Chinese
   and Japanese.",库
libreoffice-help-el,库,服务, Greek help for LibreOffice, Provides Greek help for LibreOffice.,库
python38-numpy-f2py,库,工具, f2py for numpy, This package includes a version of f2py that works properly with NumPy.,库
php-pecl-xdebug3,库,工具, Provides functions for function traces and profiling," The Xdebug extension helps you debugging your script by providing a lot of
valuable debug information. The debug information that Xdebug can provide
includes the following:

* stack and function traces in error messages with:
  o full parameter display for user defined functions
  o function name, file name and line indications
  o support for member functions
* memory allocation
* protection for infinite recursions

Xdebug also provides:

* profiling information for PHP scripts
* code coverage analysis
* capabilities to debug your scripts interactively with a debug client

Documentation: https://xdebug.org/docs/",库
dotnet-sdk-5.0-source-built-artifacts,库,工具, Internal package for building .NET 5.0 Software Development Kit," The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use.",库
js-d3-flame-graph,库,服务, A D3.js plugin that produces flame graphs, A D3.js plugin that produces flame graphs from hierarchical data.,库
qt5-qtlocation,库,工具, Qt5 - Location component," The Qt Location and Qt Positioning APIs gives developers the ability to
determine a position by using a variety of possible sources, including
satellite, or wifi, or text file, and so on.",库
rubygem-rake,库,工具, Ruby based make-like utility," Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.",unknown
libglvnd-gles,库,服务, GLES support for libglvnd, libGLESv[12] are the common dispatch interface for the GLES API.,库
perl-Text-CharWidth,库,服务, Get number of occupied columns of a string on terminal," This is a module to provide equivalent feature as wcwidth(3) and
wcswidth(3). This also provides mblen(3) equivalent subroutine.",库
CUnit,库,服务, Unit testing framework for C," CUnit is a lightweight system for writing, administering,
and running unit tests in C.  It provides C programmers a basic
testing functionality with a flexible variety of user interfaces.",库
maven-resolver-api,库,工具, Maven Artifact Resolver API, The application programming interface for the repository system.,库
libreport-cli,库,工具, libreport's command line interface," This package contains simple command line tool for working
with problem dump reports",工具
x265,库,服务, H.265/HEVC encoder," The primary objective of x265 is to become the best H.265/HEVC encoder
available anywhere, offering the highest compression efficiency and the highest
performance on a wide variety of hardware platforms.

This package contains the command line encoder.",库
pango,库,其它, System for layout and rendering of internationalized text," Pango is a library for laying out and rendering of text, with an emphasis
on internationalization. Pango can be used anywhere that text layout is needed,
though most of the work on Pango so far has been done in the context of the
GTK+ widget toolkit. Pango forms the core of text and font handling for GTK+.

Pango is designed to be modular; the core Pango layout engine can be used
with different font backends.

The integration of Pango with Cairo provides a complete solution with high
quality text handling and graphics rendering.",库
cyrus-sasl-md5,库,服务,CRAM-MD5 and DIGEST-MD5 authentication support for Cyrus SASL ,"The cyrus-sasl-md5 package contains the Cyrus SASL plugins which support
CRAM-MD5 and DIGEST-MD5 authentication schemes. ",库
perl-Net-Ping,库,服务, Check a remote host for reachability," Net::Ping module contains methods to test the reachability of remote hosts on
a network.",库
qt5-qtvirtualkeyboard,库,工具, Qt5 - VirtualKeyboard component," The Qt Virtual Keyboard project provides an input framework and reference keyboard frontend
for Qt 5.  Key features include:
* Customizable keyboard layouts and styles with dynamic switching.
* Predictive text input with word selection.
* Character preview and alternative character view.
* Automatic capitalization and space insertion.
* Scalability to different resolutions.
* Support for different character sets (Latin, Simplified/Traditional Chinese, Hindi, Japanese, Arabic, Korean, and others).
* Support for most common input languages, with possibility to easily extend the language support.
* Left-to-right and right-to-left input.
* Hardware key support for 2-way and 5-way navigation.
* Handwriting support, with gestures for fullscreen input.
* Audio feedback.",库
qt5-qttools,库,工具, Qt5 - QtTool components, Qt5 - QtTool components.,库
jetty-io,库,服务, io module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains io module for Jetty.",库
papi-testsuite,库,工具, Set of tests for checking PAPI functionality," PAPI-testsuite includes compiled versions of papi tests to ensure
that PAPI functions on particular hardware.",库
qt5-srpm-macros,库,工具, RPM macros for source Qt5 packages, RPM macros for source Qt5 packages.,库
xorriso,库,工具, ISO-9660 and Rock Ridge image manipulation tool," Xorriso is a program which copies file objects from POSIX compliant
filesystems into Rock Ridge enhanced ISO-9660 filesystems and allows
session-wise manipulation of such filesystems. It can load management
information of existing ISO images and it writes the session results
to optical media or to filesystem objects. Vice versa xorriso is able
to copy file objects out of ISO-9660 filesystems.

Filesystem manipulation capabilities surpass those of mkisofs. Xorriso
is especially suitable for backups, because of its high fidelity of
file attribute recording and its incremental update sessions. Optical
supported media: CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+R DL, DVD+RW,
DVD-RAM, BD-R and BD-RE.",unknown
openpgm,库,服务, An implementation of the PGM reliable multicast protocol," OpenPGM is an open source implementation of the Pragmatic General
Multicast (PGM) specification in RFC 3208.",库
libdatrie,库,服务, Implementation of Double-Array structure for representing trie," datrie is an implementation of double-array structure for representing trie.

Trie is a kind of digital search tree, an efficient indexing method with O(1)
time complexity for searching. Comparably as efficient as hashing, trie also
provides flexibility on incremental matching and key spelling manipulation.
This makes it ideal for lexical analyzers, as well as spelling dictionaries.

Details of the implementation: http://linux.thai.net/~thep/datrie/datrie.html",库
postgres-decoderbufs,库,服务, PostgreSQL Protocol Buffers logical decoder plugin," A PostgreSQL logical decoder output plugin to deliver data
as Protocol Buffers messages.",库
perl-IO-HTML,库,工具, Open an HTML file with automatic character set detection," IO::HTML provides an easy way to open a file containing HTML while
automatically determining its encoding. It uses the HTML5 encoding sniffing
algorithm specified in section 8.2.2.1 of the draft standard.",库
system-config-printer-libs,库,工具, Libraries and shared code for printer administration tool," The common code used by both the graphical and non-graphical parts of
the configuration tool.",库
vapoursynth-plugins,库,服务, VapourSynth plugins, VapourSynth plugins.,库
speech-dispatcher-espeak-ng,库,服务, Speech Dispatcher espeak-ng module, This package contains the espeak-ng output module for Speech Dispatcher.,库
nss_db,库,服务,Name Service Switch (NSS) module using hash-indexed files ,"The nss_db Name Service Switch module uses hash-indexed files in /var/db
to speed up user, group, service, host name, and other NSS-based lookups. ",库
man-pages-overrides,库,工具, Complementary and updated manual pages," A collection of manual (""man"") pages to complement other packages or update
those contained therein. Always have the latest version of this package
installed.",库
ffmpeg,库,服务, Digital VCR and streaming server," FFmpeg is a complete and free Internet live audio and video
broadcasting solution for Linux/Unix. It also includes a digital
VCR. It can encode in real time in many formats including MPEG1 audio
and video, MPEG4, h263, ac3, asf, avi, real, mjpeg, and flash.",库
postgresql-jdbc,库,服务, JDBC driver for PostgreSQL," PostgreSQL is an advanced Object-Relational database management
system. The postgresql-jdbc package includes the .jar files needed for
Java programs to access a PostgreSQL database.",库
python2-pluggy,库,服务, The plugin manager stripped of pytest specific details, The plugin manager stripped of pytest specific details.,库
libreoffice-help-cs,库,服务, Czech help for LibreOffice, Provides Czech help for LibreOffice.,库
libknet1-compress-zlib-plugin,库,服务, Libknet1 zlib support, zlib compression support for libknet1.,库
perl,库,工具, Practical Extraction and Report Language," Perl is a high-level programming language with roots in C, sed, awk and shell
scripting. Perl is good at handling processes and files, and is especially
good at handling text. Perl's hallmarks are practicality and efficiency.
While it is used to do a lot of different things, Perl's most common
applications are system administration utilities and web programming.

This is a metapackage with all the Perl bits and core modules that can be
found in the upstream tarball from perl.org.

If you need only a specific feature, you can install a specific package
instead. E.g. to handle Perl scripts with /usr/bin/perl interpreter,
install perl-interpreter package. See perl-interpreter description for more
details on the Perl decomposition into packages.",库
perl-XML-RegExp,库,服务, Regular expressions for XML tokens," This package contains an utility module containing regular expressions
for the following XML tokens: BaseChar, Ideographic, Letter, Digit,
Extender, CombiningChar, NameChar, EntityRef, CharRef, Reference,
Name, NmToken, and AttValue.",库
ldb-tools,库,工具,Tools to manage LDB files ,Tools to manage LDB files ,工具
libguestfs-rsync,库,服务, rsync support for libguestfs," This adds rsync support to libguestfs.  Install it if you want to use
rsync to upload or download files into disk images.",库
qt5-qtxmlpatterns,库,服务, Qt5 - QtXmlPatterns component," The Qt XML Patterns module provides support for XPath, XQuery, XSLT,
and XML Schema validation.",库
perl-Pod-LaTeX,库,工具, Convert POD data to formatted LaTeX," Pod::LaTeX is a module to convert documentation in the POD format into
LaTeX. A pod2latex replacement command is provided.",库
libjpeg-turbo-utils,库,工具, Utilities for manipulating JPEG images," The libjpeg-turbo-utils package contains simple client programs for accessing
the libjpeg functions. It contains cjpeg, djpeg, jpegtran, rdjpgcom and
wrjpgcom. Cjpeg compresses an image file into JPEG format. Djpeg decompresses a
JPEG file into a regular image file. Jpegtran can perform various useful
transformations on JPEG files. Rdjpgcom displays any text comments included in a
JPEG file. Wrjpgcom inserts text comments into a JPEG file.",工具
libreoffice-help-es,库,服务, Spanish help for LibreOffice, Provides Spanish help for LibreOffice.,库
perl-Pod-Coverage,库,服务, Checks if the documentation of a module is comprehensive," Developers hate writing documentation.  They'd hate it even more if their
computer tattled on them, but maybe they'll be even more thankful in the
long run.  Even if not, perlmodstyle tells you to, so you must obey.

This module provides a mechanism for determining if the pod for a given
module is comprehensive.",库
libguestfs-appliance,库,服务, Appliance for libguestfs, libguestfs-appliance provides the appliance used by libguestfs.,库
libreoffice-help-lt,库,服务, Lithuanian help for LibreOffice, Provides Lithuanian help for LibreOffice.,库
libquvi-scripts,库,服务, Embedded lua scripts for parsing the media details," libquvi-scripts contains the embedded lua scripts that libquvi
uses for parsing the media details. Some additional utility
scripts are also included.",库
php-odbc,库,服务, A module for PHP applications that use ODBC databases," The php-odbc package contains a dynamic shared object that will add
database support through ODBC to PHP. ODBC is an open specification
which provides a consistent API for developers to use for accessing
data sources (which are often, but not always, databases). PHP is an
HTML-embeddable scripting language. If you need ODBC support for PHP
applications, you will need to install this package and the php
package.",库
perl-Text-Diff,库,工具, Perform diffs on files and record sets," Text::Diff provides a basic set of services akin to the GNU diff utility.
It is not anywhere near as feature complete as GNU diff, but it is better
integrated with Perl and available on all platforms. It is often faster
than shelling out to a system's diff executable for small files, and
generally slower on larger files.",库
galera,库,工具, Synchronous multi-master wsrep provider (replication engine)," Galera is a fast synchronous multi-master wsrep provider (replication engine)
for transactional databases and similar applications. For more information
about wsrep API see http://launchpad.net/wsrep. For a description of Galera
replication engine see http://www.codership.com.",库
wavpack,库,工具, A completely open audiocodec," WavPack is a completely open audio compression format providing lossless,
high-quality lossy, and a unique hybrid compression mode. Although the
technology is loosely based on previous versions of WavPack, the new
version 4 format has been designed from the ground up to offer unparalleled
performance and functionality.",库
libreoffice-help-nb,库,服务, Bokmal help for LibreOffice, Provides Bokmal help for LibreOffice.,库
rubygem-rspec-mocks,库,服务, RSpec's 'test double' framework (mocks and stubs)," rspec-mocks provides a test-double framework for rspec including support
for method stubs, fakes, and message expectations.",库
gupnp-av,库,工具, A collection of helpers for building UPnP AV applications," GUPnP is an object-oriented open source framework for creating UPnP
devices and control points, written in C using GObject and libsoup.
The GUPnP API is intended to be easy to use, efficient and flexible.

GUPnP-AV is a collection of helpers for building AV (audio/video)
applications using GUPnP.",库
mariadb-connector-c-config,库,工具, Configuration files for packages that use /etc/my.cnf as a configuration file," This package delivers /etc/my.cnf that includes other configuration files
from the /etc/my.cnf.d directory and ships this directory as well.
Other packages should only put their files into /etc/my.cnf.d directory
and require this package, so the /etc/my.cnf file is present.",库
libproxy-networkmanager,库,服务, Plugin for libproxy and networkmanager," The libproxy-networkmanager package contains the libproxy plugin
for networkmanager.",库
rootfiles,库,工具,The basic required files for the root user's directory ,"The rootfiles package contains basic required files that are placed
in the root user's account.  These files are basically the same
as those in /etc/skel, which are placed in regular
users' home directories. ",库
perl-libnetcfg,库,工具, Configure libnet, The libnetcfg utility can be used to configure the libnet.,库
log4j12,库,工具, Java logging package," Log4j is a tool to help the programmer output log statements to a
variety of output targets.",库
perl-SUPER,库,服务, Sane superclass method dispatcher," When subclassing a class, you occasionally want to dispatch control to the
superclass - at least conditionally and temporarily. This module provides
an easier, cleaner way for class methods to access their ancestor's
implementation.",库
php-process,库,服务, Modules for PHP script using system process interfaces," The php-process package contains dynamic shared objects which add
support to PHP using system interfaces for inter-process
communication.",库
jaf,库,服务, JavaBeans Activation Framework," The JavaBeans Activation Framework (JAF) is a standard extension to the
Java platform that lets you take advantage of standard services to:
determine the type of an arbitrary piece of data; encapsulate access to it;
discover the operations available on it; and instantiate the appropriate
bean to perform the operation(s).",库
lua-srpm-macros,库,工具, RPM macros for building Lua source packages, RPM macros for building Lua source packages.,库
jetty-server,库,服务, server module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains server module for Jetty.",库
python3-humanize,库,工具," Turns dates in to human readable format, e.g '3 minutes ago'"," This modest package contains various common humanization utilities, like turning
a number into a fuzzy human readable duration ('3 minutes ago') or into a human
readable size or throughput.",库
perl-WWW-RobotRules,库,服务, Database of robots.txt-derived permissions," This module parses /robots.txt files as specified in ""A Standard for Robot
Exclusion"", at <http://www.robotstxt.org/wc/norobots.html>. Webmasters can
use the /robots.txt file to forbid conforming robots from accessing parts
of their web site.",库
sssd-winbind-idmap,库,服务,SSSD's idmap_sss Backend for Winbind ,"The idmap_sss module provides a way for Winbind to call SSSD to map UIDs/GIDs
and SIDs. ",库
apache-commons-collections,库,工具," Provides new interfaces, implementations and utilities for Java Collections"," The introduction of the Collections API by Sun in JDK 1.2 has been a
boon to quick and effective Java programming. Ready access to powerful
data structures has accelerated development by reducing the need for
custom container classes around each core object. Most Java2 APIs are
significantly easier to use because of the Collections API.
However, there are certain holes left unfilled by Sun's
implementations, and the Jakarta-Commons Collections Component strives
to fulfill them. Among the features of this package are:
- special-purpose implementations of Lists and Maps for fast access
- adapter classes from Java1-style containers (arrays, enumerations) to
Java2-style collections.
- methods to test or create typical set-theory properties of collections
such as union, intersection, and closure.",库
mingw64-openssl,库,工具, MinGW port of the OpenSSL toolkit," The OpenSSL toolkit provides support for secure communications between
machines. OpenSSL includes a certificate management tool and shared
libraries which provide various cryptographic algorithms and
protocols.

This package contains Windows (MinGW) libraries and development tools.",unknown
polkit-pkla-compat,库,服务, Rules for polkit to add compatibility with pklocalauthority," A polkit JavaScript rule and associated helpers that mostly provide
compatibility with the .pkla file format supported in polkit <= 0.105 for users
of later polkit releases.",库
lucene-sandbox,库,工具, Lucene Sandbox Module, Lucene Sandbox Module.,库
python3-blockdev,库,服务, Python3 gobject-introspection bindings for libblockdev," This package contains enhancements to the gobject-introspection bindings for
libblockdev in Python3.",库
theora-tools,库,工具, Command line tools for Theora videos," The theora-tools package contains simple command line tools for use
with theora bitstreams.",工具
dovecot-pigeonhole,库,工具, Sieve and managesieve plug-in for dovecot, This package provides sieve and managesieve plug-in for dovecot LDA.,库
dbus-x11,库,工具, X11-requiring add-ons for D-BUS," D-BUS contains some tools that require Xlib to be installed, those are
in this separate package so server systems need not install X.",库
plexus-i18n,库,服务, Plexus I18N Component," The Plexus project seeks to create end-to-end developer tools for
writing applications. At the core is the container, which can be
embedded or for a full scale application server. There are many
reusable components for hibernate, form processing, jndi, i18n,
velocity, etc. Plexus also includes an application server which
is like a J2EE application server, without all the baggage.",库
net-snmp-perl,库,工具, The perl NET-SNMP module and the mib2c tool," The net-snmp-perl package contains the perl files to use SNMP from within
Perl.

Install the net-snmp-perl package, if you want to use mib2c or SNMP
with perl.",库
lucene-queries,库,工具, Lucene Queries Module, Lucene Queries Module.,库
cyrus-sasl-ldap,库,服务,LDAP auxprop support for Cyrus SASL ,"The cyrus-sasl-ldap package contains the Cyrus SASL plugin which supports using
a directory server, accessed using LDAP, for storing shared secrets. ",库
mobile-broadband-provider-info,库,服务,Mobile broadband provider database ,"The mobile-broadband-provider-info package contains listings of mobile
broadband (3G) providers and associated network and plan information. ",库
bind9.16-libs,库,服务, Libraries used by the BIND DNS packages," Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind9.16-utils package.",库
perl-experimental,库,服务, Experimental features made easy," This pragma provides an easy and convenient way to enable or disable
experimental features.",库
libstoragemgmt-megaraid-plugin,库,服务,Files for LSI MegaRAID support for libstoragemgmt ,"The libstoragemgmt-megaraid-plugin package contains the plugin for LSI
MegaRAID storage management via storcli. ",库
libreoffice-help-en,库,服务, English help for LibreOffice, Provides English help for LibreOffice.,库
redhat-lsb-desktop,库,服务, LSB Desktop module support," The Linux Standard Base (LSB) Desktop Specifications define components that are
required to be present on an LSB conforming system.",库
perl-File-HomeDir,库,服务, Find your home and other directories on any platform," File::HomeDir is a module for locating the directories that are ""owned""
by a user (typically your user) and to solve the various issues that
arise trying to find them consistently across a wide variety of
platforms.",库
GeoIP-GeoLite-data,库,工具, Free GeoLite IP geolocation country database," The GeoLite databases are free IP geolocation databases. This package contains
a database that maps IPv4 addresses to countries.

This product includes GeoLite data created by MaxMind, available from
http://www.maxmind.com/",库
libformula,库,服务, Formula Parser," LibFormula provides Excel-Style-Expressions. The implementation provided
here is very generic and can be used in any application that needs to
compute formulas.",库
appstream-data,库,服务, Cached AppStream metadata," This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers.",库
perl-HTTP-Cookies,库,服务, HTTP cookie jars," This class is for objects that represent a ""cookie jar"" -- that is, a
database of all the HTTP cookies that a given LWP::UserAgent object
knows about.",库
libverto-libevent,库,工具, libevent module for libverto, Module for libverto which provides integration with libevent.,库
gdk-pixbuf2-modules,库,服务, Additional image modules for gdk-pixbuf," This package contains the additional modules that are needed to load various
image formats such as ICO and JPEG.",库
libsvm-svm-toy-qt,库,工具, QT version of svm-toy (libsvm demonstration program)," svm-toy is a libsvm demonstration program which has a qt-GUI to
display the derived separating hyperplane.",库
perl-HTTP-Daemon,库,服务, Simple HTTP server class," Instances of the HTTP::Daemon class are HTTP/1.1 servers that listen on a
socket for incoming requests. The HTTP::Daemon is a subclass of
IO::Socket::IP, so you can perform socket operations directly on it too.",库
sblim-sfcb,库,服务, Small Footprint CIM Broker," Small Footprint CIM Broker (sfcb) is a CIM server conforming to the
CIM Operations over HTTP protocol.
It is robust, with low resource consumption and therefore specifically
suited for embedded and resource constrained environments.
sfcb supports providers written against the Common Manageability
Programming Interface (CMPI).",库
python39-pluggy,库,服务, The plugin manager stripped of pytest specific details, The plugin manager stripped of pytest specific details.,库
gnome-characters,库,服务, Character map application for GNOME," Characters is a simple utility application to find and insert unusual
characters.",库
libreoffice-help-nn,库,服务, Nynorsk help for LibreOffice, Provides Nynorsk help for LibreOffice.,库
qt5-qtwayland,库,服务, Qt5 - Wayland platform support and QtCompositor module, Qt5 - Wayland platform support and QtCompositor module.,库
libreoffice-help-si,库,服务, Sinhalese help for LibreOffice, Provides Sinhalese help for LibreOffice.,库
librsvg2-tools,库,工具, Extra tools for librsvg, This package provides extra utilities based on the librsvg library.,库
python3-nispor,库,服务, API for network status querying," 
This package contains python3 binding of nispor.",库
perl-IO-Multiplex,库,工具, Manage IO on many file handles," IO::Multiplex is designed to take the effort out of managing multiple file
handles. It is essentially a really fancy front end to the select system call.
In addition to maintaining the select loop, it buffers all input and output
to/from the file handles. It can also accept incoming connections on one or
more listen sockets.",库
perl-meta-notation,库,工具, Change nonprintable characters below 0x100 into printables," Returns a copy of the input string with the nonprintable characters below
0x100 changed into printables. Any ASCII printables or above 0xFF are
unchanged.",库
libdap,库,服务, The C++ DAP2 library from OPeNDAP," The libdap++ library contains an implementation of DAP2. This package
contains the library, dap-config, and getdap. The script dap-config
simplifies using the library in other projects. The getdap utility is a
simple command-line tool to read from DAP2 servers. It is built using the
library and demonstrates simple uses of it.",库
