name,label,summary,description,predict
google-noto-sans-buhid-fonts,其它, Sans Buhid font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Buhid.",其它
google-noto-sans-carian-fonts,其它, Sans Carian font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Carian.",其它
google-noto-sans-coptic-fonts,其它, Sans Coptic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Coptic.",其它
google-noto-sans-cypriot-fonts,其它, Sans Cypriot font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Cypriot.",其它
google-noto-sans-deseret-fonts,其它, Sans Deseret font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Deseret.",其它
google-noto-sans-egyptian-hieroglyphs-fonts,其它, Sans Egyptian Hieroglyphs font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Egyptian Hieroglyphs.",其它
google-noto-sans-ethiopic-fonts,其它, Sans Ethiopic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Ethiopic.",其它
google-noto-sans-inscriptional-pahlavi-fonts,其它, Sans Inscriptional Pahlavi font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Inscriptional Pahlavi.",其它
google-noto-sans-javanese-fonts,其它, Sans Javanese font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Javanese.",其它
google-noto-sans-kaithi-fonts,其它, Sans Kaithi font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Kaithi.",其它
google-noto-sans-khmer-ui-fonts,其它, Sans Khmer UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Khmer UI.",其它
google-noto-sans-lisu-fonts,其它, Sans Lisu font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Lisu.",其它
google-noto-sans-lycian-fonts,其它, Sans Lycian font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Lycian.",其它
google-noto-sans-malayalam-fonts,其它, Sans Malayalam font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Malayalam.",其它
google-noto-sans-mandaic-fonts,其它, Sans Mandaic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Mandaic.",其它
google-noto-sans-myanmar-ui-fonts,其它, Sans Myanmar UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Myanmar UI.",其它
google-noto-sans-ol-chiki-fonts,其它, Sans Ol Chiki font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Ol Chiki.",其它
google-noto-sans-old-italic-fonts,其它, Sans Old Italic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Old Italic.",其它
google-noto-sans-old-south-arabian-fonts,其它, Sans Old South Arabian font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Old South Arabian.",其它
google-noto-sans-old-turkic-fonts,其它, Sans Old Turkic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Old Turkic.",其它
google-noto-sans-saurashtra-fonts,其它, Sans Saurashtra font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Saurashtra.",其它
google-noto-sans-sundanese-fonts,其它, Sans Sundanese font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Sundanese.",其它
google-noto-sans-syriac-eastern-fonts,其它, Sans Syriac Eastern font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Syriac Eastern.",其它
google-noto-sans-tai-le-fonts,其它, Sans Tai Le font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tai Le.",其它
google-noto-sans-tamil-fonts,其它, Sans Tamil font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tamil.",其它
google-noto-sans-tamil-ui-fonts,其它, Sans Tamil UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tamil UI.",其它
google-noto-sans-thai-fonts,其它, Sans Thai font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Thai.",其它
google-noto-sans-tifinagh-fonts,其它, Sans Tifinagh font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tifinagh.",其它
google-noto-sans-ugaritic-fonts,其它, Sans Ugaritic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Ugaritic.",其它
google-noto-sans-ui-fonts,其它, Sans UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for UI.",其它
google-noto-serif-bengali-fonts,其它, Serif Bengali font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Bengali.",其它
google-noto-serif-fonts,其它, Serif font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font.",其它
google-noto-serif-telugu-fonts,其它, Serif Telugu font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Telugu.",其它
google-roboto-slab-fonts,其它, Google Roboto Slab fonts," Roboto has a dual nature. It has a mechanical skeleton and the forms are
largely geometric. At the same time, the font features friendly and open
curves. While some grotesks distort their letterforms to force a rigid
rhythm, Roboto doesn't compromise, allowing letters to be settled into
their natural width. This makes for a more natural reading rhythm more
commonly found in humanist and serif types.

This is the Roboto Slab family, which can be used alongside the normal
Roboto family and the Roboto Condensed family.",其它
go-toolset,应用, Package that installs go-toolset, This is the main package for go-toolset.,应用
gpgme,系统, GnuPG Made Easy - high level crypto API," GnuPG Made Easy (GPGME) is a library designed to make access to GnuPG
easier for applications.  It provides a high-level crypto API for
encryption, decryption, signing, signature verification and key
management.",系统
graphviz,应用, Graph Visualization Tools," A collection of tools for the manipulation and layout of graphs (as in nodes
and edges, not as in barcharts).",应用
graphviz-gd,应用, Graphviz plugin for renderers based on gd," Graphviz plugin for renderers based on gd.  (Unless you absolutely have to use
GIF, you are recommended to use the PNG format instead because of the better
quality anti-aliased lines provided by the cairo+pango based renderer.)",应用
groff,核心, A document formatting system," Groff is a document formatting system. Groff takes standard text and
formatting commands as input and produces formatted output. The
created documents can be shown on a display or printed on a printer.
Groff's formatting commands allow you to specify font type and size,
bold type, italic type, the number and size of columns on a page, and
more.

Groff can also be used to format man pages. If you are going to use
groff with the X Window System, you will also need to install the
groff-x11 package.",应用
grub2-common,核心, grub2 common layout," This package provides some directories which are required by various grub2
subpackages.",应用
grub2-efi-x64,核心,GRUB for EFI systems. ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for efi-x64 systems. ",核心
grub2-efi-x64-cdboot,核心,Files used to boot removeable media with EFI ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides optional components of grub used with removeable media on efi-x64 systems. ",核心
grub2-efi-x64-modules,核心,Modules used to build custom grub.efi images ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for rebuilding your own grub.efi. ",核心
grub2-tools,核心, Support tools for GRUB.," 
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of all platforms.",核心
grub2-tools-efi,核心,Support tools for GRUB. ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of EFI platforms. ",核心
gsettings-qt,应用, Qt/QML bindings for GSettings, Qt/QML bindings for GSettings.,应用
gsl,应用, The GNU Scientific Library for numerical analysis," The GNU Scientific Library (GSL) is a collection of routines for
numerical analysis, written in C.",应用
gsm,应用, Shared libraries for GSM speech compressor," Contains runtime shared libraries for libgsm, an implementation of
the European GSM 06.10 provisional standard for full-rate speech
transcoding, prI-ETS 300 036, which uses RPE/LTP (residual pulse
excitation/long term prediction) coding at 13 kbit/s.

GSM 06.10 compresses frames of 162 13-bit samples (8 kHz sampling
rate, i.e. a frame rate of 50 Hz) into 260 bits; for compatibility
with typical UNIX applications, our implementation turns frames of 160
16-bit linear samples into 33-byte frames (1650 Bytes/s).
The quality of the algorithm is good enough for reliable speaker
recognition; even music often survives transcoding in recognizable
form (given the bandwidth limitations of 8 kHz sampling rate).

The interfaces offered are a front end modelled after compress(1), and
a library API.  Compression and decompression run faster than realtime
on most SPARCstations.  The implementation has been verified against the
ETSI standard test patterns.",应用
gssdp,应用, Resource discovery and announcement over SSDP," GSSDP implements resource discovery and announcement over SSDP and is part
of gUPnP.  GUPnP is an object-oriented open source framework for creating
UPnP devices and control points, written in C using GObject and libsoup. The
GUPnP API is intended to be easy to use, efficient and flexible.",应用
gstreamer,应用, GStreamer streaming media framework runtime," GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plugins.",应用
gstreamer1,应用, GStreamer streaming media framework runtime," GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plugins.",系统
gstreamer1-plugins-good-gtk,应用," GStreamer ""good"" plugins gtk plugin"," GStreamer is a streaming media framework, based on graphs of elements which
operate on media data.

GStreamer Good Plugins is a collection of well-supported plugins of
good quality and under the LGPL license.

This package (gstreamer1-plugins-good-gtk) contains the gtksink output plugin.",应用
gtest,应用, Google C++ testing framework," Framework for writing C++ tests on a variety of platforms (GNU/Linux,
Mac OS X, Windows, Windows CE, and Symbian). Based on the xUnit
architecture. Supports automatic test discovery, a rich set of
assertions, user-defined assertions, death tests, fatal and non-fatal
failures, various options for running the tests, and XML test report
generation.",应用
gtk2-immodule-xim,应用, XIM support for GTK+, The gtk2-immodule-xim package contains XIM support for GTK+.,应用
gtkspell,应用, On-the-fly spell checking for GtkTextView widgets," GtkSpell provides word-processor-style highlighting and replacement of
misspelled words in a GtkTextView widget as you type. Right-clicking a
misspelled word pops up a menu of suggested replacements.",应用
gvnc,应用, A GObject for VNC connections," gvnc is a GObject for managing a VNC connection. It provides all the
infrastructure required to build a VNC client without having to deal
with the raw protocol itself.",应用
guile,系统, A GNU implementation of Scheme for application extensibility," GUILE (GNU's Ubiquitous Intelligent Language for Extension) is a library
implementation of the Scheme programming language, written in C.  GUILE
provides a machine-independent execution platform that can be linked in
as a library during the building of extensible programs.

Install the guile package if you'd like to add extensibility to programs
that you are developing.",系统
gupnp-av,系统, A collection of helpers for building UPnP AV applications," GUPnP is an object-oriented open source framework for creating UPnP
devices and control points, written in C using GObject and libsoup.
The GUPnP API is intended to be easy to use, efficient and flexible.

GUPnP-AV is a collection of helpers for building AV (audio/video)
applications using GUPnP.",系统
gupnp-igd,系统, Library to handle UPnP IGD port mapping, gupnp-igd is a library to handle UPnP IGD port mapping.,应用
gutenprint-libs-ui,应用, libgutenprintui2 library," This package includes libgutenprintui2 library, which contains
GTK+ widgets, which may be used for print dialogs etc.",应用
gvfs,系统, Backends for the gio framework in GLib," The gvfs package provides backend implementations for the gio
framework in GLib. It includes ftp, sftp, cifs.",系统
gvfs-afc,系统, AFC support for gvfs," This package provides support for reading files on mobile devices
including phones and music players to applications using gvfs.",系统
gvfs-afp,系统, AFP support for gvfs," This package provides support for reading and writing files on
Mac OS X and original Mac OS network shares via Apple Filing Protocol
to applications using gvfs.",系统
gvfs-gphoto2,系统, gphoto2 support for gvfs," This package provides support for reading and writing files on
PTP based cameras (Picture Transfer Protocol) and MTP based
media players (Media Transfer Protocol) to applications using gvfs.",系统
gzip,核心, The GNU data compression program," The gzip package contains the popular GNU gzip data compression
program. Gzipped files have a .gz extension.

Gzip should be installed on your system, because it is a
very commonly used data compression program.",系统
hamcrest-core,应用, Core API of hamcrest matcher framework.," The core API of hamcrest matcher framework to be used by third-party framework providers.
This includes the a foundation set of matcher implementations for common operations.",应用
hawtjni-runtime,应用, HawtJNI Runtime," This package provides API that projects using HawtJNI should build
against.",应用
hawtjni-javadoc,应用, Javadocs for hawtjni, This package contains the API documentation for hawtjni.,应用
hplip,应用, HP Linux Imaging and Printing Project," The Hewlett-Packard Linux Imaging and Printing Project provides
drivers for HP printers and multi-function peripherals.",系统
hplip-common,应用, Files needed by the HPLIP printer and scanner drivers, Files needed by the HPLIP printer and scanner drivers.,应用
hplip-gui,应用, HPLIP graphical tools, HPLIP graphical tools.,系统
hplip-libs,应用, HPLIP libraries, Libraries needed by HPLIP.,应用
hunspell-he,应用, Hebrew hunspell dictionaries, Hebrew hunspell dictionaries.,应用
htmlcxx,应用, A simple non-validating CSS1 and HTML parser for C++," htmlcxx is a simple non-validating html parser library for C++.
It allows to fully dump the original html document, character by character,
from the parse tree. It also has an intuitive tree traversal API.",应用
httpcomponents-client-javadoc,应用, API documentation for httpcomponents-client, API documentation for httpcomponents-client.,应用
httpd,应用, Apache HTTP Server," The Apache HTTP Server is a powerful, efficient, and extensible
web server.",应用
httpd-filesystem,应用, The basic directory layout for the Apache HTTP server," The httpd-filesystem package contains the basic directory layout
for the Apache HTTP server including the correct permissions
for the directories.",应用
httpd-tools,应用, Tools for use with the Apache HTTP Server," The httpd-tools package contains tools which can be used with
the Apache HTTP Server.",应用
mod_ldap,应用, LDAP authentication modules for the Apache HTTP Server," The mod_ldap and mod_authnz_ldap modules add support for LDAP
authentication to the Apache HTTP Server.",应用
mod_proxy_html,应用, HTML and XML content filters for the Apache HTTP Server," The mod_proxy_html and mod_xml2enc modules provide filters which can
transform and modify HTML and XML content.",应用
hunspell-ast,应用, Asturian hunspell dictionaries, Asturian hunspell dictionaries.,应用
hunspell-az,应用, Azerbaijani hunspell dictionaries, Azerbaijani hunspell dictionaries.,应用
hyphen-be,应用, Belarusian hyphenation rules, Belarusian hyphenation rules.,应用
hunspell-ber,应用, Amazigh hunspell dictionaries, Amazigh hunspell dictionaries.,应用
hunspell-bg,应用, Bulgarian hunspell dictionaries, Bulgarian hunspell dictionaries.,应用
hunspell-bn,应用, Bengali hunspell dictionaries, Bengali hunspell dictionaries.,应用
hunspell-br,应用, Breton hunspell dictionaries, Breton hunspell dictionaries.,应用
hunspell-cy,应用, Welsh hunspell dictionaries, Welsh hunspell dictionaries.,应用
hunspell-da,应用, Danish hunspell dictionaries, Danish hunspell dictionaries.,应用
hunspell-dsb,应用, Lower Sorbian hunspell dictionaries, Lower Sorbian hunspell dictionaries.,应用
hunspell-en,应用, English hunspell dictionaries," English (US, UK, etc.) hunspell dictionaries",应用
hunspell-en-GB,应用, UK English hunspell dictionaries, UK English hunspell dictionaries,应用
hunspell-en-US,应用, US English hunspell dictionaries, US English hunspell dictionaries,应用
hunspell-es-BO,应用, Bolivian Spanish hunspell dictionary, Bolivian Spanish hunspell dictionary,应用
hunspell-es-CU,应用, Cuban Spanish hunspell dictionary, Cuban Spanish hunspell dictionary,应用
hunspell-es-GT,应用, Guatemalan Spanish hunspell dictionary, Guatemalan Spanish hunspell dictionary,应用
hunspell-fur,应用, Friulian hunspell dictionaries, Friulian hunspell dictionaries.,应用
hunspell-fy,应用, Frisian hunspell dictionaries, Frisian hunspell dictionaries.,应用
hunspell-ga,应用, Irish hunspell dictionaries, Irish hunspell dictionaries.,应用
hunspell-lb,应用, Luxembourgish hunspell dictionaries, Luxembourgish hunspell dictionaries.,应用
hunspell-ln,应用, Lingala hunspell dictionaries, Lingala hunspell dictionaries.,应用
hunspell-nb,应用, Bokmaal hunspell dictionaries, Bokmaal hunspell dictionaries.,应用
hyphen-nb,应用, Bokmaal hyphenation rules, Bokmaal hyphenation rules.,应用
hunspell-ny,应用, Chichewa hunspell dictionaries, Chichewa hunspell dictionaries.,应用
hunspell-oc,应用, Occitan hunspell dictionaries, Occitan hunspell dictionaries.,应用
hunspell-qu,应用, Quechua Ecuador hunspell dictionaries, Quechua Ecuador hunspell dictionaries.,应用
hunspell-ro,应用, Romanian hunspell dictionaries, Romanian hunspell dictionaries.,应用
hunspell-rw,应用, Kinyarwanda hunspell dictionaries, Kinyarwanda hunspell dictionaries.,应用
hunspell-sc,应用, Sardinian hunspell dictionaries, Sardinian hunspell dictionaries.,应用
hunspell-se,应用, Northern Saami hunspell dictionaries, Northern Saami hunspell dictionaries.,应用
hyphen-sr,应用, Serbian hyphenation rules, Serbian hyphenation rules.,应用
hunspell-st,应用, Southern Sotho hunspell dictionaries, Southern Sotho hunspell dictionaries.,应用
hunspell-te,应用, Telugu hunspell dictionaries, Telugu hunspell dictionaries.,应用
hunspell-th,应用, Thai hunspell dictionaries, Thai hunspell dictionaries.,应用
hunspell-ti,应用, Tigrigna hunspell dictionaries, Tigrigna hunspell dictionaries.,应用
hunspell-tn,应用, Tswana hunspell dictionaries, Tswana hunspell dictionaries.,应用
hunspell-tpi,应用, Tok Pisin hunspell dictionaries, Tok Pisin hunspell dictionaries.,应用
hunspell-ve,应用, Venda hunspell dictionaries, Venda hunspell dictionaries.,应用
hunspell-wa,应用, Walloon hunspell dictionaries, Walloon hunspell dictionaries.,应用
hwinfo,系统, Hardware information tool," hwinfo is to probe for the hardware present in the system. It can be used to
generate a system overview log which can be later used for support.",系统
compat-hwloc1,应用,Compat package for hwloc-1.11.9 , This package contains a compat library for hwloc-1.11.9. ,应用
hwloc-gui,应用, The gui-based hwloc program(s), GUI-based tool for displaying system topology information.,应用
hwloc-plugins,应用, Plugins for hwloc,"  This package contains plugins for hwloc. This includes
  - PCI support
  - GL support
  - libxml support",应用
hyphen,应用, A text hyphenation library, Hyphen is a library for high quality hyphenation and justification.,应用
hyphen-el,应用, Greek hyphenation rules, Greek hyphenation rules.,应用
hyphen-eu,应用, Basque hyphenation rules, Basque hyphenation rules.,应用
hyphen-fa,应用, Farsi hyphenation rules, Farsi hyphenation rules.,应用
hyphen-hu,应用, Hungarian hyphenation rules, Hungarian hyphenation rules.,应用
hyphen-id,应用, Indonesian hyphenation rules, Indonesian hyphenation rules.,应用
hyphen-ku,应用, Kurdish hyphenation rules, Kurdish hyphenation rules.,应用
hyphen-mi,应用, Maori hyphenation rules, Maori hyphenation rules.,应用
hyphen-ml,应用, Malayalam hyphenation rules, Malayalam hyphenation rules.,应用
hyphen-pa,应用, Punjabi hyphenation rules, Punjabi hyphenation rules.,应用
hyphen-ro,应用, Romanian hyphenation rules, Romanian hyphenation rules.,应用
hyphen-ru,应用, Russian hyphenation rules, Russian hyphenation rules.,应用
hyphen-sk,应用, Slovak hyphenation rules, Slovak hyphenation rules.,应用
hyphen-sl,应用, Slovenian hyphenation rules, Slovenian hyphenation rules.,应用
hyphen-sv,应用, Swedish hyphenation rules, Swedish hyphenation rules.,应用
hyphen-uk,应用, Ukrainian hyphenation rules, Ukrainian hyphenation rules.,应用
i2c-tools,应用, A heterogeneous set of I2C tools for Linux," This package contains a heterogeneous set of I2C tools for Linux: a bus
probing tool, a chip dumper, register-level access helpers, EEPROM
decoding scripts, and more.",核心
i2c-tools-perl,应用, i2c tools written in Perl, A collection of tools written in perl for use with i2c devices.,系统
ibus-devel-docs,应用, Developer documents for IBus, The ibus-devel-docs package contains developer documentation for IBus,应用
ibus-gtk2,应用, IBus IM module for GTK2, This package contains IBus IM module for GTK2,应用
ibus-gtk3,应用, IBus IM module for GTK3, This package contains IBus IM module for GTK3,应用
ibus-wayland,应用, IBus IM module for Wayland, This package contains IBus IM module for Wayland,应用
ibus-kkc,应用, Japanese Kana Kanji input method for ibus, A Japanese Kana Kanji Input Method Engine for ibus.,应用
ibus-libpinyin,应用, Intelligent Pinyin engine based on libpinyin for IBus," It includes a Chinese Pinyin input method and a Chinese ZhuYin (Bopomofo)
input method based on libpinyin for IBus.",应用
ibus-sayura,应用, The Sinhala engine for IBus input platform, The Sayura engine for IBus platform. It provides Sinhala input method.,应用
ibus-table-chinese-cangjie,应用, Cangjie based input methods," Cangjie based input methods, includes:
Cangjie3, Canjie5, and Cangjie big tables.",应用
ibus-table-chinese-cantonese,应用, Cantonese input methods," Cantonese input methods, includes:
Cantonese, Hong-Kong version of Cantonese,
and jyutping.",应用
ibus-table-chinese-scj,应用, Smart Cangjie," Smart Cangjie is an improved Cangjie base input method
which handles Cangjie, Quick, Cantonese, Chinese punctuation,
Japanese, 3000 frequent words by Hong Kong government,
both Traditional and Simplified Chinese.

This package includes the Smart Cangjie 6.",应用
ibus-table-chinese-stroke5,应用, Stroke 5 input method, Erbi input method.,应用
ibus-table-chinese-yong,应用, YongMa input method, YongMa input method.,应用
emoji-picker,应用, An emoji selection tool," A simple application to find and insert emoji and other
Unicode symbols.",应用
icedtea-web-javadoc,应用, API documentation for IcedTea-Web, This package contains Javadocs for the IcedTea-Web project.,应用
icu4j,系统, International Components for Unicode for Java," The International Components for Unicode (ICU) library provides robust and
full-featured Unicode services on a wide variety of platforms. ICU supports
the most current version of the Unicode standard, and provides support for
supplementary characters (needed for GB 18030 repertoire support).

Java provides a very strong foundation for global programs, and IBM and the
ICU team played a key role in providing globalization technology into Sun's
Java. But because of its long release schedule, Java cannot always keep
up-to-date with evolving standards. The ICU team continues to extend Java's
Unicode and internationalization support, focusing on improving
performance, keeping current with the Unicode standard, and providing
richer APIs, while remaining as compatible as possible with the original
Java text and internationalization API design.",应用
iio-sensor-proxy,应用, IIO accelerometer sensor to input device proxy, IIO accelerometer sensor to input device proxy.,应用
ima-evm-utils,系统, IMA/EVM support utilities," The Trusted Computing Group(TCG) run-time Integrity Measurement Architecture
(IMA) maintains a list of hash values of executables and other sensitive
system files, as they are read or executed. These are stored in the file
systems extended attributes. The Extended Verification Module (EVM) prevents
unauthorized changes to these extended attributes on the file system.
ima-evm-utils is used to prepare the file system for these extended attributes.",系统
imlib2,应用," Image loading, saving, rendering, and manipulation library"," Imlib 2 is a library that does image file loading and saving as well
as rendering, manipulation, arbitrary polygon support, etc.  It does
ALL of these operations FAST. Imlib2 also tries to be highly
intelligent about doing them, so writing naive programs can be done
easily, without sacrificing speed.  This is a complete rewrite over
the Imlib 1.x series. The architecture is more modular, simple, and
flexible.",应用
imlib2-id3tag-loader,应用, Imlib2 id3tag-loader," This package contains a plugin which makes imlib2 capable of parsing id3 tags
of mp3 files. This plugin is packaged separately because it links with
libid3tag which is GPLv2+, thus making imlib2 and apps using it subject to the
conditions of the GPL version 2 (or at your option) any later version.",应用
readonly-root,系统,Service for configuring read-only root support ,"This package provides script & configuration file for setting up read-only root
support. Additional configuration is required after installation. ",系统
python3-ipaclient,系统, Python libraries used by IPA client," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If your network uses IPA for authentication, this package should be
installed on every client machine.",系统
python3-ipalib,系统, Python3 libraries used by IPA," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are using IPA with Python 3, you need to install this package.",系统
ipa-server-common,系统, Common files used by IPA server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package.",应用
ipa-healthcheck,系统, Health check tool for IdM," The FreeIPA health check tool provides a set of checks to
proactively detect defects in a FreeIPA cluster.",系统
ipcalc,应用,IP network address calculator ,"ipcalc provides a simple way to calculate IP information for a host
or network. Depending on the options specified, it may be used to provide
IP network information in human readable format, in a format suitable for
parsing in scripts, generate random private addresses, resolve an IP address,
or check the validity of an address. ",应用
