name,label,pred,summary,description
python2-lxml,库,库, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 2 version."
kf5-kpty,工具,工具, KDE Frameworks 5 Tier 2 module providing Pty abstraction, KDE Frameworks 5 tier 2 module providing Pty abstraction.
python3-policycoreutils,库,库, SELinux policy core python3 interfaces," The python3-policycoreutils package contains the interfaces that can be used
by python 3 in an SELinux environment."
microcode_ctl,工具,工具,CPU microcode updates for Intel x86 processors ,"This package provides microcode update files for Intel x86 and x86_64 CPUs.

The microcode update is volatile and needs to be uploaded on each system
boot i.e. it isn't stored on a CPU permanently; reboot and it reverts
back to the old microcode.

Package name ""microcode_ctl"" is historical, as the binary with the same name
is no longer used for microcode upload and, as a result, no longer provided. "
pcp-export-pcp2zabbix,服务,服务, Performance Co-Pilot tools for exporting PCP metrics to Zabbix," Performance Co-Pilot (PCP) front-end tools for exporting metric values
to the Zabbix (https://www.zabbix.org/) monitoring software."
qpdf-libs,库,库, QPDF library for transforming PDF files," QPDF is a C++ library that inspect and manipulate the structure of PDF files.
It can encrypt and linearize files, expose the internals of a PDF file,
and do many other operations useful to PDF developers."
perl-ExtUtils-Constant,库,库, Generate XS code to import C header constants," ExtUtils::Constant facilitates generating C and XS wrapper code to allow
Perl modules to AUTOLOAD constants defined in C library header files."
spice-client-win-x64,工具,工具, Spice client MSI installers for Windows clients (64 bit), Spice client MSI installers for Windows clients (64 bit)
freeipmi-bmc-watchdog,服务,服务,IPMI BMC watchdog ,Provides a watchdog daemon for OS monitoring and recovery. 
qt5-qtimageformats,库,库, Qt5 - QtImageFormats component," The core Qt Gui library by default supports reading and writing image
files of the most common file formats: PNG, JPEG, BMP, GIF and a few more,
ref. Reading and Writing Image Files. The Qt Image Formats add-on module
provides optional support for other image file formats, including:
MNG, TGA, TIFF, WBMP."
hyphen-fr,库,库, French hyphenation rules, French hyphenation rules.
pmdk-convert,工具,服务, Conversion tool for PMDK pools," pmdk-convert is a tool for conversion of PMDK pools from any version
to any consecutive version. Currently only libpmemobj pools require
conversion and this tool supports only those kind of pools."
maven-javadoc,库,库, API documentation for maven, API documentation for maven.
google-noto-sans-oriya-fonts,其它,其它, Sans Oriya font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Oriya."
pam_cifscreds,工具,服务,PAM module to manage NTLM credentials in kernel keyring ,"The pam_cifscreds PAM module is a tool for automatically adding
credentials (username and password) for the purpose of establishing
sessions in multiuser mounts.

When a cifs filesystem is mounted with the ""multiuser"" option, and does
not use krb5 authentication, it needs to be able to get the credentials
for each user from somewhere. The pam_cifscreds module can be used to
provide these credentials to the kernel automatically at login. "
yelp-tools,工具,工具," Create, manage, and publish documentation for Yelp"," yelp-tools is a collection of scripts and build utilities to help create,
manage, and publish documentation for Yelp and the web. Most of the heavy
lifting is done by packages like yelp-xsl and itstool. This package just
wraps things up in a developer-friendly way."
perl-XML-TokeParser,库,库, Simplified interface to XML::Parser," XML::TokeParser provides a procedural (""pull mode"") interface to
XML::Parser in much the same way that Gisle Aas' HTML::TokeParser provides
a procedural interface to HTML::Parser. XML::TokeParser splits its XML
input up into ""tokens,"" each corresponding to an XML::Parser event."
texlive-algorithms,工具,工具, A suite of tools for typesetting algorithms in pseudo-code," Consists of two environments: algorithm and algorithmic. The
algorithm package defines a floating algorithm environment
designed to work with the algorithmic style. Within an
algorithmic environment a number of commands for typesetting
popular algorithmic constructs are available."
criu,工具,工具, Tool for Checkpoint/Restore in User-space," criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space."
CUnit,库,库, Unit testing framework for C," CUnit is a lightweight system for writing, administering,
and running unit tests in C.  It provides C programmers a basic
testing functionality with a flexible variety of user interfaces."
culmus-keteryg-fonts,其它,其它, Fonts for Hebrew from Culmus project," 
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project."
dde-launcher,服务,服务, dde desktop-environment - Launcher module, dde desktop-environment - Launcher module.
virtio-win,服务,服务, VirtIO para-virtualized drivers for Windows(R)," VirtIO para-virtualized Windows(R) drivers for 32-bit and 64-bit
Windows(R) guests."
dejavu-sans-mono-fonts,其它,其它,Monospace sans-serif font faces ,"
The DejaVu font set is based on the __itstream Vera_ fonts, release 1.10. Its
purpose is to provide a wider range of characters, while maintaining the
original style, using an open collaborative development process.

This package consists of the DejaVu sans-serif monospace font faces, in their
unabridged version. "
samba-winbind-modules,库,库, Samba winbind modules," The samba-winbind-modules package provides the NSS library and a PAM module
necessary to communicate to the Winbind Daemon"
libguestfs-rsync,库,库, rsync support for libguestfs," This adds rsync support to libguestfs.  Install it if you want to use
rsync to upload or download files into disk images."
virt-v2v,工具,服务, Convert a virtual machine to run on KVM," Virt-v2v converts a single guest from a foreign hypervisor to run on
KVM.  It can read Linux and Windows guests running on VMware, Xen,
Hyper-V and some other hypervisors, and convert them to KVM managed by
libvirt, OpenStack, oVirt, Red Hat Virtualisation (RHV) or several
other targets.  It can modify the guest to make it bootable on KVM and
install virtio drivers so it will run quickly."
coreutils-common,工具,库, coreutils common optional components," Optional though recommended components,
including documentation and translations."
mingw64-gcc,工具,工具, MinGW Windows cross-compiler (GCC) for C for the win64 target, MinGW Windows cross-compiler (GCC) for C for the win64 target.
f32-backgrounds-extras-xfce,其它,其它, Extra F32 Wallpapers for XFCE, This package contains F32 supplemental wallpapers for XFCE
maven-resolver-impl,库,工具, Maven Artifact Resolver Implementation, An implementation of the repository system.
deepin-terminal,工具,服务, Default terminal emulation application for Deepin, Default terminal emulation application for Deepin.
mvapich2,库,库, OSU MVAPICH2 MPI package," MVAPICH2 is a Message Passing Interface (MPI 3.0) implementation based on MPICH
and developed by Ohio State University."
plymouth-plugin-space-flares,服务,服务," Plymouth ""space-flares"" plugin"," This package contains the ""space-flares"" boot splash plugin for
Plymouth. It features a corner image with animated flares."
rubygem-bson,库,库, Ruby implementation of the BSON specification, A fully featured BSON specification implementation in Ruby.
dejavu-serif-fonts,其它,其它,Variable-width serif font faces ,"
The DejaVu font set is based on the __itstream Vera_ fonts, release 1.10. Its
purpose is to provide a wider range of characters, while maintaining the
original style, using an open collaborative development process.

This package consists of the DejaVu serif variable-width font faces, in their
unabridged version. "
python3-justbytes,库,库, Library for handling computation with address ranges in bytes," A library for handling computations with address ranges. The library also offers
a configurable way to extract the representation of a value.

Python 3 version."
hunspell-mt,工具,工具, Maltese hunspell dictionaries, Maltese hunspell dictionaries.
softhsm,工具,服务, Software version of a PKCS#11 Hardware Security Module," OpenDNSSEC is providing a software implementation of a generic
cryptographic device with a PKCS#11 interface, the SoftHSM. SoftHSM is
designed to meet the requirements of OpenDNSSEC, but can also work together
with other cryptographic products because of the PKCS#11 interface."
langpacks-ja,其它,其它, Japanese langpacks meta-package, This package provides Japanese langpacks meta-package.
perl-Encode-Detect,库,库, Encode::Encoding subclass that detects the encoding of data," This Perl module is an Encode::Encoding subclass that uses
Encode::Detect::Detector to determine the charset of the input data and then
decodes it using the encoder of the detected charset."
langpacks-uk,其它,其它, Ukrainian langpacks meta-package, This package provides Ukrainian langpacks meta-package.
glassfish-jaxb-runtime,库,库, JAXB Runtime, JAXB (JSR 222) Reference Implementation
python39-pip-wheel,库,库, The pip wheel, A Python wheel of pip to use with venv.
texlive-psfrag,工具,工具, Replace strings in encapsulated PostScript figures," Allows LaTeX constructions (equations, picture environments,
etc.) to be precisely superimposed over Encapsulated PostScript
figures, using your own favorite drawing tool to create an EPS
figure and placing simple text 'tags' where each replacement is
to be placed, with PSfrag automatically removing these tags
from the figure and replacing them with a user specified LaTeX
construction, properly aligned, scaled, and/or rotated."
opa-address-resolution,工具,库,OPA Address Resolution manager ,"This package contains the ibacm distributed SA provider (dsap) for
name and address resolution on OPA platform. It also contains the
library and tools to access the shared memory database exported
by dsap. "
libXext,库,库, X.Org X11 libXext runtime library, X.Org X11 libXext runtime library
bitmap-fonts-compat,其它,其它, Compatibility files of bitmap-font families," 
The bitmap-fonts package provides a number of bitmap fonts selected
from the xorg package designed for use locations such as
terminals.
Meta-package for installing all font families of bitmap."
hunspell-uk,工具,工具, Ukrainian hunspell dictionaries, Ukrainian hunspell dictionaries.
mythes-it,库,库, Italian thesaurus, Italian thesaurus.
thunderbird,工具,服务, Mozilla Thunderbird mail/newsgroup client, Mozilla Thunderbird is a standalone mail and newsgroup client.
xorg-x11-docs,服务,库, X.Org X11 documentation," Protocol and other technical documentation for the X.Org X11 X Window System
implementation."
perl-File-Find-Object,库,库, Object oriented File::Find replacement," File::Find::Object does the same job as File::Find but works like an object
and with an iterator. As File::Find is not object oriented, one cannot
perform multiple searches in the same application. The second problem of
File::Find is its file processing: after starting its main loop, one cannot
easily wait for another event and so get the next result."
antlr-manual,库,库, Manual for antlr, Documentation for antlr.
bacula-libs,库,库, Bacula libraries," Bacula is a set of programs that allow you to manage the backup,
recovery, and verification of computer data across a network of
different computers. It is based on a client/server architecture.

This package contains basic Bacula libraries, which are used by all
Bacula programs."
syslinux-nonlinux,工具,工具, SYSLINUX modules which aren't run from linux.," All the SYSLINUX binaries that run from the firmware rather than from a
linux host. It also includes a tool, MEMDISK, which loads legacy operating
systems from media."
jansi-native-javadoc,库,库, Javadocs for jansi-native, This package contains the API documentation for jansi-native.
libwinpr,库,库, Windows Portable Runtime," WinPR provides API compatibility for applications targeting non-Windows
environments. When on Windows, the original native API is being used instead of
the equivalent WinPR implementation, without having to modify the code using it."
qt5-qtwebchannel,库,库, Qt5 - WebChannel component," The Qt WebChannel module provides a library for seamless integration of C++
and QML applications with HTML/JavaScript clients. Any QObject can be
published to remote clients, where its public API becomes available."
php-pdo,库,库, A database access abstraction module for PHP applications," The php-pdo package contains a dynamic shared object that will add
a database access abstraction layer to PHP.  This module provides
a common interface for accessing MySQL, PostgreSQL or other
databases."
quota-rpc,服务,服务,RPC quota daemon ,"The RPC daemon allows to query and set disk quotas over network. If you run
the daemon on NFS__erver, you could use quota tools to manage the quotas from
NFS client. "
java-11-alibaba-dragonwell-src,库,工具, Alibaba Dragonwell11 src, Alibaba Dragonwell11 src
gcc-toolset-11-elfutils-libelf,库,库, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files."
cracklib-dicts,库,工具,The standard CrackLib dictionaries ,"The cracklib-dicts package includes the CrackLib dictionaries.
CrackLib will need to use the dictionary appropriate to your system,
which is normally put in /usr/share/dict/words. Cracklib-dicts also
contains the utilities necessary for the creation of new dictionaries.

If you are installing CrackLib, you should also install cracklib-dicts. "
deepin-sound-theme,服务,库, Generate static golang bindings for GObject, Deepin sound This package contains the deepin sound theme.
jakarta-commons-httpclient-javadoc,库,库, Javadoc for jakarta-commons-httpclient, Javadoc for jakarta-commons-httpclient.
httpd-tools,工具,工具, Tools for use with the Apache HTTP Server," The httpd-tools package contains tools which can be used with
the Apache HTTP Server."
python3-javapackages,库,库, Module for handling various files for Java packaging," Module for handling, querying and manipulating of various files for Java
packaging in Linux distributions"
gcc-toolset-10-systemtap-server,服务,服务, Instrumentation System Server," This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand."
libattr,库,库, Dynamic library for extended attribute support," This package contains the libattr.so dynamic library which contains
the extended attribute system calls and library functions."
utf8proc,库,库, Library for processing UTF-8 encoded Unicode strings," utf8proc is a library for processing UTF-8 encoded Unicode strings.
Some features are Unicode normalization, stripping of default ignorable
characters, case folding and detection of grapheme cluster boundaries.
A special character mapping is available, which converts for example
the characters __yphen_ (U+2010), __inus_ (U+2212) and __yphen-Minus
(U+002D, ASCII Minus) all into the ASCII minus sign, to make them
equal for comparisons.

The currently supported Unicode version is 9.0.0.

This package only contains the C library."
java-11-openjdk-headless,库,库, OpenJDK 11 Headless Runtime Environment, The OpenJDK 11 runtime environment without audio and video support.
google-noto-serif-armenian-fonts,其它,其它, Serif Armenian font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Armenian."
meanwhile,库,库, Lotus Sametime Community Client library," The heart of the meanwhile Project is the meanwhile library, providing the basic
Lotus Sametime session functionality along with the core services; Presence
Awareness, Instant Messaging, Multi-user Conferencing, Preferences Storage,
Identity Resolution, and File Transfer."
hypervkvpd,服务,服务, Hyper-V key value pair (KVP) daemon," Hypervkvpd is an implementation of Hyper-V key value pair (KVP)
functionality for Linux. The daemon first registers with the
kernel driver. After this is done it collects information
requested by Windows Host about the Linux Guest. It also supports
IP injection functionality on the Guest."
texlive-parallel,工具,工具, Typeset parallel texts," Provides a parallel environment which allows two potentially
different texts to be typeset in two columns, while maintaining
alignment. The two columns may be on the same page, or on
facing pages. This arrangement of text is commonly used when
typesetting translations, but it can have value when comparing
any two texts."
python3-sssdconfig,服务,库, SSSD and IPA configuration file manipulation classes and functions, Provides python3 files for manipulation SSSD and IPA configuration files.
libidn,库,库, Internationalized Domain Name support library," GNU Libidn is an implementation of the Stringprep, Punycode and
IDNA specifications defined by the IETF Internationalized Domain
Names (IDN) working group, used for internationalized domain
names."
bpg-excelsior-condenced-fonts,其它,其它, Excelsior Condenced family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Excelsior Condenced font family."
libproxy-networkmanager,库,库, Plugin for libproxy and networkmanager," The libproxy-networkmanager package contains the libproxy plugin
for networkmanager."
java-1.8.0-openjdk,库,库, OpenJDK 8 Runtime Environment, The OpenJDK 8 runtime environment.
xorg-x11-drv-ati,服务,服务, Xorg X11 ati video driver, X.Org X11 ati video driver.
kf5-kcmutils,工具,工具, KDE Frameworks 5 Tier 3 addon with extra API to write KConfigModules," KCMUtils provides various classes to work with KCModules. KCModules can be
created with the KConfigWidgets framework."
texlive-tex4ht,工具,工具, Convert (La)TeX to HTML/XML," A converter from TeX and LaTeX to SGML-based formats such as
(X)HTML, MathML, OpenDocument, and DocBook, providing a
configurable (La)TeX-based authoring system for hypertext.
Tex4ht does not parse (La)TeX source (so that it avoids the
difficulties encountered by many other converters, arising from
the irregularity of (La)TeX syntax). Instead, Tex4ht uses
(La)TeX itself (with an extra macro package) to produce a non-
standard DVI file that it can then process. This technique
allows TeX4ht to approach the robustness characteristic of
restricted-syntax systems such as hyperlatex and gellmu. Note
that CTAN no longer holds the definitive sources of the
package: see the 'Readme' file."
clang,工具,库, A C language family front-end for LLVM," clang: noun
    1. A loud, resonant, metallic sound.
    2. The strident call of a crane or goose.
    3. C-language family front-end toolkit.

The goal of the Clang project is to create a new C, C++, Objective C
and Objective C++ front-end for the LLVM compiler. Its tools are built
as libraries and designed to be loosely-coupled and extensible.

Install compiler-rt if you want the Blocks C language extension or to
enable sanitization and profiling options when building, and
libomp-devel to enable -fopenmp."
libdmx,库,库, X.Org X11 DMX runtime library, The X.Org X11 DMX (Distributed Multihead X) runtime library.
apache-commons-codec,库,库, Implementations of common encoders and decoders," Commons Codec is an attempt to provide definitive implementations of
commonly used encoders and decoders. Examples include Base64, Hex,
Phonetic and URLs."
alsa-utils,工具,工具, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA)."
python38-py,库,库," Library with cross-python path, ini-parsing, io, code, log facilities"," The py lib is a Python development support library featuring the
following tools and modules:

  * py.path: uniform local and svn path objects
  * py.apipkg: explicit API control and lazy-importing
  * py.iniconfig: easy parsing of .ini files
  * py.code: dynamic code generation and introspection
  * py.path: uniform local and svn path objects"
qt5-qtwebengine-examples,库,库, Example files for qt5-qtwebengine, Example files for qt5-qtwebengine.
perl-Config-AutoConf,库,库, A module to implement some of AutoConf macros in pure Perl," This module simulates some of the tasks autoconf macros do.  To detect
a command, a library and similar."
jsch,库,库, Pure Java implementation of SSH2," JSch allows you to connect to an sshd server and use port forwarding,
X11 forwarding, file transfer, etc., and you can integrate its
functionality into your own Java programs."
libXt,库,库, X.Org X11 libXt runtime library, X.Org X11 libXt runtime library
dotnet-targeting-pack-5.0,库,库, Targeting Pack for Microsoft.NETCore.App 5.0," This package provides a targeting pack for Microsoft.NETCore.App 5.0
that allows developers to compile against and target Microsoft.NETCore.App 5.0
applications using the .NET SDK."
selinux-policy-sandbox,服务,工具,SELinux policy sandbox ,SELinux sandbox policy used for the policycoreutils-sandbox package 
texlive-fancyhdr,工具,工具, Extensive control of page headers and footers in LaTeX2e," The package provides extensive facilities, both for
constructing headers and footers, and for controlling their use
(for example, at times when LaTeX would automatically change
the heading style in use)."
gnome-shell-extension-dash-to-dock,服务,服务, Show the dash outside the activities overview, This GNOME Shell extension makes the dash available outside the activities overview.
util-linux,工具,工具, A collection of basic system utilities," The util-linux package contains a large variety of low-level system
utilities that are necessary for a Linux system to function. Among
others, Util-linux contains the fdisk configuration tool and the login
program."
bind9.16-chroot,服务,服务," A chroot runtime environment for the ISC BIND DNS server, named(8)"," This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
qgpgme,库,库, Qt API bindings/wrapper for GPGME, Qt API bindings/wrapper for GPGME.
cim-schema,服务,库, Common Information Model (CIM) Schema," Common Information Model (CIM) is a model for describing overall
management information in a network or enterprise environment. CIM
consists of a specification and a schema. The specification defines the
details for integration with other management models. The schema
provides the actual model descriptions.



Authors:
--------
    DTMF <http://www.dmtf.org/about/contact>"
bind-dyndb-ldap,服务,服务, LDAP back-end plug-in for BIND," This package provides an LDAP back-end plug-in for BIND. It features
support for dynamic updates and internal caching, to lift the load
off of your LDAP server."
perl-YAML-Tiny,库,库, Read/Write YAML files with as little code as possible," YAML::Tiny is a Perl class for reading and writing YAML-style files,
written with as little code as possible, reducing load time and
memory overhead."
libteam,库,库, Library for controlling team network device," This package contains a library which is a user-space
counterpart for team network driver. It provides an API
to control team network devices."
freeglut,库,库, A freely licensed alternative to the GLUT library," freeglut is a completely open source alternative to the OpenGL Utility Toolkit
(GLUT) library with an OSI approved free software license. GLUT was originally
written by Mark Kilgard to support the sample programs in the second edition
OpenGL 'RedBook'. Since then, GLUT has been used in a wide variety of practical
applications because it is simple, universally available and highly portable.

freeglut allows the user to create and manage windows containing OpenGL
contexts on a wide range of platforms and also read the mouse, keyboard and
joystick functions."
pcp-pmda-ds389log,服务,服务, Performance Co-Pilot (PCP) metrics for 389 Directory Server Loggers," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from a 389 Directory Server log."
qemu-kvm-block-curl,服务,工具, QEMU CURL block driver," This package provides the additional CURL block driver for QEMU.

Install this package if you want to access remote disks over
http, https, ftp and other transports provided by the CURL library."
texlive-mparhack,工具,工具, A workaround for a LaTeX bug in marginpars," Implements a workaround for the LaTeX bug that marginpars will
sometimes come out at the wrong margin."
libguestfs-tools-c,工具,工具, System administration tools for virtual machines," This package contains miscellaneous system administrator command line
tools for virtual machines.

Note that you should install libguestfs-tools (which pulls in
this package).  This package is only used directly when you want
to avoid dependencies on Perl."
f32-backgrounds,其它,其它, Fedora 32 default desktop background," This package contains desktop backgrounds for the Fedora 32 default
theme.  Pulls in themes for GNOME, KDE, Mate and Xfce desktops."
texlive-jknapltx,工具,工具, Miscellaneous packages by Joerg Knappen," Miscellaneous macros by Jorg Knappen, including: - represent
counters in greek; - Maxwell's non-commutative division; -
latin1jk, latin2jk and latin3jk, which are their inputenc
definition files that allow verbatim input in the respective
ISO Latin codes; - blackboard bold fonts in maths; - use of
RSFS fonts in maths; - extra alignments for \parboxes; - swap
Roman and Sans fonts; - transliterate semitic languages; -
patches to make (La)TeX formulae embeddable in SGML; - use
maths ""minus"" in text as appropriate; - simple Young tableaux."
libblockdev-loop,库,库, The loop plugin for the libblockdev library," The libblockdev library plugin (and in the same time a standalone library)
providing the functionality related to loop devices."
tesseract-langpack-ind,工具,工具, Indonesian language data for tesseract-tessdata," This package contains the fast integer version of the Indonesian language
trained models for the Tesseract Open Source OCR Engine."
gedit-plugin-multiedit,服务,服务, gedit multiedit plugin, The gedit multiedit plugin.
pcre-utf32,库,库,UTF-32 variant of PCRE ,"This is Perl-compatible regular expression library working on UTF-32 strings.
Detailed change log is provided by pcre-doc package. "
boost-program-options,库,库, Run-time component of boost program_options library," 
Run-time support of boost program options library, which allows program
developers to obtain (name, value) pairs from the user, via
conventional methods such as command-line and configuration file."
mrtg,工具,工具, Multi Router Traffic Grapher," The Multi Router Traffic Grapher (MRTG) is a tool to monitor the traffic
load on network-links. MRTG generates HTML pages containing PNG
images which provide a LIVE visual representation of this traffic."
bc,工具,工具, GNU's bc (a numeric processing language) and dc (a calculator)," The bc package includes bc and dc. Bc is an arbitrary precision
numeric processing arithmetic language. Dc is an interactive
arbitrary precision stack based calculator, which can be used as a
text mode calculator.

Install the bc package if you need its number handling capabilities or
if you would like to use its text mode calculator."
perl-Module-Loaded,库,库, Mark modules as loaded or unloaded," When testing applications, often you find yourself needing to provide
functionality in your test environment that would usually be provided by
external modules. Rather than munging the %INC by hand to mark these external
modules as loaded, so they are not attempted to be loaded by perl, this module
offers you a very simple way to mark modules as loaded and/or unloaded."
plexus-ant-factory-javadoc,库,库, Javadoc for plexus-ant-factory, Javadoc for plexus-ant-factory.
libmwaw,库,库, A library for import of many old Mac document formats," libmwaw is a library for import of old Mac documents. It supports many
kinds of text documents, spreadsheets, databases, vector and bitmap
images. Supported are, for example, documents created by BeagleWorks,
ClarisWorks, MacPaint, MacWrite or Microsoft Word for Mac. A full list
of supported formats is available at
https://sourceforge.net/p/libmwaw/wiki/Home/ ."
tesseract-langpack-eus,工具,工具, Basque language data for tesseract-tessdata," This package contains the fast integer version of the Basque language
trained models for the Tesseract Open Source OCR Engine."
maven-plugin-tools-beanshell,工具,工具, Maven Plugin Tool for Beanshell, Descriptor extractor for plugins written in Beanshell.
tesseract-script-hebrew,工具,工具, Hebrew script data for tesseract-tessdata," This package contains the fast integer version of the Hebrew script
trained models for the Tesseract Open Source OCR Engine."
openwsman-python3,库,库, Python bindings for openwsman client API, This package provides Python3 bindings to access the openwsman client API.
spirv-tools,工具,库, API and commands for processing SPIR-V modules," The package includes an assembler, binary module parser,
disassembler, and validator for SPIR-V.."
stress-ng,工具,工具, Stress test a computer system in various ways," Stress test a computer system in various ways. It was designed to exercise
various physical subsystems of a computer as well as the various operating
system kernel interfaces."
libreoffice-core,库,库, Core modules for LibreOffice, The shared core libraries and support files for LibreOffice.
texlive-texlive-en,工具,工具, TeX Live manual (English), texlive-en package
arpwatch,工具,服务,Network monitoring tools for tracking IP addresses on a network ,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network. "
iwl1000-firmware,其它,其它,Firmware for Intel庐 PRO/Wireless 1000 B/G/N network adaptors ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl1000 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. "
mythes-ne,库,库, Nepali thesaurus, Nepali thesaurus.
texlive-pst-3d,工具,工具, A PSTricks package for tilting and other pseudo-3D tricks," The pst-3d package provides basic macros for shadows, tilting
and three dimensional representations of text or graphical
objects."
hunspell-vi,工具,工具, Vietnamese hunspell dictionaries, Vietnamese hunspell dictionaries.
java-11-openjdk-demo-fastdebug,库,库, OpenJDK 11 Demos optimised with full debugging on," The OpenJDK 11 demos.
This package is optimised with full debugging. Install only as needed and remove ASAP."
postfix-cdb,工具,工具, Postfix CDB map support," This provides support for CDB maps in Postfix. If you plan to use CDB
maps with Postfix, you need this."
usb_modeswitch,服务,服务,USB Modeswitch gets mobile broadband cards in operational mode ,"USB Modeswitch brings up your datacard into operational mode. When plugged
in they identify themselves as cdrom and present some non-Linux compatible
installation files. This tool deactivates this cdrom-device and enables
the real communication device. It supports most devices built and
sold by Huawei, T-Mobile, Vodafone, Option, ZTE, Novatel. "
ruby-default-gems,库,库, Default gems which are part of Ruby StdLib," The .gemspec files and executables of default gems, which are part of Ruby
StdLib."
perl-File-ShareDir,库,库, Locate per-dist and per-module shared files," The intent of File::ShareDir is to provide a companion to Class::Inspector
and File::HomeDir, modules that take a process that is well-known by
advanced Perl developers but gets a little tricky, and make it more
available to the larger Perl community."
libstdc++-docs,库,库, Documentation for the GNU standard C++ library," Manual, doxygen generated API information and Frequently Asked Questions
for the GNU standard C++ library."
brlapi,库,工具, Application Programming Interface for BRLTTY," This package provides the run-time support for the Application
Programming Interface to BRLTTY.

Install this package if you have an application which directly accesses
a refreshable braille display."
perl-debugger,库,库, Perl debugger," This is the perl debugger. It is loaded automatically by Perl when you invoke
a script with ""perl -d"". There is also ""DB"" module contained for
a programmatic interface to the debugging API."
python2-pytz,库,库, World Timezone Definitions for Python," pytz brings the Olson tz database into Python. This library allows accurate
and cross platform timezone calculations using Python 2.3 or higher. It
also solves the issue of ambiguous times at the end of daylight savings,
which you can read more about in the Python Library Reference
(datetime.tzinfo).

Almost all (over 540) of the Olson timezones are supported."
tftp-server,服务,服务, The server for the Trivial File Transfer Protocol (TFTP)," The Trivial File Transfer Protocol (TFTP) is normally used only for
booting diskless workstations.  The tftp-server package provides the
server for TFTP, which allows users to transfer files to and from a
remote machine. TFTP provides very little security, and should not be
enabled unless it is expressly needed.  The TFTP server is run by using
systemd socket activation, and is disabled by default."
texlive-lib,库,库, Shared libraries for TeX-related files, TeX specific shared libraries.
atlas-corei2,库,库,ATLAS libraries for Corei2 (Ivy/Sandy bridge) CPUs ,"This package contains the ATLAS (Automatically Tuned Linear Algebra
Software) libraries compiled with optimizations for the Corei2 (Ivy/Sandy bridge)
CPUs. The base ATLAS builds for the x86_64 architecture are made for the hammer64 CPUs. "
hunspell-ts,工具,工具, Tsonga hunspell dictionaries, Tsonga hunspell dictionaries.
python39-lxml,库,库, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 3 version."
libreoffice-langpack-hr,库,库, Croatian language pack for LibreOffice, Provides additional Croatian translations and resources for LibreOffice.
gnome-shell-extension-window-grouper,服务,库, Keep windows that belong to the same process on the same workspace, This GNOME Shell extension keeps windows that belong to the same process on the same workspace.
golang-dbus,库,库, Go client bindings for D-Bus, Go client bindings for D-Bus
boost-thread,库,库, Run-time component of boost thread library," 
Run-time component Boost.Thread library, which provides classes and
functions for managing multiple threads of execution, and for
synchronizing data between the threads or providing separate copies of
data specific to individual threads."
bpg-serif-fonts,其它,其它, Serif family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Serif font family."
gnome-shell-extension-panel-favorites,服务,服务, Favorite launchers in GNOME Shell's top bar, This GNOME Shell extension adds favorite launchers to the top bar.
