src_name,zero_description,zero_summary,description,summary,primary_rpm_name,primary_description,primary_summary,rpm_name,分层分类
crash-gcore-command-1.6.3-1.an8.src.rpm,,,"Command for creating a core dump file of a user-space task that was
running in a kernel dumpfile.
","Gcore extension module for the crash utility
",crash-gcore-command,"Command for creating a core dump file of a user-space task that was
running in a kernel dumpfile.",Gcore extension module for the crash utility,"crash-gcore-command
",应用工具
crash-ptdump-command-1.0.7-1.an8.src.rpm,,,"Retrieve and decode the log buffer generated by the Intel(R) Processor
Trace facility
","ptdump extension module for the crash utility
",crash-ptdump-command,"Retrieve and decode the log buffer generated by the Intel(R) Processor
Trace facility",ptdump extension module for the crash utility,"crash-ptdump-command
",应用工具
crash-trace-command-2.0-18.an8.src.rpm,,,"Command for reading ftrace data from a dumpfile.
","Trace extension module for the crash utility
",crash-trace-command,Command for reading ftrace data from a dumpfile.,Trace extension module for the crash utility,"crash-trace-command
",应用工具
crda-3.18_2020.04.29-1.an8.src.rpm,,,"The crda package provideds the regulatory rules database
""wireless-regdb"" used by the kernels 802.11 networking stack
in order to comply with radio frequency regulatory rules around
the world.
","Regulatory compliance daemon for 802.11 wireless networking
",crda,"The crda package provideds the regulatory rules database
""wireless-regdb"" used by the kernels 802.11 networking stack
in order to comply with radio frequency regulatory rules around
the world.",Regulatory compliance daemon for 802.11 wireless networking,"crda
",应用服务
createrepo_c-0.17.7-5.an8.src.rpm,,,"C implementation of Createrepo.
A set of utilities (createrepo_c, mergerepo_c, modifyrepo_c)
for generating a common metadata repository from a directory of
rpm packages and maintaining it.
Libraries for applications using the createrepo_c library
for easy manipulation with a repodata.
Python 3 bindings for the createrepo_c library.
","Creates a common metadata repository
Library for repodata manipulation
Python 3 bindings for the createrepo_c library
",createrepo_c,"C implementation of Createrepo.
A set of utilities (createrepo_c, mergerepo_c, modifyrepo_c)
for generating a common metadata repository from a directory of
rpm packages and maintaining it.",Creates a common metadata repository,"createrepo_c-libs
python3-createrepo_c
",应用工具
cri-tools-1.23.0-1.an8.src.rpm,,,"CLI and validation tools for Container Runtime Interface
","CLI and validation tools for Container Runtime Interface
",cri-tools,CLI and validation tools for Container Runtime Interface,CLI and validation tools for Container Runtime Interface,"cri-tools
",应用工具/云原生
criu-3.12-9.module+an8.4.0+10228+8955a943.src.rpm,,,"python3-criu contains Python bindings for criu.
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
","Python bindings for criu
CRIU image tool
Tool for Checkpoint/Restore in User-space
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
crit
criu
",应用库
criu-3.12-9.module+an8.4.0+10229+9cf968c0.src.rpm,,,"python3-criu contains Python bindings for criu.
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
","Python bindings for criu
CRIU image tool
Tool for Checkpoint/Restore in User-space
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
crit
criu
",应用库
criu-3.15-1.module+an8.6.0+10758+8d627592.src.rpm,,,"python3-criu contains Python bindings for criu.
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
","Python bindings for criu
CRIU image tool
Tool for Checkpoint/Restore in User-space
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
crit
criu
",应用库
criu-3.15-3.0.1.module+an8.6.0+10825+318933f1.src.rpm,,,"python3-criu contains Python bindings for criu.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
This package contains the libraries for criu
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
","Python bindings for criu
Tool for Checkpoint/Restore in User-space
Libraries for criu
CRIU image tool
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
criu-libs
crit
",应用库
criu-3.15-3.module+an8.6.0+10751+21528717.src.rpm,,,"python3-criu contains Python bindings for criu.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
This package contains the libraries for criu
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
","Python bindings for criu
Tool for Checkpoint/Restore in User-space
Libraries for criu
CRIU image tool
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
criu-libs
crit
",应用库
criu-3.15-3.module+an8.6.0+10759+f2e20aaa.src.rpm,,,"python3-criu contains Python bindings for criu.
criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.
This package contains the libraries for criu
crit is a tool designed to decode CRIU binary dump files and show
their content in human-readable form.
","Python bindings for criu
Tool for Checkpoint/Restore in User-space
Libraries for criu
CRIU image tool
",criu,"criu is the user-space part of Checkpoint/Restore in User-space
(CRIU), a project to implement checkpoint/restore functionality for
Linux in user-space.",Tool for Checkpoint/Restore in User-space,"python3-criu
criu-libs
crit
",应用库
cronie-1.5.2-6.an8.src.rpm,,,"Cronie contains the standard UNIX daemon crond that runs specified programs at
scheduled times and related tools. It is a fork of the original vixie-cron and
has security and configuration enhancements like the ability to use pam and
SELinux.
Anacron is part of cronie that is used for running jobs with regular
periodicity which do not have exact time of day of execution.

The default settings of anacron execute the daily, weekly, and monthly
jobs, but anacron allows setting arbitrary periodicity of jobs.

Using anacron allows running the periodic jobs even if the system is often
powered off and it also allows randomizing the time of the job execution
for better utilization of resources shared among multiple systems.
Old style of running {hourly,daily,weekly,monthly}.jobs without anacron. No
extra features.
","Cron daemon for executing programs at set times
Utility for running regular jobs
Utility for running simple regular jobs in old cron style
",cronie,"Cronie contains the standard UNIX daemon crond that runs specified programs at
scheduled times and related tools. It is a fork of the original vixie-cron and
has security and configuration enhancements like the ability to use pam and
SELinux.",Cron daemon for executing programs at set times,"cronie-anacron
cronie-noanacron
",系统服务
crontabs-1.11-17.20190603git.an8.src.rpm,,,"This package is used mainly for executing files by cron.

The crontabs package contains root crontab files and directories.
You will need to install cron daemon to run the jobs from the crontabs.
The cron daemon such as cronie or fcron checks the crontab files to
see when particular commands are scheduled to be executed.  If commands
are scheduled, it executes them.

Crontabs handles a basic system function, so it should be installed on
your system.
","Root crontab files used to schedule the execution of programs
",crontabs,"This package is used mainly for executing files by cron.

The crontabs package contains root crontab files and directories.
You will need to install cron daemon to run the jobs from the crontabs.
The cron daemon such as cronie or fcron checks the crontab files to
see when particular commands are scheduled to be executed.  If commands
are scheduled, it executes them.

Crontabs handles a basic system function, so it should be installed on
your system.",Root crontab files used to schedule the execution of programs,"crontabs
",系统工具
crun-0.18-3.module+an8.6.0+10758+8d627592.src.rpm,,,"crun is a runtime for running OCI containers
","OCI runtime written in C
",crun,crun is a runtime for running OCI containers,OCI runtime written in C,"crun
",应用库/云原生
crun-1.4.4-1.module+an8.6.0+10751+21528717.src.rpm,,,"crun is a runtime for running OCI containers
","OCI runtime written in C
",crun,crun is a runtime for running OCI containers,OCI runtime written in C,"crun
",应用库/云原生
crun-1.4.4-1.module+an8.6.0+10759+f2e20aaa.src.rpm,,,"crun is a runtime for running OCI containers
","OCI runtime written in C
",crun,crun is a runtime for running OCI containers,OCI runtime written in C,"crun
",应用库/云原生
crun-1.4.5-2.module+an8.6.0+10825+318933f1.src.rpm,,,"crun is a runtime for running OCI containers
","OCI runtime written in C
",crun,crun is a runtime for running OCI containers,OCI runtime written in C,"crun
",应用库/云原生
crypto-policies-20211116-1.gitae470d6.an8.src.rpm,,,"This package provides pre-built configuration files with
cryptographic policies for various cryptographic back-ends,
such as SSL/TLS libraries.
This package provides a tool update-crypto-policies, which applies
the policies provided by the crypto-policies package. These can be
either the pre-built policies from the base package or custom policies
defined in simple policy definition files.

The package also provides a tool fips-mode-setup, which can be used
to enable or disable the system FIPS mode.
","System-wide crypto policies
Tool to switch between crypto policies
",crypto-policies,"This package provides pre-built configuration files with
cryptographic policies for various cryptographic back-ends,
such as SSL/TLS libraries.",System-wide crypto policies,"crypto-policies-scripts
",系统工具
cryptsetup-2.3.7-2.an8.src.rpm,,,"This package contains the cryptsetup shared library, libcryptsetup.
The cryptsetup package contains a utility for setting up
disk encryption using dm-crypt kernel module.
The veritysetup package contains a utility for setting up
disk verification using dm-verity kernel module.
This package contains cryptsetup-reencrypt utility which
can be used for offline reencryption of disk in situ.
The integritysetup package contains a utility for setting up
disk integrity protection using dm-integrity kernel module.
","Cryptsetup shared library
A utility for setting up encrypted disks
A utility for setting up dm-verity volumes
A utility for offline reencryption of LUKS encrypted disks.
A utility for setting up dm-integrity volumes
",cryptsetup,"The cryptsetup package contains a utility for setting up
disk encryption using dm-crypt kernel module.",A utility for setting up encrypted disks,"cryptsetup-libs
veritysetup
cryptsetup-reencrypt
integritysetup
",核心工具
cscope-15.9-9.an8.src.rpm,,,"cscope is a mature, ncurses based, C source code tree browsing tool.  It
allows users to search large source code bases for variables, functions,
macros, etc, as well as perform general regex and plain text searches.
Results are returned in lists, from which the user can select individual
matches for use in file editing.
","C source code tree search and browse tool
",cscope,"cscope is a mature, ncurses based, C source code tree browsing tool.  It
allows users to search large source code bases for variables, functions,
macros, etc, as well as perform general regex and plain text searches.
Results are returned in lists, from which the user can select individual
matches for use in file editing.",C source code tree search and browse tool,"cscope
",应用工具
ctags-5.8-22.el8.src.rpm,,,"This package will generate tags in a format which GNU Emacs understand,
it's a alternativ implementation of the GNU etags program.
Note: some command line options is not compatible with GNU etags.
Ctags generates an index (or tag) file of C language objects found in
C source and header files.  The index makes it easy for text editors or
other utilities to locate the indexed items.  Ctags can also generate a
cross reference file which lists information about the various objects
found in a set of C language files in human readable form.  Exuberant
Ctags improves on ctags because it can find all types of C language tags,
including macro definitions, enumerated values (values inside enum{...}),
function and method definitions, enum/struct/union tags, external
function prototypes, typedef names and variable declarations.  Exuberant
Ctags is far less likely to be fooled by code containing #if preprocessor
conditional constructs than ctags.  Exuberant ctags supports output of
Emacs style TAGS files and can be used to print out a list of selected
objects found in source files.

Install ctags if you are going to use your system for C programming.
","Exuberant Ctags for emacs tag format
A C programming language indexing and/or cross-reference tool
",ctags,"Ctags generates an index (or tag) file of C language objects found in
C source and header files.  The index makes it easy for text editors or
other utilities to locate the indexed items.  Ctags can also generate a
cross reference file which lists information about the various objects
found in a set of C language files in human readable form.  Exuberant
Ctags improves on ctags because it can find all types of C language tags,
including macro definitions, enumerated values (values inside enum{...}),
function and method definitions, enum/struct/union tags, external
function prototypes, typedef names and variable declarations.  Exuberant
Ctags is far less likely to be fooled by code containing #if preprocessor
conditional constructs than ctags.  Exuberant ctags supports output of
Emacs style TAGS files and can be used to print out a list of selected
objects found in source files.

Install ctags if you are going to use your system for C programming.",A C programming language indexing and/or cross-reference tool,"ctags-etags
ctags
",应用工具
culmus-fonts-0.130-12.el8.src.rpm,,,"
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project.

This package consists of files used by other culmus-fonts packages.

The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project.
","Common files of culmus-fonts
Fonts for Hebrew from Culmus project
","culmus-drugulin-clm-fonts
culmus-miriam-clm-fonts
culmus-shofar-fonts
culmus-stamashkenaz-clm-fonts
culmus-yehuda-clm-fonts
culmus-frank-ruehl-clm-fonts
culmus-stamsefarad-clm-fonts
culmus-david-clm-fonts
culmus-caladings-clm-fonts
culmus-miriam-mono-clm-fonts
culmus-simple-clm-fonts
culmus-aharoni-clm-fonts
culmus-ellinia-clm-fonts
culmus-keteryg-fonts
culmus-hadasim-clm-fonts
culmus-nachlieli-clm-fonts
culmus-fonts-common
","
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project.

This package consists of files used by other culmus-fonts packages.

The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project.
","Common files of culmus-fonts
Fonts for Hebrew from Culmus project
","culmus-fonts-common
culmus-nachlieli-clm-fonts
culmus-hadasim-clm-fonts
culmus-keteryg-fonts
culmus-ellinia-clm-fonts
culmus-aharoni-clm-fonts
culmus-simple-clm-fonts
culmus-miriam-mono-clm-fonts
culmus-caladings-clm-fonts
culmus-david-clm-fonts
culmus-stamsefarad-clm-fonts
culmus-frank-ruehl-clm-fonts
culmus-yehuda-clm-fonts
culmus-stamashkenaz-clm-fonts
culmus-shofar-fonts
culmus-miriam-clm-fonts
culmus-drugulin-clm-fonts
",字体
CUnit-2.1.3-17.el8.src.rpm,,,"CUnit is a lightweight system for writing, administering,
and running unit tests in C.  It provides C programmers a basic
testing functionality with a flexible variety of user interfaces.
","Unit testing framework for C
",CUnit,"CUnit is a lightweight system for writing, administering,
and running unit tests in C.  It provides C programmers a basic
testing functionality with a flexible variety of user interfaces.",Unit testing framework for C,"CUnit
",应用库
cups-2.2.6-44.an8.src.rpm,,,"CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This package contains command-line client
programs.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.
The cups-libs package provides libraries used by applications to use CUPS
natively, without needing the lp/lpr commands.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This is the package that provides standard
lpd emulation.
Sends IPP requests to the specified URI and tests and/or displays the results.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This package provides some directories which are
required by other packages that add CUPS drivers (i.e. filters, backends etc.).
","CUPS printing system - client programs
CUPS printing system - libraries
CUPS printing system - lpd emulation
CUPS printing system - tool for performing IPP requests
CUPS printing system - directory layout
",cups,"CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.",CUPS printing system,"cups-client
cups-libs
cups-lpd
cups-ipptool
cups-filesystem
",应用服务
cups-2.2.6-45.an8_6.2.src.rpm,,,"CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This package contains command-line client
programs.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.
The cups-libs package provides libraries used by applications to use CUPS
natively, without needing the lp/lpr commands.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This is the package that provides standard
lpd emulation.
Sends IPP requests to the specified URI and tests and/or displays the results.
CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. This package provides some directories which are
required by other packages that add CUPS drivers (i.e. filters, backends etc.).
","CUPS printing system - client programs
CUPS printing system - libraries
CUPS printing system - lpd emulation
CUPS printing system - tool for performing IPP requests
CUPS printing system - directory layout
",cups,"CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces.",CUPS printing system,"cups-client
cups-libs
cups-lpd
cups-ipptool
cups-filesystem
",应用服务
cups-filters-1.20.0-27.an8.src.rpm,,,"This package provides cupsfilters and fontembed libraries.
Contains backends, filters, and other software that was
once part of the core CUPS distribution but is no longer maintained by
Apple Inc. In addition it contains additional filters developed
independently of Apple, especially filters for the PDF-centric printing
workflow introduced by OpenPrinting.
","OpenPrinting CUPS filters and backends - cupsfilters and fontembed libraries
OpenPrinting CUPS filters and backends
",cups-filters,"Contains backends, filters, and other software that was
once part of the core CUPS distribution but is no longer maintained by
Apple Inc. In addition it contains additional filters developed
independently of Apple, especially filters for the PDF-centric printing
workflow introduced by OpenPrinting.",OpenPrinting CUPS filters and backends,"cups-filters-libs
cups-filters
",应用库
cups-pk-helper-0.2.6-5.el8.src.rpm,,,"cups-pk-helper is an application which makes cups configuration
interfaces available under control of PolicyKit.
","A helper that makes system-config-printer use PolicyKit
",cups-pk-helper,"cups-pk-helper is an application which makes cups configuration
interfaces available under control of PolicyKit.",A helper that makes system-config-printer use PolicyKit,"cups-pk-helper
",应用库
curl-7.61.1-22.an8.src.rpm,,,"libcurl is a free and easy-to-use client-side URL transfer library, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP. libcurl supports SSL certificates, HTTP POST, HTTP PUT,
FTP uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, Kerberos4), file transfer
resume, http proxy tunneling and more.
curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.
This is a replacement of the 'libcurl' package for minimal installations.  It
comes with a limited set of features compared to the 'libcurl' package.  On the
other hand, the package is smaller and requires fewer run-time dependencies to
be installed.
","A library for getting files from web servers
A utility for getting files from remote servers (FTP, HTTP, and others)
Conservatively configured build of libcurl for minimal installations
",curl,"curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.","A utility for getting files from remote servers (FTP, HTTP, and others)","libcurl-minimal
",系统工具
curl-7.61.1-22.an8_6.3.src.rpm,,,"libcurl is a free and easy-to-use client-side URL transfer library, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP. libcurl supports SSL certificates, HTTP POST, HTTP PUT,
FTP uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, Kerberos4), file transfer
resume, http proxy tunneling and more.
curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.
This is a replacement of the 'libcurl' package for minimal installations.  It
comes with a limited set of features compared to the 'libcurl' package.  On the
other hand, the package is smaller and requires fewer run-time dependencies to
be installed.
","A library for getting files from web servers
A utility for getting files from remote servers (FTP, HTTP, and others)
Conservatively configured build of libcurl for minimal installations
",curl,"curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.","A utility for getting files from remote servers (FTP, HTTP, and others)","libcurl-minimal
",系统工具
curl-7.61.1-22.an8_6.4.src.rpm,,,"libcurl is a free and easy-to-use client-side URL transfer library, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP. libcurl supports SSL certificates, HTTP POST, HTTP PUT,
FTP uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, Kerberos4), file transfer
resume, http proxy tunneling and more.
curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.
This is a replacement of the 'libcurl' package for minimal installations.  It
comes with a limited set of features compared to the 'libcurl' package.  On the
other hand, the package is smaller and requires fewer run-time dependencies to
be installed.
","A library for getting files from web servers
A utility for getting files from remote servers (FTP, HTTP, and others)
Conservatively configured build of libcurl for minimal installations
",curl,"curl is a command line tool for transferring data with URL syntax, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP.  curl supports SSL certificates, HTTP POST, HTTP PUT, FTP
uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, kerberos...), file transfer
resume, proxy tunneling and a busload of other useful tricks.","A utility for getting files from remote servers (FTP, HTTP, and others)","libcurl-minimal
",系统工具
custodia-0.6.0-3.module+an8.6.0+10756+567b85ab.src.rpm,,,"Sub-package with python custodia modules


Custodia is a Secrets Service Provider, it stores or proxies access to
keys, password, and secret material in general. Custodia is built to
use the HTTP protocol and a RESTful API as an IPC mechanism over a local
Unix Socket. It can also be exposed to a network via a Reverse Proxy
service assuming proper authentication and header validation is
implemented in the Proxy.

Custodia is modular, the configuration file controls how authentication,
authorization, storage and API plugins are combined and exposed.
A service to manage, retrieve and store secrets for other processes


Custodia is a Secrets Service Provider, it stores or proxies access to
keys, password, and secret material in general. Custodia is built to
use the HTTP protocol and a RESTful API as an IPC mechanism over a local
Unix Socket. It can also be exposed to a network via a Reverse Proxy
service assuming proper authentication and header validation is
implemented in the Proxy.

Custodia is modular, the configuration file controls how authentication,
authorization, storage and API plugins are combined and exposed.
","Sub-package with python3 custodia modules
A service to manage, retrieve and store secrets for other processes
",custodia,"A service to manage, retrieve and store secrets for other processes


Custodia is a Secrets Service Provider, it stores or proxies access to
keys, password, and secret material in general. Custodia is built to
use the HTTP protocol and a RESTful API as an IPC mechanism over a local
Unix Socket. It can also be exposed to a network via a Reverse Proxy
service assuming proper authentication and header validation is
implemented in the Proxy.

Custodia is modular, the configuration file controls how authentication,
authorization, storage and API plugins are combined and exposed.","A service to manage, retrieve and store secrets for other processes","python3-custodia
custodia
",应用服务
cyrus-imapd-3.0.7-23.an8.src.rpm,,,"vzic is a program to convert the Olson timezone database files into VTIMEZONE
files compatible with the iCalendar specification (RFC2445).

This package contains a forked version of vzic for internal use by the Cyrus
IMAP server.
The Cyrus IMAP (Internet Message Access Protocol) server provides access to
personal mail, system-wide bulletin boards, news-feeds, calendar and contacts
through the IMAP, JMAP, NNTP, CalDAV and CardDAV protocols. The Cyrus IMAP
server is a scalable enterprise groupware system designed for use from small to
large enterprise environments using technologies based on well-established Open
Standards.

A full Cyrus IMAP implementation allows a seamless mail and bulletin board
environment to be set up across one or more nodes. It differs from other IMAP
server implementations in that it is run on sealed nodes, where users are not
normally permitted to log in. The mailbox database is stored in parts of the
filesystem that are private to the Cyrus IMAP system. All user access to mail
is through software using the IMAP, IMAPS, JMAP, POP3, POP3S, KPOP, CalDAV
and/or CardDAV protocols.

The private mailbox database design gives the Cyrus IMAP server large
advantages in efficiency, scalability, and administratability. Multiple
concurrent read/write connections to the same mailbox are permitted. The server
supports access control lists on mailboxes and storage quotas on mailbox
hierarchies.
The cyrus-imapd-utils package contains administrative tools for the
Cyrus IMAP server. It can be installed on systems other than the
one running the server.
","Utilities to convert timezone database files
A high-performance email, contacts and calendar server
Cyrus IMAP server administration utilities
",cyrus-imapd,"The Cyrus IMAP (Internet Message Access Protocol) server provides access to
personal mail, system-wide bulletin boards, news-feeds, calendar and contacts
through the IMAP, JMAP, NNTP, CalDAV and CardDAV protocols. The Cyrus IMAP
server is a scalable enterprise groupware system designed for use from small to
large enterprise environments using technologies based on well-established Open
Standards.

A full Cyrus IMAP implementation allows a seamless mail and bulletin board
environment to be set up across one or more nodes. It differs from other IMAP
server implementations in that it is run on sealed nodes, where users are not
normally permitted to log in. The mailbox database is stored in parts of the
filesystem that are private to the Cyrus IMAP system. All user access to mail
is through software using the IMAP, IMAPS, JMAP, POP3, POP3S, KPOP, CalDAV
and/or CardDAV protocols.

The private mailbox database design gives the Cyrus IMAP server large
advantages in efficiency, scalability, and administratability. Multiple
concurrent read/write connections to the same mailbox are permitted. The server
supports access control lists on mailboxes and storage quotas on mailbox
hierarchies.","A high-performance email, contacts and calendar server","cyrus-imapd-vzic
cyrus-imapd-utils
",应用服务
cyrus-sasl-2.1.27-6.an8_5.src.rpm,,,"The cyrus-sasl-sql package contains the Cyrus SASL plugin which supports
using a RDBMS for storing shared secrets.
The cyrus-sasl-plain package contains the Cyrus SASL plugins which support
PLAIN and LOGIN authentication schemes.
The cyrus-sasl-md5 package contains the Cyrus SASL plugins which support
CRAM-MD5 and DIGEST-MD5 authentication schemes.
The cyrus-sasl package contains the Cyrus implementation of SASL.
SASL is the Simple Authentication and Security Layer, a method for
adding authentication support to connection-based protocols.
The cyrus-sasl-gssapi package contains the Cyrus SASL plugins which
support GSSAPI authentication. GSSAPI is commonly used for Kerberos
authentication.
The cyrus-sasl-gs2 package contains the Cyrus SASL plugin which supports
the GS2 authentication scheme.
The cyrus-sasl-lib package contains shared libraries which are needed by
applications which use the Cyrus SASL library.
The cyrus-sasl-ldap package contains the Cyrus SASL plugin which supports using
a directory server, accessed using LDAP, for storing shared secrets.
The cyrus-sasl-scram package contains the Cyrus SASL plugin which supports
the SCRAM authentication scheme.
The cyrus-sasl-ntlm package contains the Cyrus SASL plugin which supports
the NTLM authentication scheme.
","SQL auxprop support for Cyrus SASL
PLAIN and LOGIN authentication support for Cyrus SASL
CRAM-MD5 and DIGEST-MD5 authentication support for Cyrus SASL
The Cyrus SASL library
GSSAPI authentication support for Cyrus SASL
GS2 support for Cyrus SASL
Shared libraries needed by applications which use Cyrus SASL
LDAP auxprop support for Cyrus SASL
SCRAM auxprop support for Cyrus SASL
NTLM authentication support for Cyrus SASL
",cyrus-sasl,"The cyrus-sasl package contains the Cyrus implementation of SASL.
SASL is the Simple Authentication and Security Layer, a method for
adding authentication support to connection-based protocols.",The Cyrus SASL library,"cyrus-sasl-sql
cyrus-sasl-plain
cyrus-sasl-md5
cyrus-sasl-gssapi
cyrus-sasl-gs2
cyrus-sasl-lib
cyrus-sasl-ldap
cyrus-sasl-scram
cyrus-sasl-ntlm
",应用库
