name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
deepin-devicemanager,服务,工具,Device Manager is a handy tool for viewing hardware information and managing the devices,Device Manager is a handy tool for viewing hardware information and managing the devices.,桌面/服务,是个桌面工具，可作为服务，或者作为工具
deepin-diskmanager,服务,工具,Disk Utility Is A Disk Management Tool For Disk,Disk Utility Is A Disk Management Tool For Disk.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-fcitxconfigtool-plugin,服务,工具,An input method framework,"Fcitx is an input method framework with extension support. Currently it
supports Linux and Unix systems like FreeBSD.

Fcitx tries to provide a native feeling under all desktop as well as a light
weight core. You can easily customize it to fit your requirements.",桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-font-manager,服务,工具,Deepin Font Manager is used to install and uninstall font file for users with bulk install function,Deepin Font Manager is used to install and uninstall font file for users with bulk install function.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-gettext-tools,服务,库,Deepin Gettext Tools,"The tools of gettext function wrapper.

desktop-ts-convert - handling desktop file translations.
policy-ts-convert - convert PolicyKit Policy file to the ts file.
update-pot - scan msgid and generate pot file according to the ini file.
generate-mo - scan po files and generate mo files according to the ini file.",桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-image-viewer,服务,库,Deepin Image Viewer,Deepin Image Viewer.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-log-viewer,服务,工具,Log Viewer is a useful tool for viewing system logs,Log Viewer is a useful tool for viewing system logs.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-manual,服务,工具,"Manual is designed to help users learn the operating system and its applications, providing specific instructions and function descriptions",%{Summary}.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-menu,服务,工具,Deepin menu service,Deepin menu service for building beautiful menus.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-screen-recorder,服务,工具,Deepin Screen Recorder,Deepin Screen Recorder.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-shortcut-viewer,服务,工具,Deepin Shortcut Viewer,The program displays a shortcut key window when a JSON data is passed.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
deepin-terminal,服务,工具,Default terminal emulation application for Deepin,Default terminal emulation application for Deepin.,桌面/工具,是个桌面工具，可作为服务，或者作为工具
libqtermwidget5,服务,工具,Terminal emulator widget for Qt 5,"Terminal emulator widget for Qt 5 (shared libraries)
QTermWidget is a Unicode-enabled, embeddable Qt widget that can be used as
built-in console or terminal emulation widget.",桌面/库,应该是一个库，前缀是lib
libqtermwidget5-data,服务,库,Terminal emulator widget for Qt 5,"Terminal emulator widget for Qt 5 (shared libraries)
QTermWidget is a Unicode-enabled, embeddable Qt widget that can be used as
built-in console or terminal emulation widget.",桌面/库,应该是一个库，前缀是lib
delve,工具,库,A debugger for the Go programming language,"Delve is a debugger for the Go programming language. The goal of the project
is to provide a simple, full featured debugging tool for Go. Delve should be
easy to invoke and easy to use. Chances are if you're using a debugger, things
aren't going your way. With that in mind, Delve should stay out of your way as
much as possible.",工具,debugger
devhelp,工具,服务,API documentation browser,"Devhelp is an API documentation browser for the GNOME desktop.
It works natively with API documentation generated by gtk-doc.",工具,browser
device-mapper-multipath,工具,服务,Tools to manage multipath devices using device-mapper,"device-mapper-multipath provides tools to manage multipath devices by
instructing the device-mapper multipath kernel module what to do.
The tools are :
* multipath - Scan the system for multipath devices and assemble them.
* multipathd - Detects when paths fail and execs multipath to update things.",工具,tools
device-mapper-multipath-libs,库,工具,The device-mapper-multipath modules and shared library,"The device-mapper-multipath-libs provides the path checker
and prioritizer modules. It also contains the libmpathpersist and
libmpathcmd shared libraries, as well as multipath's internal library,
libmultipath.",库,#NAME?
libdmmp,库,工具,device-mapper-multipath C API library,"This package contains the shared library for the device-mapper-multipath
C API library.",库,library
device-mapper-persistent-data,工具,库,Device-mapper Persistent Data Tools,"thin-provisioning-tools contains check,dump,restore,repair,rmap
and metadata_size tools to manage device-mapper thin provisioning
target metadata devices; cache check,dump,metadata_size,restore
and repair tools to manage device-mapper cache metadata devices
are included and era check, dump, restore and invalidate to manage
snapshot eras",工具,Tools
dhcp-client,工具,服务,Provides the ISC DHCP client daemon and dhclient-script,"DHCP (Dynamic Host Configuration Protocol) is a protocol which allows
individual devices on an IP network to get their own network
configuration information (IP address, subnetmask, broadcast address,
etc.) from a DHCP server. The overall purpose of DHCP is to make it
easier to administer a large network.

This package provides the ISC DHCP client.",服务,daemon
dialog,库,工具,A utility for creating TTY dialog boxes,"Dialog is a utility that allows you to show dialog boxes (containing
questions or messages) in TTY (text mode) interfaces.  Dialog is called
from within a shell script.  The following dialog boxes are implemented:
yes/no, menu, input, message, text, info, checklist, radiolist, and
gauge.

Install dialog if you would like to create TTY dialog boxes.",库,虽然有utility，但实际上是被其他shell脚本调用
directory-maven-plugin,库,工具,Establish locations for files in multi-module builds,"The Directory Plugin for Maven is used to discover various project-related
paths, such as the execution root directory, the directory for a specific
project in the current build session, or the highest project base directory
(closest to the filesystem root directory) available in the projects loaded
from disk (not resolved from a remote repository). The plugin will then reflect
this value to the console, and also inject it into each project's properties
using the value of the property plugin parameter.",工具,跟随主包maven作为工具也可以
disomaster,工具,库,Library to manipulate DISC burning,This package provides a libisoburn wrapper class for Qt.,库,library
disruptor,工具,库,Concurrent Programming Framework,A High Performance Inter-Thread Messaging Library.,库,library
djvulibre,工具,服务,"DjVu viewers, encoders, and utilities","DjVu is a web-centric format and software platform for distributing documents
and images. DjVu can advantageously replace PDF, PS, TIFF, JPEG, and GIF for
distributing scanned documents, digital documents, or high-resolution pictures.
DjVu content downloads faster, displays and renders faster, looks nicer on a
screen, and consume less client resources than competing formats. DjVu images
display instantly and can be smoothly zoomed and panned with no lengthy
re-rendering.

DjVuLibre is a free (GPL'ed) implementation of DjVu, including viewers,
decoders, simple encoders, and utilities. The browser plugin is in its own
separate sub-package.",工具,utilities
dleyna-connector-dbus,库,工具,D-Bus connector for dLeyna services,D-Bus connector for dLeyna services.,库,是一个链接dLeyna服务的库
dleyna-core,库,工具,Utilities for higher level dLeyna libraries,"A set of utility functions that are used by the higher level dLeyna libraries
to communicate with DLNA devices. It provides APIs for logging, error, settings
and task management, and an IPC abstraction.",库,utility functions that are used by the higher dLeyna libraries
dleyna-renderer,库,服务,Service for interacting with Digital Media Renderers,"D-Bus service for clients to discover and manipulate DLNA Digital Media
Renderers (DMRs).",服务,service
dmidecode,工具,库,Tool to analyse BIOS DMI data,"dmidecode reports information about x86 & ia64 hardware as described in the
system BIOS according to the SMBIOS/DMI standard. This information
typically includes system manufacturer, model name, serial number,
BIOS version, asset tag as well as a lot of other details of varying
level of interest and reliability depending on the manufacturer.

This will often include usage status for the CPU sockets, expansion
slots (e.g. AGP, PCI, ISA) and memory module slots, and the list of
I/O ports (e.g. serial, parallel, USB).",工具,tool
dnf-automatic,工具,服务,Package manager - automated upgrades,Systemd units that can periodically download package upgrades and apply them.,服务,考虑作为systemd units来使用，可以作为服务
dnf-data,工具,库,Common data and configuration files for DNF,Common data and configuration files for DNF,库,
yum,工具,服务,Package manager,"Utility that allows users to manage packages on their systems.
It supports RPMs, modules and comps groups & environments.",工具,独立的软件包管理工具
python3-dnf-plugin-modulesync,库,工具,Download module metadata and packages and create repository,"Download module metadata from all enabled repositories, module artifacts and profiles of matching modules and create
repository.",库,python3-
python3-dnf-plugins-core,库,工具,Core Plugins for DNF,"Core Plugins for DNF, Python 3 interface. This package enhances DNF with builddep,
config-manager, copr, debug, debuginfo-install, download, groups-manager, needs-restarting,
repoclosure, repograph, repomanage, reposync, changelog and repodiff commands.
Additionally provides generate_completion_cache passive plugin.",库,python3-
python3-dnf-plugin-versionlock,库,工具,Version Lock Plugin for DNF,"Version lock plugin takes a set of name/versions for packages and excludes all other
versions of those packages. This allows you to e.g. protect packages from being
updated by newer versions.",库,python3-
dnssec-trigger,工具,服务,Tool for dynamic reconfiguration of validating resolver Unbound,"dnssec-trigger reconfigures the local Unbound DNS server. Unbound is a
resolver performing DNSSEC validation. dnssec-trigger is a set of daemon
and script. On every network configuration change dnssec-trigger performs
set of tests and configures Unbound based on the current NetworkManager
configuration, its own configuration and results of performed tests.",工具,tool
dnssec-trigger-panel,工具,服务,Applet for interaction between the user and dnssec-trigger,"This package provides the GTK panel for interaction between the user
and dnssec-trigger daemon. It is able to show the current state and
results of probing performed by dnssec-trigger daemon. Also in case
some user input is needed, the panel creates a dialog window.",工具,是一个GTK小程序
docbook2X,工具,库,Convert docbook into man and Texinfo,"docbook2X converts DocBook documents into man pages and Texinfo
documents.",工具,
docbook-style-dsssl,工具,库,Norman Walsh's modular stylesheets for DocBook,"These DSSSL stylesheets allow to convert any DocBook document to another
printed (for example, RTF or PostScript) or online (for example, HTML) format.
They are highly customizable.",工具,
docker,服务,工具,The open-source application container engine,"Docker is a product for you to build, ship and run any application as a
lightweight container.

Docker containers are both hardware-agnostic and platform-agnostic. This means
they can run anywhere, from your laptop to the largest cloud compute instance
and everything in between - and they don't require you to use a particular
language, framework or packaging system. That makes them great building blocks
for deploying and scaling web apps, databases, and backend services without
depending on a particular stack or provider.",服务,更多是作为一个服务来运行
docker-engine,工具,服务,Docker daemon binary and related utilities,Docker daemon binary and related utilities,服务,有daemon和utility同时包含在一个软件包中，daemon权重更高
dos2unix,工具,库,Text file format converters,"Convert text files with DOS or Mac line endings to Unix line endings and
vice versa.",工具,
dotnet-runtime-2.1,库,服务,NET Core 2.1 runtime,"The .NET Core runtime contains everything needed to run .NET Core applications.
It includes a high performance Virtual Machine as well as the framework
libraries used by .NET Core applications.

.NET Core is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",库,
dotnet-sdk-3.1-source-built-artifacts,库,其它,Internal package for building .NET Core 3.1 Software Development Kit,"The .NET Core source-built archive is a collection of packages needed
to build the .NET Core SDK itself.

These are not meant for general use.",库,
dotnet-apphost-pack-5.0,库,工具,Targeting Pack for Microsoft.NETCore.App 5.0,"This package provides a targeting pack for Microsoft.NETCore.App 5.0
that allows developers to compile against and target Microsoft.NETCore.App 5.0
applications using the .NET SDK.",库,
dotnet-runtime-5.0,库,服务,NET 5.0 runtime,"The .NET runtime contains everything needed to run .NET applications.
It includes a high performance Virtual Machine as well as the framework
libraries used by .NET applications.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",库,
dotnet-sdk-5.0-source-built-artifacts,库,其它,Internal package for building .NET 5.0 Software Development Kit,"The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use.",库,
dotnet5.0-build-reference-packages,库,其它,Reference packages needed by the .NET 5.0 SDK build,"This contains references packages used for building .NET 5.

This is not meant to be used by end-users.",库,
dotnet-sdk-6.0-source-built-artifacts,库,其它,Internal package for building .NET 6.0 Software Development Kit,"The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use.",库,
dotnet-build-reference-packages,库,其它,Reference packages needed by the .NET Core SDK build,"This contains references packages used for building .NET Core.

This is not meant to be used by end-users.",库,
dovecot-mysql,库,服务,MySQL back end for dovecot,This package provides the MySQL back end for dovecot-auth etc.,库,
dovecot-pgsql,库,服务,Postgres SQL back end for dovecot,This package provides the Postgres SQL back end for dovecot-auth etc.,库,
dovecot-pigeonhole,库,工具,Sieve and managesieve plug-in for dovecot,This package provides sieve and managesieve plug-in for dovecot LDA.,库,
doxygen,工具,库,A documentation system for C/C++,"Doxygen can generate an online class browser (in HTML) and/or a
reference manual (in LaTeX) from a set of documented source files. The
documentation is extracted directly from the sources. Doxygen can
also be configured to extract the code structure from undocumented
source files.",工具,
doxygen-doxywizard,工具,库,A GUI for creating and editing configuration files,"Doxywizard is a GUI for creating and editing configuration files that
are used by doxygen.",工具,
Dragonfly-supernode,服务,工具,Dragonfly Cluster Manager(Supernode),"Dragonfly Cluster Manager(Supernode) is the P2P server, which is mainly
responsible for scheduling P2P task and making CDN cache.",服务,manager
dtkcore,工具,库,Deepin tool kit core modules,Deepin tool kit core modules.,库,
dtkgui,工具,库,Deepin dtkgui,Dtkgui is the GUI module for DDE look and feel.,库,
dvd+rw-tools,工具,库,Toolchain to master DVD+RW/+R media,"Collection of tools to master DVD+RW/+R media. For further
information see http://fy.chalmers.se/~appro/linux/DVD+RW/.",工具,
dwz,工具,库,DWARF optimization and duplicate removal tool,"The dwz package contains a program that attempts to optimize DWARF
debugging information contained in ELF shared libraries and ELF executables
for size, by replacing DWARF information representation with equivalent
smaller representation where possible and by reducing the amount of
duplication using techniques from DWARF standard appendix E - creating
DW_TAG_partial_unit compilation units (CUs) for duplicated information
and using DW_TAG_imported_unit to import it into each CU that needs it.",工具,tool
dyninst,工具,库,An API for Run-time Code Generation,"
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching.",库,
e2fsprogs,工具,库,"Utilities for managing ext2, ext3, and ext4 file systems","The e2fsprogs package contains a number of utilities for creating,
checking, modifying, and correcting any inconsistencies in second,
third and fourth extended (ext2/ext3/ext4) file systems. E2fsprogs
contains e2fsck (used to repair file system inconsistencies after an
unclean shutdown), mke2fs (used to initialize a partition to contain
an empty ext2 file system), debugfs (used to examine the internal
structure of a file system, to manually repair a corrupted
file system, or to create test cases for e2fsck), tune2fs (used to
modify file system parameters), and most of the other core ext2fs
file system utilities.

You should install the e2fsprogs package if you need to manage the
performance of an ext2, ext3, or ext4 file system.",工具,utilities
eclipse-equinox-osgi,工具,库,Eclipse OSGi - Equinox,Eclipse OSGi - Equinox,工具,eclipse本身是开发工具，针对这个开发工具的软件包还是应该归类到工具
eclipse-jdt,工具,库,Eclipse Java Development Tools,"Eclipse Java Development Tools.  This package is required to use Eclipse for
developing software written in the Java programming language.",工具,
eclipse-p2-discovery,工具,库,Eclipse p2 Discovery,"The p2 Discovery mechanism provides a simplified and branded front-end for the
p2 provisioning platform. Discovery can be used as a tool to display and
install from existing P2 repositories or as a framework to build branded
installer UIs.",工具,
eclipse-swt,工具,库,SWT Library for GTK+,SWT Library for GTK+.,工具,
eclipse-ecf-runtime,工具,库,Eclipse Communication Framework (ECF) Eclipse plug-in,"ECF is a set of frameworks for building communications into applications and
services. It provides a lightweight, modular, transport-independent, fully
compliant implementation of the OSGi Remote Services standard.",工具,
eclipse-emf-core,工具,库,Eclipse EMF Core Bundles,Core EMF bundles required by the Eclipse platform.,工具,
eclipse-emf-runtime,工具,库,Eclipse Modeling Framework (EMF) Eclipse plug-in,"The Eclipse Modeling Framework (EMF) allows developers to build tools and
other applications based on a structured data model. From a model
specification described in XMI, EMF provides tools and run-time support to
produce a set of Java classes for the model, along with a set of adapter
classes that enable viewing and command-based editing of the model, and a
basic editor.",工具,
eclipse-emf-xsd,工具,库,XML Schema Definition (XSD) Eclipse plug-in,"The XML Schema Definition (XSD) plug-in is a library that provides an API for
manipulating the components of an XML Schema as described by the W3C XML
Schema specifications, as well as an API for manipulating the DOM-accessible
representation of XML Schema as a series of XML documents.",工具,
edk2-ovmf,库,其它,UEFI firmware for x86_64 virtual machines,"OVMF (Open Virtual Machine Firmware) is a project to enable UEFI support for
Virtual Machines. This package contains a sample 64-bit UEFI firmware for QEMU
and KVM.",库,
efi-filesystem,库,其它,The basic directory layout for EFI machines,"The efi-filesystem package contains the basic directory layout for EFI
machine bootloaders and tools.",库,只是一个目录结构
efi-srpm-macros,库,工具,Common SRPM Macros for building EFI-related packages,efi-srpm-macros provides a set of SRPM macros for use in EFI-related packages.,库,
efivar,其它,工具,Tools to manage UEFI variables,efivar provides a simple command line interface to the UEFI variable facility.,工具,Tools
efivar-libs,库,工具,Library to manage UEFI variables,Library to allow for the simple manipulation of UEFI variables.,库,#NAME?
elfutils-devel-static,库,其它,Static archives to handle compiled objects,"The elfutils-devel-static package contains the static archives
with the code to handle compiled objects.",库,devel-static
elfutils-libelf-devel-static,库,其它,Static archive of libelf,"The elfutils-libelf-static package contains the static archive
for libelf.",库,devel-static
elfutils-libs,库,工具,Libraries to handle compiled objects,"The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.",库,#NAME?
elinks,工具,服务,A text-mode Web browser,"Elinks is a text-based Web browser. Elinks does not display any images,
but it does support frames, tables and most other HTML tags. Elinks'
advantage over graphical browsers is its speed--Elinks starts and exits
quickly and swiftly displays Web pages.",工具,命令行浏览器
emacs-nox,工具,库,GNU Emacs text editor without X support,"Emacs is a powerful, customizable, self-documenting, modeless text
editor. Emacs contains special code editing features, a scripting
language (elisp), and the capability to read mail, news, and more
without leaving the editor.

This package provides an emacs binary with no X windows support for running
on a terminal.",工具,emacs编辑器
enca,工具,库,Character set analyzer and detector,"Enca is an Extremely Naive Charset Analyser. It detects character set and
encoding of text files and can also convert them to other encodings using
either a built-in converter or external libraries and tools like libiconv,
librecode, or cstocs.

Currently, it has support for Belarussian, Bulgarian, Croatian, Czech,
Estonian, Latvian, Lithuanian, Polish, Russian, Slovak, Slovene, Ukrainian,
Chinese and some multibyte encodings (mostly variants of Unicode)
independent on the language.

This package also contains shared Enca library other programs can make use of.

Install enca if you need to cope with text files of dubious origin
and unknown encoding and convert them to some reasonable encoding.",工具,
enchant,库,工具,An Enchanting Spell Checking Library,A library that wraps other spell checking backends.,库,library
eog,工具,库,Eye of GNOME image viewer,"The Eye of GNOME image viewer (eog) is the official image viewer for the
GNOME desktop. It can view single image files in a variety of formats, as
well as large image collections.

eog is extensible through a plugin system.",工具,一个图片浏览工具
epel-aliyuncs-next-release,服务,其它,Extra Packages for Enterprise Linux Next repository configuration,"This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum.",服务,软件包服务
epel-next-release,服务,其它,Extra Packages for Enterprise Linux Next repository configuration,"This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum.",服务,软件包服务
epel-rpm-macros,服务,工具,Extra Packages for Enterprise Linux RPM macros,"This package contains the Extra Packages for Enterprise Linux (EPEL) RPM
macros for building EPEL packages.",服务,软件包服务
esc,工具,服务,Enterprise Security Client Smart Card Client,"Enterprise Security Client allows the user to enroll and manage their
cryptographic smartcards.",工具,client
evemu,工具,库,Event Device Query and Emulation Program,"evemu is a simple utility to capture the event stream from input devices
and replay that stream on a virtual input device.",工具,utlity
evince,工具,库,Document viewer,"Evince is simple multi-page document viewer. It can display and print
Portable Document Format (PDF), PostScript (PS) and Encapsulated PostScript
(EPS) files. When supported by the document format, evince allows searching
for text, copying text to the clipboard, hypertext navigation,
table-of-contents bookmarks and editing of forms.",工具,PDF浏览工具
evince-browser-plugin,工具,库,Evince web browser plugin,This package contains the evince web browser plugin.,工具,PDF浏览工具
evolution,工具,服务,Mail and calendar client for GNOME,"Evolution is the GNOME mailer, calendar, contact manager and
communications tool.  The components which make up Evolution
are tightly integrated with one another and act as a seamless
personal information-management tool.",工具,tool，邮件客户端
evolution-help,工具,服务,Help files for evolution,This package contains user documentation for evolution.,工具,tool，邮件客户端
evolution-langpacks,工具,服务,Translations for evolution,This package contains translations for evolution.,工具,tool，邮件客户端
evolution-pst,工具,服务,PST importer plugin for Evolution,"This package contains the plugin to import Microsoft Personal Storage Table
(PST) files used by Microsoft Outlook and Microsoft Exchange.",工具,tool，邮件客户端
evolution-data-server,工具,服务,Backend data server for Evolution,"The evolution-data-server package provides a unified backend for programs that work
with contacts, tasks, and calendar information.

It was originally developed for Evolution (hence the name), but is now used
by other packages.",工具,tool，邮件客户端
evolution-data-server-langpacks,工具,服务,Translations for evolution-data-server,This package contains translations for evolution-data-server.,工具,tool，邮件客户端
evolution-ews,工具,服务,Evolution extension for Exchange Web Services,"This package allows Evolution to interact with Microsoft Exchange servers,
versions 2007 and later, through its Exchange Web Services (EWS) interface.",工具,tool，邮件客户端
evolution-ews-langpacks,工具,服务,Translations for evolution-ews,This package contains translations for evolution-ews.,工具,tool，邮件客户端
evolution-mapi,工具,服务,Evolution extension for MS Exchange 2007 servers,This package allows Evolution to interact with MS Exchange 2007 servers.,工具,tool，邮件客户端
evolution-mapi-langpacks,工具,服务,Translations for evolution-mapi,This package contains translations for evolution-mapi.,工具,tool，邮件客户端
exec-maven-plugin-javadoc,工具,库,Javadoc for exec-maven-plugin,API documentation for exec-maven-plugin.,库,javadoc
exiv2,工具,库,Exif and Iptc metadata manipulation library,"A command line utility to access image metadata, allowing one to:
* print the Exif metadata of Jpeg images as summary info, interpreted values,
  or the plain data for each tag
* print the Iptc metadata of Jpeg images
* print the Jpeg comment of Jpeg images
* set, add and delete Exif and Iptc metadata of Jpeg images
* adjust the Exif timestamp (that's how it all started...)
* rename Exif image files according to the Exif timestamp
* extract, insert and delete Exif metadata (including thumbnails),
  Iptc metadata and Jpeg comments",库,library，description中有utility
expat,工具,库,An XML parser library,"This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.",库,library
extra-cmake-modules,工具,服务,Additional modules for CMake build system,Additional modules for CMake build system needed by KDE Frameworks.,工具,
f32-backgrounds,工具,服务,Fedora 32 default desktop background,"This package contains desktop backgrounds for the Fedora 32 default
theme.  Pulls in themes for GNOME, KDE, Mate and Xfce desktops.",桌面,theme
f32-backgrounds-animated,工具,其它,Time of day images for Fedora 32 backgrounds,"This package contains the time of day images for Fedora 32
Backgrounds.",桌面,theme
f32-backgrounds-base,工具,其它,Base images for Fedora 32 default background,This package contains base images for Fedora 32 default background.,桌面,theme
f32-backgrounds-extras-base,工具,其它,Base images for F32 Extras Backrounds,"This package contains base images for F32 supplemental
wallpapers.",桌面,theme
f32-backgrounds-extras-gnome,工具,服务,Extra F32 Wallpapers for GNOME and Cinnamon,"This package contains F32 supplemental wallpapers for GNOME
and Cinnamon",桌面,theme
f32-backgrounds-extras-kde,工具,服务,Extra F32 Wallpapers for KDE,This package contains F32 supplemental wallpapers for KDE,桌面,theme
f32-backgrounds-extras-mate,工具,服务,Extra F32 Wallpapers for Mate,This package contains F32 supplemental wallpapers for Mate,桌面,theme
f32-backgrounds-extras-xfce,工具,服务,Extra F32 Wallpapers for XFCE,This package contains F32 supplemental wallpapers for XFCE,桌面,theme
f32-backgrounds-gnome,工具,服务,Fedora 32 default wallpaper for GNOME and Cinnamon,"This package contains GNOME/Cinnamon desktop wallpaper for the
Fedora 32 default theme.",桌面,theme
f32-backgrounds-kde,工具,服务,Fedora 32 default wallpaper for KDE,"This package contains KDE desktop wallpaper for the Fedora 32
default theme",桌面,theme
f32-backgrounds-mate,工具,服务,Fedora 32 default wallpaper for Mate,"This package contains Mate desktop wallpaper for the Fedora 32
default theme.",桌面,theme
f32-backgrounds-xfce,工具,服务,Fedora 32 default background for XFCE4,"This package contains XFCE4 desktop background for the Fedora 32
default theme.",桌面,theme
fcitx-data,工具,其它,Data files of Fcitx,The fcitx-data package provides shared data for Fcitx.,桌面/工具,输入法
fcitx-gtk3,工具,服务,Fcitx IM module for gtk3,This package contains Fcitx IM module for gtk3.,桌面/库,输入法
fcitx-libs,工具,库,Shared libraries for Fcitx,The fcitx-libs package provides shared libraries for Fcitx,桌面/库,输入法
felix-gogo-command,工具,库,Apache Felix Gogo command line shell for OSGi,"Apache Felix Gogo is a subproject of Apache Felix implementing a command
line shell for OSGi. It is used in many OSGi runtimes and servers.

This package implements a set of basic commands.",工具,command line
felix-gogo-shell,工具,库,Apache Felix Gogo command line shell for OSGi,"Apache Felix Gogo is a subproject of Apache Felix implementing a command
line shell for OSGi. It is used in many OSGi runtimes and servers.

This package provides a simple textual user interface to interact with the
command processor.",工具,command line
felix-parent,库,工具,Parent POM file for Apache Felix Specs,Parent POM file for Apache Felix Specs.,库,apache
fence-virtd-cpg,服务,工具,CPG/libvirt backend for fence-virtd,"Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes.",库,看了一下rpm里的具体文件，是.so文件
fence-virtd-multicast,服务,工具,Multicast listener for fence-virtd,Provides multicast listener capability for fence-virtd.,库,看了一下rpm里的具体文件，是.so文件
fence-virtd-tcp,服务,工具,TCP listener for fence-virtd,Provides TCP listener capability for fence-virtd.,库,看了一下rpm里的具体文件，是.so文件
fetchmail,工具,服务,A remote mail retrieval and forwarding utility,"Fetchmail is a remote mail retrieval and forwarding utility intended
for use over on-demand TCP/IP links, like SLIP or PPP connections.
Fetchmail supports every remote-mail protocol currently in use on the
Internet (POP2, POP3, RPOP, APOP, KPOP, all IMAPs, ESMTP ETRN, IPv6,
and IPSEC) for retrieval. Then Fetchmail forwards the mail through
SMTP so you can read it through your favorite mail client.

Install fetchmail if you need to retrieve mail over SLIP or PPP
connections.",工具,utlity
ffmpegthumbnailer,工具,库,Lightweight video thumbnailer that can be used by file managers,This video thumbnailer can be used to create thumbnails for your video files.,工具,
fftw,库,工具,A Fast Fourier Transform library,"FFTW is a C subroutine library for computing the Discrete Fourier
Transform (DFT) in one or more dimensions, of both real and complex
data, and of arbitrary input size.",库,library
fdo-admin-cli,工具,服务,FDO admin tools implementation,FDO admin tools implementation,工具,tools
fdo-manufacturing-server,工具,服务,FDO Manufacturing Server implementation,FDO Manufacturing Server implementation,服务,server
fdo-owner-onboarding-server,工具,服务,FDO Owner Onboarding Server implementation,FDO Owner Onboarding Server implementation,服务,server
fdo-rendezvous-server,工具,服务,FDO Rendezvous Server implementation,FDO Rendezvous Server implementation,服务,server
file,工具,库,A utility for determining file types,"The file command is used to identify a particular file according to the
type of data contained by the file.  File can identify many different
file types, including ELF binaries, system libraries, RPM packages, and
different graphics formats.",工具,utlity
filesystem,服务,其它,The basic directory layout for a Linux system,"The filesystem package is one of the basic packages that is installed
on a Linux system. Filesystem contains the basic directory layout
for a Linux operating system, including the correct permissions for
the directories.",服务,目录结构
fio,工具,库,Multithreaded IO generation tool,"fio is an I/O tool that will spawn a number of threads or processes doing
a particular type of io action as specified by the user.  fio takes a
number of global parameters, each inherited by the thread unless
otherwise parameters given to them overriding that setting is given.
The typical use of fio is to write a job file matching the io load
one wants to simulate.",工具,tool
fipscheck,库,工具,A library for integrity verification of FIPS validated modules,"FIPSCheck is a library for integrity verification of FIPS validated
modules. The package also provides helper binaries for creation and
verification of the HMAC-SHA256 checksum files.",库,library
fipscheck-lib,库,工具,Library files for fipscheck,This package contains the FIPSCheck library.,库,library
firefox,工具,服务,Mozilla Firefox Web browser,"Mozilla Firefox is an open-source web browser, designed for standards
compliance, performance and portability.",工具,浏览器
flatpak-libs,库,服务,Libraries for flatpak,This package contains libflatpak.,库,#NAME?
flatpak-builder,工具,服务,Tool to build flatpaks from source,"Flatpak-builder is a tool for building flatpaks from sources.

See http://flatpak.org/ for more information.",工具,Tool
flatpak-spawn,服务,库,Command-line frontend for the org.freedesktop.Flatpak service,"This package contains the flatpak-spawn command-line utility. It can be
used to talk to the org.freedesktop.Flatpak service to spawn new sandboxes,
run commands on the host, or use one of the session or system helpers.",工具,utility
flite,工具,库,"Small, fast speech synthesis engine (text-to-speech)","Flite (festival-lite) is a small, fast run-time speech synthesis engine
developed at CMU and primarily designed for small embedded machines and/or
large servers. Flite is designed as an alternative synthesis engine to
Festival for voices built using the FestVox suite of voice building tools.",工具,
fontconfig,工具,库,Font configuration and customization library,"Fontconfig is designed to locate fonts within the
system and select them according to requirements specified by
applications.",库,library
