name,label,人工初判,summary,description,,,path,res,
texlive-cm-super,工具,其它, CM-Super family of fonts," CM-Super family of fonts are Adobe Type 1 fonts that replace
the T1/TS1-encoded Computer Modern (EC/TC), T1/TS1-encoded
Concrete, T1/TS1-encoded CM bright and LH fonts (thus
supporting all European languages except Greek, and all
Cyrillic-based languages), and bringing many ameliorations in
typesetting quality. The fonts exhibit the same metrics as the
MetaFont-encoded originals.",,,/usr/share/texlive/,库,
texlive-lm,工具,其它, Latin modern fonts in outline formats," The Latin Modern family of fonts consists of 72 text fonts and
20 mathematics fonts, and is based on the Computer Modern fonts
released into public domain by AMS (copyright (c) 1997 AMS).
The lm font set contains a lot of additional characters, mainly
accented ones, but not exclusively. There is one set of fonts,
available both in Adobe Type 1 format (*.pfb) and in OpenType
format (*.otf). There are five sets of TeX Font Metric files,
corresponding to: Cork encoding (cork-*.tfm); QX encoding (qx-
*.tfm); TeX'n'ANSI aka LY1 encoding (texnansi-*.tfm); T5
(Vietnamese) encoding (t5-*.tfm); and Text Companion for EC
fonts aka TS1 (ts1-*.tfm).",,,/usr/share/texlive/,库,
texlive-mathpazo,工具,其它, Fonts to typeset mathematics to match Palatino," The Pazo Math fonts are a family of PostScript fonts suitable
for typesetting mathematics in combination with the Palatino
family of text fonts. The Pazo Math family is made up of five
fonts provided in Adobe Type 1 format (PazoMath, PazoMath-
Italic, PazoMath-Bold, PazoMath-BoldItalic, and
PazoMathBlackboardBold). These contain, in designs that match
Palatino, glyphs that are usually not available in Palatino and
for which Computer Modern looks odd when combined with
Palatino. These glyphs include the uppercase Greek alphabet in
upright and slanted shapes in regular and bold weights, the
lowercase Greek alphabet in slanted shape in regular and bold
weights, several mathematical glyphs (partialdiff, summation,
product, coproduct, emptyset, infinity, and proportional) in
regular and bold weights, other glyphs (Euro and dotlessj) in
upright and slanted shapes in regular and bold weights, and the
uppercase letters commonly used to represent various number
sets (C, I, N, Q, R, and Z) in blackboard bold. The set also
includes a set of 'true' small-caps fonts, also suitable for
use with Palatino (or one of its clones). LaTeX macro support
(using package mathpazo.sty) is provided in psnfss (a required
part of any LaTeX distribution).",,,/usr/share/texlive/,库,
maven-enforcer-api,工具,库, Enforcer API," This component provides the generic interfaces needed to
implement custom rules for the maven-enforcer-plugin.",,,/usr/share/java,库,
quota-nld,工具,服务,quota_nld daemon ,"Daemon that listens on netlink socket and processes received quota warnings.
Note, that you have to enable the kernel support for sending quota messages
over netlink (in Filesystems->Quota menu). The daemon supports forwarding
warning messages to the system D-Bus (so that desktop manager can display
a dialog) and writing them to the terminal user has last accessed. ",,,"/usr/sbin

/etc/sysconfig


/usr/lib/systemd/system


quota_nld.service",服务,
papirus-icon-theme,工具,其它, Free and open source SVG icon theme based on Paper Icon Set," Papirus is a free and open source SVG icon theme for Linux, based on Paper
Icon Set with a lot of new icons and a few extras, like Hardcode-Tray support,
KDE colorscheme support, Folder Color support, and others.

Papirus icon theme is available in six variants:

 - Papirus (for Arc / Arc Darker)
 - Papirus Dark (for Arc Dark)
 - Papirus Light (light theme with Breeze colors)
 - Papirus Adapta (for Adapta)
 - Papirus Adapta Nokto (for Adapta Nokto)
 - ePapirus (for elementary OS and Pantheon Desktop)",,,/usr/share/icons/,库,
mysql,工具,unknown, MySQL client programs and shared libraries," MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files.",,,/usr/bin,工具,
nautilus-extensions,工具,库, Nautilus extensions library, This package provides the libraries used by nautilus extensions.,,,/usr/lib64/girepository-1.0,库,
libattr,工具,库, Dynamic library for extended attribute support," This package contains the libattr.so dynamic library which contains
the extended attribute system calls and library functions.",,,/usr/lib64,库,
ndctl,工具,库,Manage "libnvdimm" subsystem devices (Non-volatile Memory) ,"Utility library for managing the ""libnvdimm"" subsystem.  The ""libnvdimm""
subsystem defines a kernel device model and control message interface for
platform NVDIMM resources like those defined by the ACPI 6+ NFIT (NVDIMM
Firmware Interface Table). ",,,"/usr/bin


ndctl-monitor.service",服务,
gcc-toolset-11-elfutils-libs,工具,库, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.",,,"/opt/rh/gcc-toolset-11/root/usr/lib64


",库,
mingw64-crt,工具,库, MinGW Windows cross-compiler runtime for the win64 target," MinGW Windows cross-compiler runtime, base libraries for the win64 target.",,,/usr/x86_64-w64-mingw32/sys-root/mingw/lib,库,
ntfsprogs,工具,unknown, NTFS filesystem libraries and utilities," The ntfsprogs package currently consists of a library and utilities such as
mkntfs, ntfscat, ntfsls, ntfsresize, and ntfsundelete (for a full list of
included utilities see man 8 ntfsprogs after installation).",,,"/usr/bin


/usr/sbin",工具,
opensm-libs,工具,库, Libraries used by opensm and included utilities, Shared libraries for Infiniband user space access,,,"/usr/lib64

",库,
mingw32-cairo,工具,库, MinGW Windows Cairo library, MinGW Windows Cairo library.,,,"/usr/i686-w64-mingw32/sys-root/mingw/bin
/usr/i686-w64-mingw32/sys-root/mingw/lib
/usr/i686-w64-mingw32/sys-root/mingw/include",库,
libpkgconf,工具,库, Backend library for pkgconf," This package provides libraries for applications to use the functionality
of pkgconf.",,,/usr/lib64,库,
apr-util,工具,库, Apache Portable Runtime Utility library," The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more.",,,/usr/lib64,库,
apr-util-sqlite,工具,库, APR utility library SQLite DBD driver," This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface.",,,/usr/lib64/apr-util-1,库,
mingw32-fontconfig,工具,库, MinGW Windows Fontconfig library, MinGW Windows Fontconfig library.,,,"/usr/i686-w64-mingw32/sys-root/mingw/bin

/usr/i686-w64-mingw32/sys-root/mingw/lib/pkgconfig



",库,
boom-boot-grub2,工具,unknown,A set of libraries and tools for managing boot loader entries ,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.

This package provides integration scripts for grub2 bootloader. ",,,"/etc/default
/etc/grub.d",库,
mingw64-freetype,工具,unknown, Free and portable font rendering engine, MinGW Windows Freetype library.,,,"/usr/x86_64-w64-mingw32/sys-root/mingw/lib

/usr/x86_64-w64-mingw32/sys-root/mingw/bin
",库,
avahi-ui,工具,库, Gtk user interface library for Avahi (Gtk+ 2 version), This library contains a Gtk 2.x widget for browsing services.,,,/usr/lib64,库,
libmount,工具,库, Device mounting library," This is the device mounting library, part of util-linux.",,,/usr/lib64,库,
pam,工具,库,An extensible library which provides authentication for applications ,"PAM (Pluggable Authentication Modules) is a system security tool that
allows system administrators to set authentication policy without
having to recompile programs that handle authentication. ",,,"/usr/lib64/security
/usr/sbin",工具,
uuid,工具,库, Universally Unique Identifier library," OSSP uuid is a ISO-C:1999 application programming interface (API)
and corresponding command line interface (CLI) for the generation
of DCE 1.1, ISO/IEC 11578:1996 and RFC 4122 compliant Universally
Unique Identifier (UUID). It supports DCE 1.1 variant UUIDs of version
1 (time and node based), version 3 (name based, MD5), version 4
(random number based) and version 5 (name based, SHA-1). Additional
API bindings are provided for the languages ISO-C++:1998 and Perl:5
Optional backward compatibility exists for the ISO-C DCE-1.1 and Perl
Data::UUID APIs.",,,"/usr/lib64

/usr/share/doc
/usr/bin",工具,
texlive-bera,工具,其它, Bera fonts," The package contains the Bera Type 1 fonts, and a zip archive
containing files to use the fonts with LaTeX. Bera is a set of
three font families: Bera Serif (a slab-serif Roman), Bera Sans
(a Frutiger descendant), and Bera Mono (monospaced/typewriter).
Support for use in LaTeX is also provided. The Bera family is a
repackaging, for use with TeX, of the Bitstream Vera family.",,,/usr/share/texlive/,库,
texlive-utopia,工具,其它, Adobe Utopia fonts," The Adobe Standard Encoding set (upright and italic shapes,
medium and bold weights) of the Utopia font family, which Adobe
donated to the X Consortium. Macro support, and maths fonts
that match the Utopia family, are provided by the Fourier and
the Mathdesign Utopia font packages.",,,/usr/share/texlive/,库,
quota-rpc,工具,服务,RPC quota daemon ,"The RPC daemon allows to query and set disk quotas over network. If you run
the daemon on NFS__erver, you could use quota tools to manage the quotas from
NFS client. ",,,"
/usr/sbin

/usr/share/doc
/etc/sysconfig
/usr/lib
/usr/lib/systemd/system


rpc-rquotad.service",服务,
avahi-ui-gtk3,工具,库, Gtk user interface library for Avahi (Gtk+ 3 version), This library contains a Gtk 3.x widget for browsing services.,,,/usr/lib64,库,
gcc-toolset-10-ltrace,工具,库, Tracks runtime library calls from dynamically linked executables," Ltrace is a debugging program which runs a specified command until the
command exits.  While the command is executing, ltrace intercepts and
records both the dynamic library calls called by the executed process
and the signals received by the executed process.  Ltrace can also
intercept and print system calls executed by the process.

You should install ltrace if you need a sysadmin tool for tracking the
execution of processes.",,,/opt/rh/gcc-toolset-10/root/usr/bin,工具,
libuuid,工具,库, Universally unique ID library," This is the universally unique ID library, part of util-linux.

The libuuid library generates and parses 128-bit universally unique
id's (UUID's).  A UUID is an identifier that is unique across both
space and time, with respect to the space of all UUIDs.  A UUID can
be used for multiple purposes, from tagging objects with an extremely
short lifetime, to reliably identifying very persistent objects
across a network.

See also the ""uuid"" package, which is a separate implementation.",,,/usr/lib64,库,
lld-libs,工具,库, LLD shared libraries, Shared libraries for LLD.,,,/usr/lib64,库,
texlive-cm,工具,其它, Computer Modern fonts," Knuth's final iteration of his re-interpretation of a c.19
Modern-style font from Monotype. The family is comprehensive,
offering both sans and roman styles, and a monospaced font,
together with mathematics fonts closely integrated with the
mathematical facilities of TeX itself. The base fonts are
distributed as Metafont source, but autotraced PostScript Type
1 versions are available (one version in the AMS fonts
distribution, and also the BaKoMa distribution). The Computer
Modern fonts have inspired many later families, notably the
European Computer Modern and the Latin Modern families.",,,/usr/share/texlive/,库,
gcc-toolset-9-elfutils-libs,工具,库, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling.  These libraries are used by the programs
in the elfutils package.  The elfutils-devel package enables building
other programs using these libraries.",,,/opt/rh/gcc-toolset-9/root/usr/lib64,库,
sg3_utils-libs,工具,库, Shared library for sg3_utils, This package contains the shared library for sg3_utils.,,,/usr/lib64,库,
gcc-toolset-11-libgccjit,工具,库, Library for embedding GCC inside programs and libraries, This package contains shared library with GCC 11 JIT front-end.,,,/opt/rh/gcc-toolset-11/root/usr/lib64,库,
texlive-kerkis,工具,其它, Kerkis (Greek) font family," Sans-serif Greek fonts to match the URW Bookman set (which are
distributed with Kerkis). The Kerkis font set has some support
for mathematics as well as other glyphs missing from the base
URW Bookman fonts (the URW fonts are duplicated in the
distribution). Macros are provided to use the fonts in OT1, T1
(only NG/ng glyphs missing) and LGR encodings, as well as in
mathematics; small caps and old-style number glyphs are also
available. The philosophy, and the design process, of the
Kerkis fonts is discussed in a paper in TUGboat 23(3/4), 2002.",,,/usr/share/texlive,库,
hunspell,工具,库, A spell checker and morphological analyzer library," Hunspell is a spell checker and morphological analyzer library and program
designed for languages with rich morphology and complex word compounding or
character encoding. Hunspell interfaces: Ispell-like terminal interface using
Curses library, Ispell pipe interface, LibreOffice UNO module.",,,"/usr/lib64
/usr/bin",工具,
python38-libs,工具,库, Python runtime libraries," This package contains runtime libraries for use by Python:
- the majority of the Python standard library
- a dynamically linked library for use by applications that embed Python as
  a scripting language, and by the main ""python3"" executable",,,/usr/lib64/python3.8/,库,
python2-libs,工具,库, Runtime libraries for Python 2, This package contains files used to embed Python 2 into applications.,,,/usr/lib64/python2.7/,库,
osbuild,工具,, A build system for OS images, A build system for OS images,,,"/usr/lib/osbuild/

/usr/bin


/usr/bin",工具,
libsysfs,工具,库,Shared library for interfacing with sysfs ,Library used in handling linux kernel sysfs mounts and their various files. ,,,"/usr/lib64


",库,
unbound-libs,工具,库, Libraries used by the unbound server and client applications, Contains libraries used by the unbound server and client applications,,,"/var/lib/unbound
/usr/lib64
/etc/unbound
/usr/sbin",工具,
ltrace,工具,库, Tracks runtime library calls from dynamically linked executables," Ltrace is a debugging program which runs a specified command until the
command exits.  While the command is executing, ltrace intercepts and
records both the dynamic library calls called by the executed process
and the signals received by the executed process.  Ltrace can also
intercept and print system calls executed by the process.

You should install ltrace if you need a sysadmin tool for tracking the
execution of processes.",,,/usr/bin,工具,
xz-libs,工具,库, Libraries for decoding LZMA compression, Libraries for decoding files compressed with LZMA or XZ utils.,,,/usr/lib64,库,
texlive-mflogo-font,工具,其它, Metafont logo font," These fonts were created in Metafont by Knuth, for his own
publications. At some stage, the letters 'P' and 'S' were
added, so that the MetaPost logo could also be expressed. The
fonts were originally issued (of course) as Metafont source;
they have since been autotraced and reissued in Adobe Type 1
format by Taco Hoekwater.",,,/usr/share/texlive/,库,
libudisks2,工具,库, Dynamic library to access the udisksd daemon," This package contains the dynamic library, which provides
access to the udisksd daemon.",,,/usr/lib64,库,
yelp-libs,工具,库, Libraries for yelp, This package contains libraries used by the yelp help browser.,,,/usr/lib64,库,
apr-util-pgsql,工具,库, APR utility library PostgreSQL DBD driver," This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface.",,,/usr/lib64/apr-util-1,库,
maven-resolver,工具,库, Apache Maven Artifact Resolver library," Apache Maven Artifact Resolver is a library for working with artifact
repositories and dependency resolution. Maven Artifact Resolver deals with the
specification of local repository, remote repository, developer workspaces,
artifact transports and artifact resolution.",,,"/usr/share/maven-poms/aether
/usr/share/java",库,
kf5-kdelibs4support-libs,工具,库, Runtime libraries for kf5-kdelibs4support, Runtime libraries for kf5-kdelibs4support.,,,"/usr/lib64/qt5/plugins/kf5/kded
/usr/lib64",库,
texlive-marvosym,工具,其它, Martin Vogel's Symbols (marvosym) font," Martin Vogel's Symbol font (marvosym) contains the Euro
currency symbol as defined by the European commission, along
with symbols for structural engineering; symbols for steel
cross-sections; astronomy signs (sun, moon, planets); the 12
signs of the zodiac; scissor symbols; CE sign and others. The
package contains both the original TrueType font and the
derived Type 1 font, together with support files for TeX
(LaTeX).",,,/usr/share/texlive/,库,
motif,工具,库, Run-time libraries and programs," This is the Motif 2.3.4 run-time environment. It includes the
Motif shared libraries, needed to run applications which are dynamically
linked against Motif and the Motif Window Manager mwm.",,,/usr/bin,工具,
gcc-toolset-11-elfutils-libelf,工具,库, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files.",,,/opt/rh/gcc-toolset-11/root/usr/lib64,库,
device-mapper-event-libs,工具,库, Device-mapper event daemon shared library," This package contains the device-mapper event daemon shared library,
libdevmapper-event.",,,/usr/lib64,库,
gcc-toolset-9-libstdc++-docs,工具,库, Documentation for the GNU standard C++ library," Manual, doxygen generated API information and Frequently Asked Questions
for the GNU standard C++ library.",,,/opt/rh/gcc-toolset-9/root/usr/share/doc/,库,
frr,工具,服务, Routing daemon," FRRouting is free software that manages TCP/IP based routing protocols. It takes
a multi-server and multi-threaded approach to resolve the current complexity
of the Internet.

FRRouting supports BGP4, OSPFv2, OSPFv3, ISIS, RIP, RIPng, PIM, NHRP, PBR, EIGRP and BFD.

FRRouting is a fork of Quagga.",,,"/usr/bin

/usr/lib64
/etc/frr",工具,
python3-kickstart,工具,库, Python 3 library for manipulating kickstart files.," Python 3 library for manipulating kickstart files.  The binaries are found in
the pykickstart package.",,,/usr/lib/python3.6/site-packages/,库,
apr-util-bdb,工具,unknown, APR utility library Berkeley DB driver," This package provides the Berkeley DB driver for the apr-util
DBM (database abstraction) interface.",,,/usr/lib64/,库,
mpv-libs,工具,库, Dynamic library for Mpv frontends," This package contains the dynamic library libmpv, which provides access to Mpv.",,,"/usr/lib64


",库,
kubernetes-kubeadm,服务,工具, Kubernetes tool for standing up clusters, Kubernetes tool for standing up clusters,,,"/usr/bin
/etc/systemd/system

没有.service文件

",工具,
gnome-user-docs,服务,库, GNOME User Documentation," This package contains end-user documentation for the GNOME desktop
environment.",,,/usr/share/help/,库,
NetworkManager-libnm,服务,库, Libraries for adding NetworkManager support to applications.," This package contains the libraries that make it easier to use some
NetworkManager functionality from applications.",,,"/usr/lib64

/usr/lib",库,
pacemaker-libs,服务,库, Core Pacemaker libraries," Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

The pacemaker-libs package contains shared libraries needed for cluster
nodes and those just running the CLI tools.",,,/usr/lib64,库,
cronie-anacron,服务,unknown, Utility for running regular jobs," Anacron is part of cronie that is used for running jobs with regular
periodicity which do not have exact time of day of execution.

The default settings of anacron execute the daily, weekly, and monthly
jobs, but anacron allows setting arbitrary periodicity of jobs.

Using anacron allows running the periodic jobs even if the system is often
powered off and it also allows randomizing the time of the job execution
for better utilization of resources shared among multiple systems.",,,"cron.daily
cron.monthly
cron.weekly
/var/spool/anacron",服务,
pki-tools,服务,unknown, PKI Tools Package," This package contains PKI executables that can be used to help make
Certificate System into a more complete and robust PKI solution.",,,/usr/bin,工具,
plymouth-core-libs,服务,库, Plymouth core libraries," This package contains the libply and libply-splash-core libraries
used by Plymouth.",,,"/usr/lib64
/usr/lib",库,
openwsman-server,服务,unknown, Openwsman Server and service libraries, Openwsman Server and service libraries.,,,"/usr/lib64

/usr/sbin


openwsmand.service


openwsmand.service
",服务,
pacemaker-cli,服务,工具, Command line tools for controlling Pacemaker clusters," Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

The pacemaker-cli package contains command line tools that can be used
to query and control the cluster from machines that may, or may not,
be part of the cluster.",,,"
/usr/sbin

/etc/sysconfig


",工具,
libsss_idmap,服务,库, FreeIPA Idmap library, Utility library to convert SIDs to Unix uids and gids,,,"/usr/lib64


",库,
pcp-import-iostat2pcp,服务,库, Performance Co-Pilot tools for importing iostat data into PCP archive logs," Performance Co-Pilot (PCP) front-end tools for importing iostat data
into standard PCP archive logs for replay with any PCP monitoring tool.",,,"/usr/bin
",工具,
PackageKit-glib,服务,库, GLib libraries for accessing PackageKit, GLib libraries for accessing PackageKit.,,,/usr/lib64,库,
libxdp,服务,库, XDP helper library," The libxdp package contains the libxdp library for managing XDP programs,
used by the xdp-tools package",,,/usr/lib64/bpf,库,
python3-ipaserver,服务,库, Python libraries used by IPA server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package.",,,"/usr/lib/python3.6/


",库,
gnome-font-viewer,服务,工具, Utility for previewing fonts for GNOME," Use gnome-font-viewer, the Font Viewer, to preview fonts and display
information about a specified font. You can use the Font Viewer to display the
name, style, type, size, version and copyright of the font.",,,"/usr/libexec
/usr/bin


/usr/share/applications",工具,
postgresql-static,服务,库, Statically linked PostgreSQL libraries," Statically linked PostgreSQL libraries that do not have dynamically linked
counterparts.",,,/usr/lib64,库,
pcp-import-mrtg2pcp,服务,unknown, Performance Co-Pilot tools for importing MTRG data into PCP archive logs," Performance Co-Pilot (PCP) front-end tools for importing MTRG data
into standard PCP archive logs for replay with any PCP monitoring tool.",,,/usr/bin,工具,
libsss_autofs,服务,库,A library to allow communication between Autofs and SSSD ,A utility library to allow communication between Autofs and SSSD ,,,/usr/lib64/,库,
gnome-bluetooth,服务,unknown, Bluetooth graphical utilities," The gnome-bluetooth package contains graphical utilities to setup,
monitor and use Bluetooth devices.",,,"/usr/lib/udev/rules.d
/usr/share/applications

",工具,
xdg-utils,服务,unknown, Basic desktop integration functions," The xdg-utils package is a set of simple scripts that provide basic
desktop integration functions for any Free Desktop, such as Linux.
They are intended to provide a set of defacto standards.
This means that:
*  Third party software developers can rely on these xdg-utils
   for all of their simple integration needs.
*  Developers of desktop environments can make sure that their
   environments are well supported
*  Distribution vendors can provide custom versions of these utilities

The following scripts are provided at this time:
* xdg-desktop-icon      Install icons to the desktop
* xdg-desktop-menu      Install desktop menu items
* xdg-email             Send mail using the user's preferred e-mail composer
* xdg-icon-resource     Install icon resources
* xdg-mime              Query information about file type handling and
                        install descriptions for new file types
* xdg-open              Open a file or URL in the user's preferred application
* xdg-screensaver       Control the screensaver
* xdg-settings          Get various settings from the desktop environment",,,/usr/bin,工具,
sssd-client,服务,库, SSSD Client libraries for NSS and PAM," Provides the libraries needed by the PAM and NSS stacks to connect to the SSSD
service.",,,/usr/lib64/,库,
libsss_sudo,服务,库,A library to allow communication between SUDO and SSSD ,A utility library to allow communication between SUDO and SSSD ,,,/usr/lib64,库,
sanlock-lib,服务,库, A shared storage lock manager library," The sanlock-lib package contains the runtime libraries for sanlock,
a shared storage lock manager.
Hosts connected to a common SAN can use this to synchronize their
access to the shared disks.",,,/usr/lib64,库,
libipa_hbac,服务,库, FreeIPA HBAC Evaluator library, Utility library to validate FreeIPA HBAC rules for authorization requests,,,"/usr/lib64

",库,
bind-pkcs11-utils,服务,unknown, Bind tools with native PKCS#11 for using DNSSEC," This is a set of PKCS#11 utilities that when used together create rsa
keys in a PKCS11 keystore. Also utilities for working with DNSSEC
compiled with native PKCS#11 functionality are included.",,,/usr/sbin,工具,
python3-samba,服务,库, Samba Python3 libraries," The python3-samba package contains the Python 3 libraries needed by programs
that use SMB, RPC and other Samba provided protocols in Python 3 programs.",,,"/usr/lib64

/usr/lib64/python3.6/",库,
pcp-gui,服务,工具, Visualization tools for the Performance Co-Pilot toolkit," Visualization tools for the Performance Co-Pilot toolkit.
The pcp-gui package primarily includes visualization tools for
monitoring systems using live and archived Performance Co-Pilot
(PCP) sources.",,,"/usr/share/applications
/usr/libexec/
/usr/bin
/usr/share/bash-completion/completions",工具,
poppler-utils,服务,工具, Command line utilities for converting PDF files," Command line tools for manipulating PDF files and converting them to
other formats.",,,/usr/bin,工具,
bind9.16-utils,服务,unknown, Utilities for querying DNS name servers," Bind-utils contains a collection of utilities for querying DNS (Domain
Name System) name servers to find out information about Internet
hosts. These tools will provide you with the IP addresses for given
host names, as well as other information about registered domains and
network addresses.

You should install bind9.16-utils if you need to get information from DNS name
servers.",,,/usr/sbin,工具,
sssd-tools,服务,工具,Userspace tools for use with the SSSD ,"Provides several administrative tools:
    * sss_debuglevel to change the debug level on the fly
    * sss_seed which pre-creates a user entry for use in kickstarts
    * sss_obfuscate for generating an obfuscated LDAP password
    * sssctl -- an sssd status and control utility ",,,"
/usr/libexec/sssd

usr/sbin

",工具,
gnome-control-center,服务,unknown, Utilities to configure the GNOME desktop," This package contains configuration utilities for the GNOME desktop, which
allow to configure accessibility options, desktop fonts, keyboard and mouse
properties, sound setup, desktop theme and background, user interface
properties, screen resolution, and other settings.",,,"/usr/libexec
/usr/share/glib-2.0/schemas
gnome-wifi-panel.desktop",工具,
libsss_certmap,服务,库, SSSD Certificate Mapping Library, Library to map certificates to users based on rules,,,/usr/lib64,库,
