name,layer_true,layer_pred,summary,description
fprintd-pam,应用,核心,PAM module for fingerprint authentication,"PAM module that uses the fprintd D-Bus service for fingerprint
authentication."
freeipmi,应用,系统,IPMI remote console and system management software,"The FreeIPMI project provides ""Remote-Console"" (out-of-band) and
""System Management Software"" (in-band) based on Intelligent
Platform Management Interface specification."
freeipmi-bmc-watchdog,应用,系统,IPMI BMC watchdog,Provides a watchdog daemon for OS monitoring and recovery.
freeipmi-ipmidetectd,应用,系统,IPMI node detection monitoring daemon,Provides a tool and a daemon for IPMI node detection.
freeipmi-ipmiseld,应用,系统,IPMI SEL syslog logging daemon,IPMI SEL syslog logging daemon.
freeradius,应用,系统,High-performance and highly configurable free RADIUS server,"The FreeRADIUS Server Project is a high performance and highly configurable
GPL'd free RADIUS server. The server is similar in some respects to
Livingston's 2.0 server.  While FreeRADIUS started as a variant of the
Cistron RADIUS server, they don't share a lot in common any more. It now has
many more features than Cistron or Livingston, and is much more configurable.

FreeRADIUS is an Internet authentication daemon, which implements the RADIUS
protocol, as defined in RFC 2865 (and others). It allows Network Access
Servers (NAS boxes) to perform authentication for dial-up users. There are
also RADIUS clients available for Web servers, firewalls, Unix logins, and
more.  Using RADIUS allows authentication and authorization for a network to
be centralized, and minimizes the amount of re-configuration which has to be
done when adding or deleting new users."
freeradius-krb5,应用,系统,Kerberos 5 support for freeradius,This plugin provides the Kerberos 5 support for the FreeRADIUS server project.
freeradius-ldap,应用,系统,LDAP support for freeradius,This plugin provides the LDAP support for the FreeRADIUS server project.
freeradius-perl,应用,系统,Perl support for freeradius,This plugin provides the Perl support for the FreeRADIUS server project.
freeradius-rest,应用,系统,REST support for freeradius,This plugin provides the REST support for the FreeRADIUS server project.
freeradius-sqlite,应用,系统,SQLite support for freeradius,This plugin provides the SQLite support for the FreeRADIUS server project.
freeradius-unixODBC,应用,系统,Unix ODBC support for freeradius,This plugin provides the unixODBC support for the FreeRADIUS server project.
freeradius-utils,应用,系统,FreeRADIUS utilities,"The FreeRADIUS server has a number of features found in other servers,
and additional features not found in any other server. Rather than
doing a feature by feature comparison, we will simply list the features
of the server, and let you decide if they satisfy your needs.

Support for RFC and VSA Attributes Additional server configuration
attributes Selecting a particular configuration Authentication methods"
python3-freeradius,应用,系统,Python 3 support for freeradius,This plugin provides the Python 3 support for the FreeRADIUS server project.
libwinpr,应用,系统,Windows Portable Runtime,"WinPR provides API compatibility for applications targeting non-Windows
environments. When on Windows, the original native API is being used instead of
the equivalent WinPR implementation, without having to modify the code using it."
freetype,应用,核心,A free and portable font rendering engine,"The FreeType engine is a free and portable font rendering
engine, developed to provide advanced font support for a variety of
platforms and environments. FreeType is a library which can open and
manages font files as well as efficiently load, hint and render
individual glyphs. FreeType is not a font server or a complete
text-rendering library."
fstrm,应用,系统,Frame Streams implementation in C,"Frame Streams is a light weight, binary clean protocol that allows for the
transport of arbitrarily encoded data payload sequences with minimal framing
overhead -- just four bytes per data frame. Frame Streams does not specify
an encoding format for data frames and can be used with any data serialization
format that produces byte sequences, such as Protocol Buffers, XML, JSON,
MessagePack, YAML, etc."
ftp,系统,应用,The standard UNIX FTP (File Transfer Protocol) client,"The ftp package provides the standard UNIX command-line FTP (File
Transfer Protocol) client.  FTP is a widely used protocol for
transferring files over the Internet and for archiving files.

If your system is on a network, you should install ftp in order to do
file transfers."
fuse,系统,应用,File System in Userspace (FUSE) v2 utilities,"With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v2 userspace tools to
mount a FUSE filesystem."
fuse3,系统,应用,File System in Userspace (FUSE) v3 utilitie,"With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v3 userspace tools to
mount a FUSE filesystem."
fuse3-libs,系统,应用,File System in Userspace (FUSE) v3 libraries,"Devel With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v3 libraries."
fuse-common,系统,其它,Common files for File System in Userspace (FUSE) v2 and v3,Common files for FUSE v2 and FUSE v3.
fuse-libs,系统,应用,File System in Userspace (FUSE) v2 libraries,"Devel With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v2 libraries."
fuse-exfat,系统,应用,Free exFAT file system implementation,"This driver is the first free exFAT file system implementation with write
support. exFAT is a simple file system created by Microsoft. It is intended
to replace FAT32 removing some of it's limitations. exFAT is a standard FS
for SDXC memory cards."
fuse-sshfs,系统,应用,FUSE-Filesystem to access remote filesystems via SSH,"This is a FUSE-filesystem client based on the SSH File Transfer Protocol.
Since most SSH servers already support this protocol it is very easy to set
up: i.e. on the server side there's nothing to do.  On the client side
mounting the filesystem is as easy as logging into the server with ssh."
fwupd,系统,应用,Firmware update daemon,fwupd is a daemon to allow session software to update device firmware.
fwupdate-efi,系统,应用,UEFI binaries used by libfwup,UEFI binaries used by libfwup.
fxload,应用,系统,A helper program to download firmware into FX and FX2 EZ-USB devices,"This program is conveniently able to download firmware into FX and FX2
EZ-USB devices, as well as the original AnchorChips EZ-USB.  It is
intended to be invoked by udev scripts when the unprogrammed device
appears on the bus."
galera,应用,核心,Synchronous multi-master wsrep provider (replication engine),"Galera is a fast synchronous multi-master wsrep provider (replication engine)
for transactional databases and similar applications. For more information
about wsrep API see http://launchpad.net/wsrep. For a description of Galera
replication engine see http://www.codership.com."
libgcab1,系统,应用,Library to create Cabinet archives,libgcab is a library to manipulate Cabinet archive using GIO/GObject.
gcc-c++,系统,应用,C++ support for GCC,"This package adds C++ support to the GNU Compiler Collection.
It includes support for most of the current C++ specification,
including templates and exception handling."
gcc-offload-nvptx,系统,应用,Offloading compiler to NVPTX,"The gcc-offload-nvptx package provides offloading support for
NVidia PTX.  OpenMP and OpenACC programs linked with -fopenmp will
by default add PTX code into the binaries, which can be offloaded
to NVidia PTX capable devices if available."
libatomic-static,系统,核心,The GNU Atomic static library,This package contains GNU Atomic static libraries.
libgcc,系统,应用,GCC version 8 shared support library,"This package contains GCC shared support library which is needed
e.g. for exception handling support."
libstdc++,系统,应用,GNU Standard C++ Library,"The libstdc++ package contains a rewritten standard compliant GCC Standard
C++ Library."
libstdc++-docs,系统,应用,Documentation for the GNU standard C++ library,"Manual, doxygen generated API information and Frequently Asked Questions
for the GNU standard C++ library."
libstdc++-static,系统,核心,Static libraries for the GNU standard C++ library,Static libraries for the GNU standard C++ library.
gcc-toolset-10-systemtap-client,系统,核心,Programmable system-wide instrumentation system - client,"This package contains/requires the components needed to develop
systemtap scripts, and compile them using a local systemtap-devel
or a remote systemtap-server installation, then run them using a
local or remote systemtap-runtime.  It includes script samples and
documentation, and a copy of the tapset library for reference."
gcc-toolset-10-systemtap-server,系统,应用,Instrumentation System Server,"This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand."
gcc-toolset-11-dyninst,系统,应用,An API for Run-time Code Generation,"
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching."
gcc-toolset-11-gdb,系统,核心,"A GNU source-level debugger for C, C++, Fortran, Go and other languages","GDB, the GNU debugger, allows you to debug programs written in C, C++,
Java, and other languages, by executing them in a controlled fashion
and printing their data."
gcc-toolset-11-systemtap-client,系统,核心,Programmable system-wide instrumentation system - client,"This package contains/requires the components needed to develop
systemtap scripts, and compile them using a local systemtap-devel
or a remote systemtap-server installation, then run them using a
local or remote systemtap-runtime.  It includes script samples and
documentation, and a copy of the tapset library for reference."
gcc-toolset-11-systemtap-server,系统,应用,Instrumentation System Server,"This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand."
gcc-toolset-9-dyninst-static,系统,核心,Static libraries for the compiling programs with Dyninst,"dyninst-static includes the static versions of the library files for
the dyninst user-space libraries and interfaces."
gcc-toolset-9-dyninst-testsuite,系统,应用,Programs for testing Dyninst,"dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
gcc-toolset-9-gcc-c++,系统,应用,C++ support for GCC  version 9,"This package adds C++ support to the GNU Compiler Collection
version 9.  It includes support for most of the current C++ specification
and a lot of support for the upcoming C++ specification."
gcc-toolset-9-systemtap-client,系统,应用,Programmable system-wide instrumentation system - client,"This package contains/requires the components needed to develop
systemtap scripts, and compile them using a local systemtap-devel
or a remote systemtap-server installation, then run them using a
local or remote systemtap-runtime.  It includes script samples and
documentation, and a copy of the tapset library for reference."
gcc-toolset-9-systemtap-runtime,系统,核心,Programmable system-wide instrumentation system - runtime,"SystemTap runtime contains the components needed to execute
a systemtap script that was already compiled into a module
using a local or remote systemtap-devel installation."
gcc-toolset-9-systemtap-server,系统,核心,Instrumentation System Server,"This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand."
GConf2,应用,系统,A process-transparent configuration system,"GConf is a process-transparent configuration database API used to
store user preferences. It has pluggable backends and features to
support workgroup administration."
gdb-gdbserver,系统,核心,A standalone server for GDB (the GNU source-level debugger),"GDB, the GNU debugger, allows you to debug programs written in C, C++,
Java, and other languages, by executing them in a controlled fashion
and printing their data.

This package provides a program that allows you to run GDB on a different
machine than the one which is running the program being debugged."
gdm,应用,核心,The GNOME Display Manager,"GDM, the GNOME Display Manager, handles authentication-related backend
functionality for logging in a user and unlocking the user's session after
it's been locked. GDM also provides functionality for initiating user-switching,
so more than one user can be logged in at the same time. It handles
graphical session registration with the system for both local and remote
sessions (in the latter case, via the XDMCP protocol).  In cases where the
session doesn't provide it's own display server, GDM can start the display
server on behalf of the session."
genwqe-tools,应用,系统,GenWQE userspace tools,Provide a suite of utilities to manage and configure the IBM GenWQE card.
genwqe-zlib,应用,系统,GenWQE hardware accelerated libz,GenWQE hardware accelerated libz and test-utilities.
geoclue2,应用,系统,Geolocation service,"Geoclue is a D-Bus service that provides location information. The primary goal
of the Geoclue project is to make creating location-aware applications as
simple as possible, while the secondary goal is to ensure that no application
can access location information without explicit permission from user."
geoclue2-libs,应用,系统,Geoclue client library,"The geoclue2-libs package contains a convenience library to interact with
Geoclue service."
geocode-glib,应用,系统,Geocoding helper library,"geocode-glib is a convenience library for the geocoding (finding longitude,
and latitude from an address) and reverse geocoding (finding an address from
coordinates). It uses Nominatim service to achieve that. It also caches
(reverse-)geocoding requests for faster results and to avoid unnecessary server
load."
GeoIP,应用,核心,Library for country/city/organization to IP address or hostname mapping,"GeoIP is a C library that enables the user to find the country that any IP
address or hostname originates from.

It uses file based databases that can optionally be updated on a weekly basis
by installing the geoipupdate-cron (IPv4) and/or geoipupdate-cron6 (IPv6)
packages."
GeoIP-GeoLite-data,应用,其它,Free GeoLite IP geolocation country database,"The GeoLite databases are free IP geolocation databases. This package contains
a database that maps IPv4 addresses to countries.

This product includes GeoLite data created by MaxMind, available from
http://www.maxmind.com/"
GeoIP-GeoLite-data-extra,应用,其它,Free GeoLite IP geolocation databases,"The GeoLite databases are free IP geolocation databases. This package contains
databases that map IPv6 addresses to countries, plus IPv4 and IPv6 addresses
to cities and autonomous system numbers.

This product includes GeoLite data created by MaxMind, available from
http://www.maxmind.com/"
geoipupdate,应用,系统,Update GeoIP2 and GeoIP Legacy binary databases from MaxMind,"The GeoIP Update program performs automatic updates of GeoIP2 and GeoIP
Legacy binary databases."
gflags,应用,系统,Library for commandline flag processing,"The gflags package contains a library that implements commandline
flags processing. As such it's a replacement for getopt(). It has
increased flexibility, including built-in support for C++ types like
string, and the ability to define flags in the source file in which
they're used."
gfs2-utils,应用,系统,Utilities for managing the global file system (GFS2),"The gfs2-utils package contains a number of utilities for creating, checking,
modifying, and correcting inconsistencies in GFS2 file systems."
ghc-srpm-macros,系统,应用,RPM macros for building Haskell source packages,Macros used when generating Haskell source RPM packages.
ghostscript-tools-dvipdf,应用,其它,Ghostscript's 'dvipdf' utility,"This package provides the utility 'dvipdf' for converting of TeX DVI files into
PDF files using Ghostscript and dvips."
ghostscript-tools-fonts,应用,其它,Ghostscript's font utilities,"This package provides utilities which are useful when you are working with AFM,
PFB or PFA files, mostly for conversion purposes."
ghostscript-tools-printing,应用,系统,Ghostscript's printing utilities,"This package provides utilities for formatting and printing text files using
either Ghostscript, or BubbleJet, DeskJet, DeskJet 500, and LaserJet printers.

It also provides the utility 'pphs', which is useful for printing of Primary
Hint Stream of a linearized PDF file."
git,应用,系统,Fast Version Control System,"Git is a fast, scalable, distributed revision control system with an
unusually rich command set that provides both high-level operations
and full access to internals.

The git rpm installs common set of tools which are usually using with
small amount of dependencies. To install all git packages, including
tools for integrating with other SCMs, install the git-all meta-package."
git-all,应用,核心,Meta-package to pull in all git tools,"Git is a fast, scalable, distributed revision control system with an
unusually rich command set that provides both high-level operations
and full access to internals.

This is a dummy package which brings in all subpackages."
git-core,应用,系统,Core package of git with minimal functionality,"Git is a fast, scalable, distributed revision control system with an
unusually rich command set that provides both high-level operations
and full access to internals.

The git-core rpm installs really the core tools with minimal
dependencies. Install git package for common set of tools.
To install all git packages, including tools for integrating with
other SCMs, install the git-all meta-package."
git-daemon,应用,系统,Git protocol daemon,The git daemon for supporting git:// access to git repositories
git-gui,应用,核心,Graphical interface to Git,Graphical interface to Git.
git-instaweb,应用,核心,Repository browser in gitweb,"A simple script to set up gitweb and a web server for browsing the local
repository."
gitk,应用,核心,Git repository browser,Git repository browser.
git-subtree,应用,核心,Git tools to merge and split repositories,"Git subtrees allow subprojects to be included within a subdirectory
of the main project, optionally including the subproject's entire
history."
git-svn,应用,系统,Git tools for interacting with Subversion repositories,Git tools for interacting with Subversion repositories.
gitweb,应用,系统,Simple web interface to git repositories,Simple web interface to git repositories.
perl-Git,应用,系统,Perl interface to Git,Perl interface to Git.
perl-Git-SVN,应用,系统,Perl interface to Git::SVN,Perl interface to Git::SVN.
glib2-fam,系统,核心,FAM monitoring module for GIO,The glib2-fam package contains the FAM (File Alteration Monitor) module for GIO.
glib2-static,系统,核心,glib static,The glib2-static subpackage contains static libraries for glib2.
glibc,核心,系统,The GNU libc libraries,"The glibc package contains standard libraries which are used by
multiple programs on the system. In order to save disk space and
memory, as well as to make upgrading easier, common system code is
kept in one place and shared between programs. This particular package
contains the most important sets of shared libraries: the standard C
library and the standard math library. Without these two libraries, a
Linux system will not function."
glibc-headers,核心,系统,Header files for development using standard C libraries.,"The glibc-headers package contains the header files necessary
for developing programs which use the standard C libraries (which are
used by nearly all programs).  If you are developing programs which
will use the standard C libraries, your system needs to have these
standard header files available in order to create the
executables.

Install glibc-headers if you are going to develop programs which will
use the standard C libraries."
glibc-locale-source,核心,系统,The sources for the locales,"The sources for all locales provided in the language packs.
If you are building custom locales you will most likely use
these sources as the basis for your new locale."
glibc-utils,核心,系统,Development utilities from GNU C library,"The glibc-utils package contains memusage, a memory usage profiler,
mtrace, a memory leak tracer and xtrace, a function call tracer
which can be helpful during program debugging.

If unsure if you need this, don't install this package."
glusterfs-cli,应用,系统,GlusterFS CLI,"GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides the GlusterFS CLI application and its man page"
glusterfs-libs,应用,系统,GlusterFS common libraries,"GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides the base GlusterFS libraries"
glusterfs-rdma,应用,系统,GlusterFS rdma support for ib-verbs,"GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides support to ib-verbs library."
gmp,核心,系统,A GNU arbitrary precision library,"The gmp package contains GNU MP, a library for arbitrary precision
arithmetic, signed integers operations, rational numbers and floating
point numbers. GNU MP is designed for speed, for both small and very
large operands. GNU MP is fast because it uses fullwords as the basic
arithmetic type, it uses fast algorithms, it carefully optimizes
assembly code for many CPUs' most common inner loops, and it generally
emphasizes speed over simplicity/elegance in its operations.

Install the gmp package if you need a fast arbitrary precision
library."
gmp-c++,核心,应用,C++ bindings for the GNU MP arbitrary precision library,Bindings for using the GNU MP arbitrary precision library in C++ applications.
gnome-desktop3,应用,核心,"Shared code among gnome-panel, gnome-session, nautilus, etc","
The gnome-desktop3 package contains an internal library
(libgnomedesktop) used to implement some portions of the GNOME
desktop, and also some data files and other shared components of the
GNOME user environment."
gnome-disk-utility,应用,核心,Disks,"This package contains the Disks and Disk Image Mounter applications.
Disks supports partitioning, file system creation, encryption,
fstab/crypttab editing, ATA SMART and other features"
gnome-keyring-pam,应用,核心,Pam module for unlocking keyrings,"The gnome-keyring-pam package contains a pam module that can
automatically unlock the ""login"" keyring when the user logs in."
gnome-remote-desktop,应用,系统,GNOME Remote Desktop screen share service,"GNOME Remote Desktop is a remote desktop and screen sharing service for the
GNOME desktop environment."
gnome-session,应用,核心,GNOME session manager,"gnome-session manages a GNOME desktop or GDM login session. It starts up
the other core GNOME components and handles logout and saving the session."
gnome-session-kiosk-session,应用,核心,Desktop file for mutter based kiosk session,Desktop file to add basic session used for setting up kiosk applications.
gnome-themes-standard,应用,核心,Standard themes for GNOME applications,"The gnome-themes-standard package contains the standard theme for the GNOME
desktop, which provides default appearance for cursors, desktop background,
window borders and GTK+ applications."
gnu-efi,系统,应用,Development Libraries and headers for EFI,"This package contains development headers and libraries for developing
applications that run under EFI (Extensible Firmware Interface)."
gnupg2,系统,应用,Utility for secure communication and data storage,"GnuPG is GNU's tool for secure communication and data storage.  It can
be used to encrypt data and to create digital signatures.  It includes
an advanced key management facility and is compliant with the proposed
OpenPGP Internet standard as described in RFC2440 and the S/MIME
standard as described by several RFCs.

GnuPG 2.0 is a newer version of GnuPG with additional support for
S/MIME.  It has a different design philosophy that splits
functionality up into several modules. The S/MIME and smartcard functionality
is provided by the gnupg2-smime package."
gnupg2-smime,系统,应用,CMS encryption and signing tool and smart card support for GnuPG,"GnuPG is GNU's tool for secure communication and data storage. This
package adds support for smart cards and S/MIME encryption and signing
to the base GnuPG package"
gnuplot-common,应用,系统,The common gnuplot parts,"Gnuplot is a command-line driven, interactive function plotting
program especially suited for scientific data representation.  Gnuplot
can be used to plot functions and data points in both two and three
dimensions and in many different formats.

This subpackage contains common parts needed for all versions of gnuplot."
python3-google-api-client,应用,系统,Google APIs Client Library for Python,"Written by Google, this library provides a small, flexible, and powerful
Python 3 client library for accessing Google APIs."
go-srpm-macros,系统,应用,RPM macros for building Golang packages for various architectures,"The package provides macros for building projects in Go
on various architectures."
gpac-static,应用,核心,Development libraries and files for gpac,Static library for gpac.
gpgme,系统,应用,GnuPG Made Easy - high level crypto API,"GnuPG Made Easy (GPGME) is a library designed to make access to GnuPG
easier for applications.  It provides a high-level crypto API for
encryption, decryption, signing, signature verification and key
management."
gpgmepp,系统,应用,C++ bindings/wrapper for GPGME,C++ bindings/wrapper for GPGME.
qgpgme,系统,应用,Qt API bindings/wrapper for GPGME,Qt API bindings/wrapper for GPGME.
gpm-libs,系统,核心,Dynamic library for gpm,"This package contains the libgpm.so dynamic library which contains
the gpm system calls and library functions."
grafana,应用,系统,Metrics dashboard and graph editor,"Grafana is an open source, feature rich metrics dashboard and graph editor for
Graphite, InfluxDB & OpenTSDB."
grafana-pcp,应用,系统,Performance Co-Pilot Grafana Plugin,"This Grafana plugin for Performance Co-Pilot includes datasources for
scalable time series from pmseries(1) and Redis, live PCP metrics and
bpftrace scripts from pmdabpftrace(1), as well as several dashboards."
greenboot-default-health-checks,系统,核心,Series of optional and curated health checks,Series of optional and curated health checks.
groff,应用,核心,A document formatting system,"Groff is a document formatting system. Groff takes standard text and
formatting commands as input and produces formatted output. The
created documents can be shown on a display or printed on a printer.
Groff's formatting commands allow you to specify font type and size,
bold type, italic type, the number and size of columns on a page, and
more.

Groff can also be used to format man pages. If you are going to use
groff with the X Window System, you will also need to install the
groff-x11 package."
groff-base,应用,系统,Parts of the groff formatting system required to display manual pages,"The groff-base package contains only necessary parts of groff formatting
system which are required to display manual pages, and the groff's default
display device (PostScript)."
grub2-efi-aa64-modules,系统,应用,Modules used to build custom grub.efi images,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for rebuilding your own grub.efi."
grub2-efi-ia32,系统,应用,GRUB for EFI systems.,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for efi-ia32 systems."
grub2-efi-ia32-cdboot,系统,应用,Files used to boot removeable media with EFI,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides optional components of grub used with removeable media on efi-ia32 systems."
grub2-efi-x64,系统,应用,GRUB for EFI systems.,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for efi-x64 systems."
grub2-efi-x64-cdboot,系统,应用,Files used to boot removeable media with EFI,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides optional components of grub used with removeable media on efi-x64 systems."
grub2-efi-x64-modules,系统,应用,Modules used to build custom grub.efi images,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for rebuilding your own grub.efi."
grub2-pc,系统,应用,"Bootloader with support for Linux, Multiboot, and more","
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for %{1} systems."
grub2-pc-modules,系统,应用,Modules used to build custom grub images,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for rebuilding your own grub.efi."
grub2-tools-extra,系统,应用,Support tools for GRUB.,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of all platforms."
grub2-tools-minimal,系统,应用,Support tools for GRUB.,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of all platforms."
grubby,系统,核心,Command line tool for updating BootLoaderSpec files,"This package provides a grubby compatibility script that manages
BootLoaderSpec files and is meant to only be used for legacy compatibility
users with existing grubby users."
gsm,应用,核心,Shared libraries for GSM speech compressor,"Contains runtime shared libraries for libgsm, an implementation of
the European GSM 06.10 provisional standard for full-rate speech
transcoding, prI-ETS 300 036, which uses RPE/LTP (residual pulse
excitation/long term prediction) coding at 13 kbit/s.

GSM 06.10 compresses frames of 162 13-bit samples (8 kHz sampling
rate, i.e. a frame rate of 50 Hz) into 260 bits; for compatibility
with typical UNIX applications, our implementation turns frames of 160
16-bit linear samples into 33-byte frames (1650 Bytes/s).
The quality of the algorithm is good enough for reliable speaker
recognition; even music often survives transcoding in recognizable
form (given the bandwidth limitations of 8 kHz sampling rate).

The interfaces offered are a front end modelled after compress(1), and
a library API.  Compression and decompression run faster than realtime
on most SPARCstations.  The implementation has been verified against the
ETSI standard test patterns."
gssdp,应用,系统,Resource discovery and announcement over SSDP,"GSSDP implements resource discovery and announcement over SSDP and is part
of gUPnP.  GUPnP is an object-oriented open source framework for creating
UPnP devices and control points, written in C using GObject and libsoup. The
GUPnP API is intended to be easy to use, efficient and flexible."
gssntlmssp,应用,系统,GSSAPI NTLMSSP Mechanism,A GSSAPI Mechanism that implements NTLMSSP
gssproxy,应用,核心,GSSAPI Proxy,A proxy for GSSAPI credential handling
gstreamer,应用,系统,GStreamer streaming media framework runtime,"GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plugins."
gstreamer1,应用,系统,GStreamer streaming media framework runtime,"GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plugins."
gstreamer1-plugins-base,应用,系统,GStreamer streaming media framework base plugins,"GStreamer is a streaming media framework, based on graphs of filters which
operate on media data. Applications using this library can do anything
from real-time sound processing to playing videos, and just about anything
else media-related.  Its plugin-based architecture means that new data
types or processing capabilities can be added simply by installing new
plug-ins.

This package contains a set of well-maintained base plug-ins."
gtk2,系统,应用,GTK+ graphical user interface library,"GTK+ is a multi-platform toolkit for creating graphical user
interfaces. Offering a complete set of widgets, GTK+ is suitable for
projects ranging from small one-off tools to complete application
suites."
gtk2-devel-docs,系统,应用,Developer documentation for GTK+,This package contains developer documentation for the GTK+ widget toolkit.
gtk2-immodules,系统,应用,Input methods for GTK+,"The gtk2-immodules package contains standalone input methods that are shipped
as part of GTK+."
gtk2-immodule-xim,系统,应用,XIM support for GTK+,The gtk2-immodule-xim package contains XIM support for GTK+.
gtk3,系统,应用,GTK+ graphical user interface library,"GTK+ is a multi-platform toolkit for creating graphical user
interfaces. Offering a complete set of widgets, GTK+ is suitable for
projects ranging from small one-off tools to complete application
suites.

This package contains version 3 of GTK+."
gtk3-immodule-xim,系统,应用,XIM support for GTK+,The gtk3-immodule-xim package contains XIM support for GTK+ 3.
gtk-update-icon-cache,系统,应用,Icon theme caching utility,"GTK+ can use the cache files created by gtk-update-icon-cache to avoid a lot of
system call and disk seek overhead when the application starts. Since the
format of the cache files allows them to be mmap()ed shared between multiple
applications, the overall memory consumption is reduced as well."
gtkmm24,系统,应用,C++ interface for GTK2 (a GUI library for X),"gtkmm provides a C++ interface to the GTK+ GUI library. gtkmm2 wraps GTK+ 2.
Highlights include typesafe callbacks, widgets extensible via inheritance
and a comprehensive set of widget classes that can be freely combined to
quickly create complex user interfaces."
gtkmm24-docs,系统,应用,"Documentation for gtkmm24, includes full API docs",This package contains the full API documentation for gtkmm24.
gtkmm30,系统,应用,C++ interface for the GTK+ library,"gtkmm is the official C++ interface for the popular GUI library GTK+.
Highlights include type safe callbacks, and a comprehensive set of
widgets that are easily extensible via inheritance."
gvnc,应用,系统,A GObject for VNC connections,"gvnc is a GObject for managing a VNC connection. It provides all the
infrastructure required to build a VNC client without having to deal
with the raw protocol itself."
gupnp-av,系统,应用,A collection of helpers for building UPnP AV applications,"GUPnP is an object-oriented open source framework for creating UPnP
devices and control points, written in C using GObject and libsoup.
The GUPnP API is intended to be easy to use, efficient and flexible.

GUPnP-AV is a collection of helpers for building AV (audio/video)
applications using GUPnP."
