name,label,text,y,summary,description,y_predict
python3-pyatspi,库," Python3 bindings for at-spi  at-spi allows assistive technologies to access GTK-based  applications. Essentially it exposes the internals of applications for  automation, so tools such as screen readers, magnifiers, or even  scripting interfaces can query and interact with GUI controls.    This package includes a python3 client library for at-spi.",0, Python3 bindings for at-spi," at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This package includes a python3 client library for at-spi.",0
rubygem-rspec-core,库, Rspec-2 runner and formatters  Behaviour Driven Development for Ruby.,0, Rspec-2 runner and formatters, Behaviour Driven Development for Ruby.,0
libuv,库, libuv is a multi-platform support library with a focus on asynchronous I/O.  libuv is a multi-platform support library with a focus on asynchronous I/O,0, libuv is a multi-platform support library with a focus on asynchronous I/O., libuv is a multi-platform support library with a focus on asynchronous I/O,0
anolis-release,其它,Anolis OS 8 release file  Anolis OS 8 release files ,3,Anolis OS 8 release file ,Anolis OS 8 release files ,3
netcf-libs,库, Libraries for netcf  The libraries for netcf.,0, Libraries for netcf, The libraries for netcf.,0
xmvn-api,库, XMvn API  This package provides XMvn API module which contains public interface  for functionality implemented by XMvn Core.,0, XMvn API," This package provides XMvn API module which contains public interface
for functionality implemented by XMvn Core.",0
mingw32-freetype-static,库, Static version of the MinGW Windows Freetype library  Static version of the MinGW Windows Freetype library.,0, Static version of the MinGW Windows Freetype library, Static version of the MinGW Windows Freetype library.,0
libecap,库," Squid interface for embedded adaptation modules  eCAP is a software interface that allows a network application, such as an  HTTP proxy or an ICAP server, to outsource content analysis and adaptation to  a loadable module. For each applicable protocol message being processed, an  eCAP-enabled host application supplies the message details to the adaptation  module and gets back an adapted message, a ""not interested"" response, or a  ""block this message now!"" instruction. These exchanges often include message  bodies.    The adaptation module can also exchange meta-information with the host  application to supply additional details such as configuration options, a  reason behind the decision to ignore a message, or a detected virus name.    If you are familiar with the ICAP protocol (RFC 3507), then you may think of  eCAP as an ""embedded ICAP"", where network interactions with an ICAP server are  replaced with function calls to an adaptation module.",0, Squid interface for embedded adaptation modules," eCAP is a software interface that allows a network application, such as an
HTTP proxy or an ICAP server, to outsource content analysis and adaptation to
a loadable module. For each applicable protocol message being processed, an
eCAP-enabled host application supplies the message details to the adaptation
module and gets back an adapted message, a ""not interested"" response, or a
""block this message now!"" instruction. These exchanges often include message
bodies.

The adaptation module can also exchange meta-information with the host
application to supply additional details such as configuration options, a
reason behind the decision to ignore a message, or a detected virus name.

If you are familiar with the ICAP protocol (RFC 3507), then you may think of
eCAP as an ""embedded ICAP"", where network interactions with an ICAP server are
replaced with function calls to an adaptation module.",0
jaf,库, JavaBeans Activation Framework  The JavaBeans Activation Framework (JAF) is a standard extension to the  Java platform that lets you take advantage of standard services to:  determine the type of an arbitrary piece of data; encapsulate access to it;  discover the operations available on it; and instantiate the appropriate  bean to perform the operation(s).,0, JavaBeans Activation Framework," The JavaBeans Activation Framework (JAF) is a standard extension to the
Java platform that lets you take advantage of standard services to:
determine the type of an arbitrary piece of data; encapsulate access to it;
discover the operations available on it; and instantiate the appropriate
bean to perform the operation(s).",0
isomd5sum,工具, Utilities for working with md5sum implanted in ISO images  The isomd5sum package contains utilities for implanting and verifying  an md5sum implanted into an ISO9660 image.,1, Utilities for working with md5sum implanted in ISO images," The isomd5sum package contains utilities for implanting and verifying
an md5sum implanted into an ISO9660 image.",1
perl-List-MoreUtils,库, Provide the stuff missing in List::Util  List::MoreUtils provides some trivial but commonly needed functionality  on lists that is not going to go into List::Util.,0, Provide the stuff missing in List::Util," List::MoreUtils provides some trivial but commonly needed functionality
on lists that is not going to go into List::Util.",0
tog-pegasus-libs,库, The OpenPegasus Libraries  The OpenPegasus libraries.,0, The OpenPegasus Libraries, The OpenPegasus libraries.,0
baobab,工具," A graphical directory tree analyzer  Baobab is able to scan either specific directories or the whole filesystem, in  order to give the user a graphical tree representation including each  directory size or percentage in the branch.  It also auto-detects in real-time  any change made to your home folder as far as any mounted/unmounted device.",1, A graphical directory tree analyzer," Baobab is able to scan either specific directories or the whole filesystem, in
order to give the user a graphical tree representation including each
directory size or percentage in the branch.  It also auto-detects in real-time
any change made to your home folder as far as any mounted/unmounted device.",1
boost-regex,库, Run-time component of boost regular expression library    Run-time support for boost regular expression library.,0, Run-time component of boost regular expression library," 
Run-time support for boost regular expression library.",0
fcitx-table-chinese,工具, Chinese table of Fcitx  The fcitx-table-chinese package provides other Chinese table for Fcitx.,1, Chinese table of Fcitx, The fcitx-table-chinese package provides other Chinese table for Fcitx.,1
python38-lxml,库," XML processing library combining libxml2/libxslt with the ElementTree API  lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It  provides safe and convenient access to these libraries using the ElementTree It  extends the ElementTree API significantly to offer support for XPath, RelaxNG,  XML Schema, XSLT, C14N and much more.To contact the project, go to the project  home page < or see our bug tracker at case you want to use the current ...    Python 3 version.",0, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 3 version.",0
langpacks-ta,其它, Tamil langpacks meta-package  This package provides Tamil langpacks meta-package.,3, Tamil langpacks meta-package, This package provides Tamil langpacks meta-package.,3
dpdk-tools,工具, Tools for setting up Data Plane Development Kit environment  Tools for setting up Data Plane Development Kit environment,1, Tools for setting up Data Plane Development Kit environment, Tools for setting up Data Plane Development Kit environment,1
python3-ldap,库," An object-oriented API to access LDAP directory servers  python-ldap provides an object-oriented API for working with LDAP within  Python programs.  It allows access to LDAP directory servers by wrapping the  OpenLDAP 2.x libraries, and contains modules for other LDAP-related tasks  (including processing LDIF, LDAPURLs, LDAPv3 schema, etc.).",0, An object-oriented API to access LDAP directory servers," python-ldap provides an object-oriented API for working with LDAP within
Python programs.  It allows access to LDAP directory servers by wrapping the
OpenLDAP 2.x libraries, and contains modules for other LDAP-related tasks
(including processing LDIF, LDAPURLs, LDAPv3 schema, etc.).",0
samba-common-tools,工具, Tools for Samba servers and clients  The samba-common-tools package contains tools for Samba servers and  SMB/CIFS clients.,1, Tools for Samba servers and clients," The samba-common-tools package contains tools for Samba servers and
SMB/CIFS clients.",1
hyphen-or,库, Odia hyphenation rules  Odia hyphenation rules.,0, Odia hyphenation rules, Odia hyphenation rules.,0
testng-javadoc,库, API documentation for testng  This package contains the API documentation for testng.,0, API documentation for testng, This package contains the API documentation for testng.,0
texlive-ctablestack,工具, Catcode table stable support  This package provides a method for defining category code table  stacks in LuaTeX. It builds on code provided by the 2015/10/01  release of LaTeX2e (also available as ltluatex.sty for plain  users). It is required by the luatexbase package (v1.0 onward)  which uses ctablestack to provide a back-compatibility form of  this concept.,1, Catcode table stable support," This package provides a method for defining category code table
stacks in LuaTeX. It builds on code provided by the 2015/10/01
release of LaTeX2e (also available as ltluatex.sty for plain
users). It is required by the luatexbase package (v1.0 onward)
which uses ctablestack to provide a back-compatibility form of
this concept.",1
perl-Object-HashBase,库," Build hash-based classes  This package is used to generate classes based on hash references. Using this  class will give you a new() method, as well as generating accessors you  request.  Generated accessors will be getters, set_ACCESSOR setters will also  be generated for you. You also get constants for each accessor (all caps)  which return the key into the hash for that accessor. Single inheritance is  also supported.",0, Build hash-based classes," This package is used to generate classes based on hash references. Using this
class will give you a new() method, as well as generating accessors you
request.  Generated accessors will be getters, set_ACCESSOR setters will also
be generated for you. You also get constants for each accessor (all caps)
which return the key into the hash for that accessor. Single inheritance is
also supported.",0
geronimo-parent-poms,库, Parent POM files for geronimo-specs  The Project Object Model files for the geronimo-specs modules.,0, Parent POM files for geronimo-specs, The Project Object Model files for the geronimo-specs modules.,0
kde-filesystem,工具, KDE filesystem layout  This package provides some directories that are required/used by KDE.,1, KDE filesystem layout, This package provides some directories that are required/used by KDE.,1
saab-fonts,其它, Free Punjabi Unicode OpenType Serif Font  This package provides a free OpenType Punjabi (Gurmukhi) Serif font.  Developed by Bhupinder Singh.,3, Free Punjabi Unicode OpenType Serif Font," This package provides a free OpenType Punjabi (Gurmukhi) Serif font.
Developed by Bhupinder Singh.",3
libvirt-dbus,库, libvirt D-Bus API binding  This package provides D-Bus API for libvirt,0, libvirt D-Bus API binding, This package provides D-Bus API for libvirt,0
libertas-usb8388-olpc-firmware,其它,OLPC firmware for Marvell Libertas USB 8388 Network Adapter  Firmware for Marvell Libertas USB 8388 Network Adapter with OLPC mesh network  support. ,3,OLPC firmware for Marvell Libertas USB 8388 Network Adapter ,"Firmware for Marvell Libertas USB 8388 Network Adapter with OLPC mesh network
support. ",3
gtkspell3,工具, On-the-fly spell checking for GtkTextView widgets  GtkSpell provides word-processor-style highlighting and replacement of  misspelled words in a GtkTextView widget as you type. Right-clicking a  misspelled word pops up a menu of suggested replacements.,1, On-the-fly spell checking for GtkTextView widgets," GtkSpell provides word-processor-style highlighting and replacement of
misspelled words in a GtkTextView widget as you type. Right-clicking a
misspelled word pops up a menu of suggested replacements.",1
rsyslog-pgsql,服务, PostgresSQL support for rsyslog  The rsyslog-pgsql package contains a dynamic shared object that will add  PostgreSQL database support to rsyslog.,2, PostgresSQL support for rsyslog," The rsyslog-pgsql package contains a dynamic shared object that will add
PostgreSQL database support to rsyslog.",2
wqy-microhei-fonts,其它," Compact Chinese fonts derived from Droid  A new Sans Serif CJK font derived from Google's ""Droid Sans Fallback""  and covers the entire GBK code points (20932 Han glyphs).",3, Compact Chinese fonts derived from Droid," A new Sans Serif CJK font derived from Google's ""Droid Sans Fallback""
and covers the entire GBK code points (20932 Han glyphs).",3
rsyslog-gssapi,服务, GSSAPI authentication and encryption support for rsyslog  The rsyslog-gssapi package contains the rsyslog plugins which support GSSAPI  authentication and secure connections. GSSAPI is commonly used for Kerberos  authentication.,2, GSSAPI authentication and encryption support for rsyslog," The rsyslog-gssapi package contains the rsyslog plugins which support GSSAPI
authentication and secure connections. GSSAPI is commonly used for Kerberos
authentication.",2
gcc-toolset-11-libgccjit,库, Library for embedding GCC inside programs and libraries  This package contains shared library with GCC 11 JIT front-end.,0, Library for embedding GCC inside programs and libraries, This package contains shared library with GCC 11 JIT front-end.,0
libpmemlog,库, Persistent Memory Resident Log File library  The libpmemlog library provides a pmem-resident log file. This is  useful for programs like databases that append frequently to a log  file.,0, Persistent Memory Resident Log File library," The libpmemlog library provides a pmem-resident log file. This is
useful for programs like databases that append frequently to a log
file.",0
python3-jwt,库," JSON Web Token implementation in Python  A Python implementation of JSON Web Token draft 01. This library provides a  means of representing signed content using JSON data structures, including  claims to be transferred between two parties encoded as digitally signed and  encrypted JSON objects.",0, JSON Web Token implementation in Python," A Python implementation of JSON Web Token draft 01. This library provides a
means of representing signed content using JSON data structures, including
claims to be transferred between two parties encoded as digitally signed and
encrypted JSON objects.",0
libedit,库,"The NetBSD Editline library  Libedit is an autotool- and libtoolized port of the NetBSD Editline library.  It provides generic line editing, history, and tokenization functions, similar  to those found in GNU Readline. ",0,The NetBSD Editline library ,"Libedit is an autotool- and libtoolized port of the NetBSD Editline library.
It provides generic line editing, history, and tokenization functions, similar
to those found in GNU Readline. ",0
istack-commons-runtime,库, istack-commons runtime  This package contains istack-commons runtime.,0, istack-commons runtime, This package contains istack-commons runtime.,0
texlive-rcs,工具," Use RCS (revision control system) tags in LaTeX documents  The rcs package utilizes the inclusion of RCS supplied data in  LaTeX documents. It's upward compatible to *all* rcs styles I  know of. In particular, you can easily - access values of every  RCS field in your document - put the checkin date on the  titlepage - put RCS fields in a footline You can typeset  revision logs. Not in verbatim -- real LaTeX text! But you need  a configurable RCS for that. Refer to the user manual for more  detailed information. You can also configure the rcs package  easily to do special things for any keyword. This bundle comes  with a user manual, an internal interface description, full  documentation of the implementation, style information for AUC-  TeX, and test cases.",1, Use RCS (revision control system) tags in LaTeX documents," The rcs package utilizes the inclusion of RCS supplied data in
LaTeX documents. It's upward compatible to *all* rcs styles I
know of. In particular, you can easily - access values of every
RCS field in your document - put the checkin date on the
titlepage - put RCS fields in a footline You can typeset
revision logs. Not in verbatim -- real LaTeX text! But you need
a configurable RCS for that. Refer to the user manual for more
detailed information. You can also configure the rcs package
easily to do special things for any keyword. This bundle comes
with a user manual, an internal interface description, full
documentation of the implementation, style information for AUC-
TeX, and test cases.",1
sssd-nfs-idmap,库,SSSD plug-in for NFSv4 rpc.idmapd  The libnfsidmap sssd module provides a way for rpc.idmapd to call SSSD to map  UIDs/GIDs to names and vice versa. It can be also used for mapping principal  (user) name to IDs(UID or GID) or to obtain groups which user are member of. ,0,SSSD plug-in for NFSv4 rpc.idmapd ,"The libnfsidmap sssd module provides a way for rpc.idmapd to call SSSD to map
UIDs/GIDs to names and vice versa. It can be also used for mapping principal
(user) name to IDs(UID or GID) or to obtain groups which user are member of. ",0
python3-html5lib,库, A python based HTML parser/tokenizer  A python based HTML parser/tokenizer based on the WHATWG HTML5  specification for maximum compatibility with major desktop web browsers.,0, A python based HTML parser/tokenizer," A python based HTML parser/tokenizer based on the WHATWG HTML5
specification for maximum compatibility with major desktop web browsers.",0
plexus-i18n,库," Plexus I18N Component  The Plexus project seeks to create end-to-end developer tools for  writing applications. At the core is the container, which can be  embedded or for a full scale application server. There are many  reusable components for hibernate, form processing, jndi, i18n,  velocity, etc. Plexus also includes an application server which  is like a J2EE application server, without all the baggage.",0, Plexus I18N Component," The Plexus project seeks to create end-to-end developer tools for
writing applications. At the core is the container, which can be
embedded or for a full scale application server. There are many
reusable components for hibernate, form processing, jndi, i18n,
velocity, etc. Plexus also includes an application server which
is like a J2EE application server, without all the baggage.",0
perl-Perl-OSType,库," Map Perl operating system names to generic types  Modules that provide OS-specific behaviors often need to know if the current  operating system matches a more generic type of operating systems. For example,  'linux' is a type of 'Unix' operating system and so is 'freebsd'.    This module provides a mapping between an operating system name as given by $^O  and a more generic type. The initial version is based on the OS type mappings  provided in Module::Build and ExtUtils::CBuilder (thus, Microsoft operating  systems are given the type 'Windows' rather than 'Win32').",0, Map Perl operating system names to generic types," Modules that provide OS-specific behaviors often need to know if the current
operating system matches a more generic type of operating systems. For example,
'linux' is a type of 'Unix' operating system and so is 'freebsd'.

This module provides a mapping between an operating system name as given by $^O
and a more generic type. The initial version is based on the OS type mappings
provided in Module::Build and ExtUtils::CBuilder (thus, Microsoft operating
systems are given the type 'Windows' rather than 'Win32').",0
cockpit-podman,服务, Cockpit component for Podman containers  The Cockpit user interface for Podman containers.,2, Cockpit component for Podman containers, The Cockpit user interface for Podman containers.,2
pcp-testsuite,库, Performance Co-Pilot (PCP) test suite  Quality assurance test suite for Performance Co-Pilot (PCP).,0, Performance Co-Pilot (PCP) test suite, Quality assurance test suite for Performance Co-Pilot (PCP).,2
python-nose-docs,库, Nose Documentation  Documentation for Nose.,0, Nose Documentation, Documentation for Nose.,0
jq,工具," Command-line JSON processor  lightweight and flexible command-line JSON processor     jq is like sed for JSON data _ you can use it to slice   and filter and map and transform structured data with   the same ease that sed, awk, grep and friends let you   play with text.     It is written in portable C, and it has zero runtime   dependencies.     jq can mangle the data format that you have into the   one that you want with very little effort, and the   program to do so is often shorter and simpler than   you'd expect.",1, Command-line JSON processor," lightweight and flexible command-line JSON processor

 jq is like sed for JSON data _ you can use it to slice
 and filter and map and transform structured data with
 the same ease that sed, awk, grep and friends let you
 play with text.

 It is written in portable C, and it has zero runtime
 dependencies.

 jq can mangle the data format that you have into the
 one that you want with very little effort, and the
 program to do so is often shorter and simpler than
 you'd expect.",0
acpid,服务, ACPI Event Daemon  acpid is a daemon that dispatches ACPI events to user-space programs.,2, ACPI Event Daemon, acpid is a daemon that dispatches ACPI events to user-space programs.,2
libsysfs,库,Shared library for interfacing with sysfs  Library used in handling linux kernel sysfs mounts and their various files. ,0,Shared library for interfacing with sysfs ,Library used in handling linux kernel sysfs mounts and their various files. ,0
rsyslog-omamqp1,服务, AMQP1 support for rsyslog  The rsyslog-omamqp1 package contains a dynamic shared object that will add  AMQP1 support to rsyslog.,2, AMQP1 support for rsyslog," The rsyslog-omamqp1 package contains a dynamic shared object that will add
AMQP1 support to rsyslog.",0
python39-psutil,库," A process and system utilities module for Python  psutil is a module providing an interface for retrieving information on all  running processes and system utilization (CPU, memory, disks, network, users) in  a portable way by using Python 3, implementing many functionalities offered by  command line tools such as: ps, top, df, kill, free, lsof, free, netstat,  ifconfig, nice, ionice, iostat, iotop, uptime, pidof, tty, who, taskset, pmap.",0, A process and system utilities module for Python," psutil is a module providing an interface for retrieving information on all
running processes and system utilization (CPU, memory, disks, network, users) in
a portable way by using Python 3, implementing many functionalities offered by
command line tools such as: ps, top, df, kill, free, lsof, free, netstat,
ifconfig, nice, ionice, iostat, iotop, uptime, pidof, tty, who, taskset, pmap.",0
java-11-openjdk-src,库, OpenJDK 11 Source Bundle  The java-11-openjdk-src sub-package contains the complete OpenJDK 11  class library source code for use by IDE indexers and debuggers.,0, OpenJDK 11 Source Bundle," The java-11-openjdk-src sub-package contains the complete OpenJDK 11
class library source code for use by IDE indexers and debuggers.",0
maven-doxia-module-latex,工具, Latex module for maven-doxia  This package provides Latex module for maven-doxia.,1, Latex module for maven-doxia, This package provides Latex module for maven-doxia.,1
qt5-qtconnectivity-examples,库, Programming examples for qt5-qtconnectivity  Programming examples for qt5-qtconnectivity.,0, Programming examples for qt5-qtconnectivity, Programming examples for qt5-qtconnectivity.,0
jdepend,库," Java Design Quality Metrics  JDepend traverses a set of Java class and source file directories and  generates design quality metrics for each Java package. JDepend allows  you to automatically measure the quality of a design in terms of its  extensibility, reusability, and maintainability to effectively manage  and control package dependencies.",0, Java Design Quality Metrics," JDepend traverses a set of Java class and source file directories and
generates design quality metrics for each Java package. JDepend allows
you to automatically measure the quality of a design in terms of its
extensibility, reusability, and maintainability to effectively manage
and control package dependencies.",0
ibus-table-chinese-quick,工具," Quick-to-learn input methods  Quick-to-learn is based on Cangjie input method,  but only need Canjie's first and last word-root  to form a character.    Includes:  Quick3, Quick5 and Quick-Classic,  and Smart Cangjie 6.",1, Quick-to-learn input methods," Quick-to-learn is based on Cangjie input method,
but only need Canjie's first and last word-root
to form a character.

Includes:
Quick3, Quick5 and Quick-Classic,
and Smart Cangjie 6.",1
glibc-locale-source,库,The sources for the locales  The sources for all locales provided in the language packs.  If you are building custom locales you will most likely use  these sources as the basis for your new locale. ,0,The sources for the locales ,"The sources for all locales provided in the language packs.
If you are building custom locales you will most likely use
these sources as the basis for your new locale. ",1
pacemaker-cluster-libs,服务," Cluster Libraries used by Pacemaker  Pacemaker is an advanced, scalable High-Availability cluster resource  manager.    The pacemaker-cluster-libs package contains cluster-aware shared  libraries needed for nodes that will form part of the cluster nodes.",2, Cluster Libraries used by Pacemaker," Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

The pacemaker-cluster-libs package contains cluster-aware shared
libraries needed for nodes that will form part of the cluster nodes.",0
libvma,库," A library for boosting TCP and UDP traffic (over RDMA hardware)  libvma is a LD_PRELOAD-able library that boosts performance of TCP and  UDP traffic. It allows application written over standard socket API to  handle fast path data traffic from user space over Ethernet and/or  Infiniband with full network stack bypass and get better throughput,  latency and packets/sec rate.    No application binary change is required for that.  libvma is supported by RDMA capable devices that support ""verbs""  IBV_QPT_RAW_PACKET QP for Ethernet and/or IBV_QPT_UD QP for IPoIB.",0, A library for boosting TCP and UDP traffic (over RDMA hardware)," libvma is a LD_PRELOAD-able library that boosts performance of TCP and
UDP traffic. It allows application written over standard socket API to
handle fast path data traffic from user space over Ethernet and/or
Infiniband with full network stack bypass and get better throughput,
latency and packets/sec rate.

No application binary change is required for that.
libvma is supported by RDMA capable devices that support ""verbs""
IBV_QPT_RAW_PACKET QP for Ethernet and/or IBV_QPT_UD QP for IPoIB.",0
boost-mpich,库," Run-time component of Boost.MPI library    Run-time support for Boost.MPI-MPICH, a library providing a clean C++  API over the MPICH implementation of MPI.",0, Run-time component of Boost.MPI library," 
Run-time support for Boost.MPI-MPICH, a library providing a clean C++
API over the MPICH implementation of MPI.",0
amanda-client,工具, The client component of the AMANDA tape backup system  The Amanda-client package should be installed on any machine that will  be backed up by AMANDA (including the server if it also needs to be  backed up).  You will also need to install the amanda package on each  AMANDA client machine.,1, The client component of the AMANDA tape backup system," The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine.",2
jackson-databind,库," General data-binding package for Jackson (2.x)  The general-purpose data-binding functionality and tree-model for Jackson Data  Processor. It builds on core streaming parser/generator package, and uses  Jackson Annotations for configuration.",0, General data-binding package for Jackson (2.x)," The general-purpose data-binding functionality and tree-model for Jackson Data
Processor. It builds on core streaming parser/generator package, and uses
Jackson Annotations for configuration.",0
oddjob,工具, A D-Bus service which runs odd jobs on behalf of client applications  oddjob is a D-Bus service which performs particular tasks for clients which  connect to it and issue requests using the system-wide message bus.,1, A D-Bus service which runs odd jobs on behalf of client applications," oddjob is a D-Bus service which performs particular tasks for clients which
connect to it and issue requests using the system-wide message bus.",2
gedit-plugin-wordcompletion,工具, gedit wordcompletion plugin  The gedit wordcompletion plugin.,1, gedit wordcompletion plugin, The gedit wordcompletion plugin.,2
deepin-log-viewer,工具, Log Viewer is a useful tool for viewing system logs  Log Viewer is a useful tool for viewing system logs.,1, Log Viewer is a useful tool for viewing system logs, Log Viewer is a useful tool for viewing system logs.,1
perl-Getopt-Long,库," Extended processing of command line options  The Getopt::Long module implements an extended getopt function called  GetOptions(). It parses the command line from @ARGV, recognizing and removing  specified options and their possible values.  It adheres to the POSIX syntax  for command line options, with GNU extensions. In general, this means that  options have long names instead of single letters, and are introduced with  a double dash ""--"". Support for bundling of command line options, as was the  case with the more traditional single-letter approach, is provided but not  enabled by default.",0, Extended processing of command line options," The Getopt::Long module implements an extended getopt function called
GetOptions(). It parses the command line from @ARGV, recognizing and removing
specified options and their possible values.  It adheres to the POSIX syntax
for command line options, with GNU extensions. In general, this means that
options have long names instead of single letters, and are introduced with
a double dash ""--"". Support for bundling of command line options, as was the
case with the more traditional single-letter approach, is provided but not
enabled by default.",0
man-pages-overrides,库," Complementary and updated manual pages  A collection of manual (""man"") pages to complement other packages or update  those contained therein. Always have the latest version of this package  installed.",0, Complementary and updated manual pages," A collection of manual (""man"") pages to complement other packages or update
those contained therein. Always have the latest version of this package
installed.",1
mpg123,库," Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3  Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3 (most  commonly MPEG 1.0 layer 3 aka MP3), as well as re-usable decoding and output  libraries.",0," Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3"," Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3 (most
commonly MPEG 1.0 layer 3 aka MP3), as well as re-usable decoding and output
libraries.",0
modello,工具," Modello Data Model toolkit  Modello is a Data Model toolkit in use by the Apache Maven Project.    Modello is a framework for code generation from a simple model.  Modello generates code from a simple model format based on a plugin  architecture, various types of code and descriptors can be generated  from the single model, including Java POJOs, XML  marshallers/unmarshallers, XSD and documentation.",1, Modello Data Model toolkit," Modello is a Data Model toolkit in use by the Apache Maven Project.

Modello is a framework for code generation from a simple model.
Modello generates code from a simple model format based on a plugin
architecture, various types of code and descriptors can be generated
from the single model, including Java POJOs, XML
marshallers/unmarshallers, XSD and documentation.",1
libnetfilter_conntrack,库, Netfilter conntrack userspace library  libnetfilter_conntrack is a userspace library providing a programming  interface (API) to the in-kernel connection tracking state table.,0, Netfilter conntrack userspace library," libnetfilter_conntrack is a userspace library providing a programming
interface (API) to the in-kernel connection tracking state table.",0
NetworkManager-ovs,服务,Open vSwitch device plugin for NetworkManager  This package contains NetworkManager support for Open vSwitch bridges. ,2,Open vSwitch device plugin for NetworkManager ,This package contains NetworkManager support for Open vSwitch bridges. ,2
tesseract-langpack-est,工具, Estonian language data for tesseract-tessdata  This package contains the fast integer version of the Estonian language  trained models for the Tesseract Open Source OCR Engine.,1, Estonian language data for tesseract-tessdata," This package contains the fast integer version of the Estonian language
trained models for the Tesseract Open Source OCR Engine.",1
integritysetup,工具,A utility for setting up dm-integrity volumes  The integritysetup package contains a utility for setting up  disk integrity protection using dm-integrity kernel module. ,1,A utility for setting up dm-integrity volumes ,"The integritysetup package contains a utility for setting up
disk integrity protection using dm-integrity kernel module. ",1
fence-agents-lpar,服务, Fence agent for IBM LPAR  Fence agent for IBM LPAR devices that are accessed via telnet or SSH.,2, Fence agent for IBM LPAR, Fence agent for IBM LPAR devices that are accessed via telnet or SSH.,2
deepin-image-viewer,工具, Deepin Image Viewer  Deepin Image Viewer.,1, Deepin Image Viewer, Deepin Image Viewer.,1
java-11-alibaba-dragonwell-devel-slowdebug,库, Alibaba Dragonwell11 Runtime Environment devel slowdebug  Alibaba Dragonwell11 Runtime Environment devel slowdebug,0, Alibaba Dragonwell11 Runtime Environment devel slowdebug, Alibaba Dragonwell11 Runtime Environment devel slowdebug,0
python38-ply,库," Python Lex-Yacc  PLY is a straightforward lex/yacc implementation. Here is a list of its  essential features:  * It is implemented entirely in Python.  * It uses LR-parsing which is reasonably efficient and well suited for larger    grammars.  * PLY provides most of the standard lex/yacc features including support    for empty productions, precedence rules, error recovery, and support    for ambiguous grammars.  * PLY is straightforward to use and provides very extensive error checking.  * PLY doesn't try to do anything more or less than provide the basic lex/yacc    functionality. In other words, it's not a large parsing framework or a    component of some larger system.    Python 3 version.",0, Python Lex-Yacc," PLY is a straightforward lex/yacc implementation. Here is a list of its
essential features:
* It is implemented entirely in Python.
* It uses LR-parsing which is reasonably efficient and well suited for larger
  grammars.
* PLY provides most of the standard lex/yacc features including support
  for empty productions, precedence rules, error recovery, and support
  for ambiguous grammars.
* PLY is straightforward to use and provides very extensive error checking.
* PLY doesn't try to do anything more or less than provide the basic lex/yacc
  functionality. In other words, it's not a large parsing framework or a
  component of some larger system.

Python 3 version.",0
gnome-bluetooth-libs,库, GTK+ Bluetooth device selection widgets  This package contains libraries needed for applications that  want to display a Bluetooth device selection widget.,0, GTK+ Bluetooth device selection widgets," This package contains libraries needed for applications that
want to display a Bluetooth device selection widget.",0
google-noto-naskh-arabic-fonts,其它, Naskh Arabic font  Noto fonts aims to remove tofu from web by providing fonts for all  Unicode supported scripts. Its design goal is to achieve visual harmonization  between multiple scripts. Noto family supports almost all scripts available  in Unicode.    Noto Naskh font for Arabic.,3, Naskh Arabic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Naskh font for Arabic.",3
python39-mod_wsgi,库," A WSGI interface for Python web applications in Apache  The mod_wsgi adapter is an Apache module that provides a WSGI compliant  interface for hosting Python based web applications within Apache. The  adapter is written completely in C code against the Apache C runtime and  for hosting WSGI applications within Apache has a lower overhead than using  existing WSGI adapters for mod_python or CGI.    Only one Python 3 version of mod_wsgi can be loaded at the same time in httpd,  therefore this package conflicts with the other versions available.",0, A WSGI interface for Python web applications in Apache," The mod_wsgi adapter is an Apache module that provides a WSGI compliant
interface for hosting Python based web applications within Apache. The
adapter is written completely in C code against the Apache C runtime and
for hosting WSGI applications within Apache has a lower overhead than using
existing WSGI adapters for mod_python or CGI.

Only one Python 3 version of mod_wsgi can be loaded at the same time in httpd,
therefore this package conflicts with the other versions available.",0
hunspell-mr,工具, Marathi hunspell dictionaries  Marathi hunspell dictionaries.,1, Marathi hunspell dictionaries, Marathi hunspell dictionaries.,1
