pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
gnome-autoar,"
Archive library.","
gnome-autoar is a GObject based library for handling archives.",archive library ,archives autoar library gnome gobject ,archive library ,gobject base library handle gnome-autoar ,0,桌面
kf5-kdelibs4support,"
Runtime libraries for kf5-kdelibs4support.
KDE Frameworks 5 Tier 4 module with porting aid from KDELibs 4.","
Runtime libraries for kf5-kdelibs4support.
This framework provides code and utilities to ease the transition from kdelibs 4
to KDE Frameworks 5. This includes CMake macros and C++ classes whose
functionality has been replaced by code in CMake, Qt and other frameworks.",kdelibs4support kf5 frameworks ,kdelibs4support cmake kf5 libraries frameworks ,runtime library kf5-kdelibs4support ,code cmake utility ease framework ,0,桌面
atlas,"
Automatically Tuned Linear Algebra Software.
ATLAS libraries for Corei2 (Ivy/Sandy bridge) CPUs.","
The ATLAS (Automatically Tuned Linear Algebra Software) project is an
ongoing research effort f(ocusing on applying empirical techniques in
order to provide portable performance. At present, it provides C and
Fortran77 interfaces to a portably efficient BLAS implementation, as
well as a few routines from LAPACK.

The performance improvements in ATLAS are obtained largely via
compile-time optimizations and tend to be specific to a given hardware
configuration. In order to package ATLAS some compromises
are necessary so that good performance can be obtained on a variety
of hardware. This set of ATLAS binary packages is therefore not
necessarily optimal for any specific hardware configuration.  However,
the source package can be used to compile customized ATLAS packages;
see the documentation for information.
This package contains the ATLAS (Automatically Tuned Linear Algebra
Software) libraries compiled with optimizations for the Corei2 (Ivy/Sandy bridge)
CPUs. The base ATLAS builds for the x86_64 architecture are made for the hammer64 CPUs.",cpus libraries atlas ,atlas blas fortran77 compile cpus ,library corei2 ivy/sandy ,atlas package optimization compile performance ,0,系统工具
e2fsprogs,"
Ext2/3/4 file system specific shared libraries.
Common error description library.
Utilities for managing ext2, ext3, and ext4 file systems.
Command line interface parsing library.","
E2fsprogs-libs contains libe2p and libext2fs, the libraries of the
e2fsprogs package.

These libraries are used to directly access ext2/3/4 file systems
from user space.
This is the common error description library, part of e2fsprogs.

libcom_err is an attempt to present a common error-handling mechanism.
The e2fsprogs package contains a number of utilities for creating,
checking, modifying, and correcting any inconsistencies in second,
third and fourth extended (ext2/ext3/ext4) file systems. E2fsprogs
contains e2fsck (used to repair file system inconsistencies after an
unclean shutdown), mke2fs (used to initialize a partition to contain
an empty ext2 file system), debugfs (used to examine the internal
structure of a file system, to manually repair a corrupted
file system, or to create test cases for e2fsck), tune2fs (used to
modify file system parameters), and most of the other core ext2fs
file system utilities.

You should install the e2fsprogs package if you need to manage the
performance of an ext2, ext3, or ext4 file system.
This is libss, a command line interface parsing library, part of e2fsprogs.

This package includes a tool that parses a command table to generate
a simple command-line interface parser, the include files needed to
compile and use it.

It was originally inspired by the Multics SubSystem library.",ext2 libraries file ,e2fsprogs ext2fs e2fsck libext2fs libcom_err ,library file system ,file system library e2fsprogs package ,0,系统工具
fuse,"
File System in Userspace (FUSE) v2 utilities.
File System in Userspace (FUSE) v3 utilitie.
Common files for File System in Userspace (FUSE) v2 and v3.
File System in Userspace (FUSE) v2 libraries.
File System in Userspace (FUSE) v3 libraries.","
With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v2 userspace tools to
mount a FUSE filesystem.
With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v3 userspace tools to
mount a FUSE filesystem.
Common files for FUSE v2 and FUSE v3.
Devel With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v2 libraries.
Devel With FUSE it is possible to implement a fully functional filesystem in a
userspace program. This package contains the FUSE v3 libraries.",fuse files userspace ,fuse filesystem userspace libraries functional ,file system userspace ,fuse userspace filesystem fully implement ,0,系统工具
gcc-toolset-10-elfutils,"
Library and command line client for build-id HTTP ELF/DWARF server.
Library to read and write ELF files.
Libraries to handle compiled objects.
A collection of utilities and DSOs to handle ELF files and DWARF data.","
The elfutils-debuginfod-client package contains shared libraries
dynamically loaded from -ldw, which use a debuginfod service
to look up debuginfo and associated data. Also includes a
command-line frontend.
The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files.
The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.
Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections).",libraries elf server ,elfutils elfcompress libraries debuginfod file ,handle file library ,file package library program symbol ,0,系统工具
gcc-toolset-11-elfutils,"
Library and command line client for build-id HTTP ELF/DWARF server.
Library to read and write ELF files.
Libraries to handle compiled objects.
A collection of utilities and DSOs to handle ELF files and DWARF data.","
The elfutils-debuginfod-client package contains shared libraries
dynamically loaded from -ldw, which use a debuginfod service
to look up debuginfo and associated data. Also includes a
command-line frontend.
The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files.
The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.
Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections).",libraries elf server ,elfutils elfcompress libraries debuginfod file ,handle file library ,file package library program symbol ,0,系统工具
gcc-toolset-9-elfutils,"
Library to read and write ELF files.
Libraries to handle compiled objects.
A collection of utilities and DSOs to handle ELF files and DWARF data.","
The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files.
The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling.  These libraries are used by the programs
in the elfutils package.  The elfutils-devel package enables building
other programs using these libraries.
Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections).",libraries elf utilities ,elfutils elfcompress libraries elf files ,file handle dsos ,file package program library symbol ,0,系统工具
gettext,"
GNU libraries and utilities for producing multi-lingual messages.
Libraries for gettext.","
The GNU gettext package provides a set of tools and documentation for
producing multi-lingual messages in programs. Tools include a set of
conventions about how programs should be written to support message
catalogs, a directory and file naming organization for the message
catalogs, a runtime library which supports the retrieval of translated
messages, and stand-alone programs for handling the translatable and
the already translated strings. Gettext provides an easy to use
library and tools for creating, using, and modifying natural language
catalogs and is a powerful and simple method for internationalizing
programs.
This package contains libraries used internationalization support.",lingual gettext libraries ,gettext lingual gnu internationalizing documentation ,library utility produce ,program message catalog library support ,0,系统工具
keyutils,"
Linux Key Management Utilities.
Key utilities library.","
Utilities to control the kernel key management facility and to provide
a mechanism by which the kernel call back to user space to get a key
instantiated.
This package provides a wrapper library for the key management facility system
calls.",key linux utilities ,kernel key utilities library mechanism ,linux management utilities ,management call kernel facility provide ,0,系统工具
lua,"
Libraries for lua.","
This package contains the shared libraries for lua.",libraries lua ,lua libraries shared package contains ,libraries ,package contain shared library ,0,系统工具
mingw-gettext,"
GNU libraries and utilities for producing multi-lingual messages.
Static version of the MinGW Windows Gettext library.
GNU libraries and utilities for producing multi-lingual messages.
Static version of the MinGW Windows Gettext library.","
MinGW Windows Gettext library
Static version of the MinGW Windows Gettext library.
MinGW Windows Gettext library
Static version of the MinGW Windows Gettext library.",gnu lingual gettext ,gettext mingw library windows static ,library version mingw ,mingw windows gettext library static ,0,系统工具
openldap,"
LDAP client utilities.
LDAP support libraries.","
OpenLDAP is an open-source suite of LDAP (Lightweight Directory Access
Protocol) applications and development tools. LDAP is a set of
protocols for accessing directory services (usually phone book style
information, but other information is possible) over the Internet,
similar to the way DNS (Domain Name System) information is propagated
over the Internet. The openldap-clients package contains the client
programs needed for accessing and modifying OpenLDAP directories.
OpenLDAP is an open source suite of LDAP (Lightweight Directory Access
Protocol) applications and development tools. LDAP is a set of
protocols for accessing directory services (usually phone book style
information, but other information is possible) over the Internet,
similar to the way DNS (Domain Name System) information is propagated
over the Internet. The openldap package contains configuration files,
libraries, and documentation for OpenLDAP.",ldap libraries client ,openldap ldap libraries protocols dns ,ldap client utility ,openldap access directory information contain ,0,系统工具
xcb-util,"
Convenience libraries sitting on top of libxcb.","
The xcb-util module provides a number of libraries which sit on top of
libxcb, the core X protocol library, and some of the extension
libraries. These experimental libraries provide convenience functions
and interfaces which make the raw X protocol more usable. Some of the
libraries also provide client-side code which is not strictly part of
the X protocol but which have traditionally been provided by Xlib.",libxcb libraries convenience ,libxcb xcb xlib protocol libraries ,convenience library libxcb ,provide protocol library function code ,0,系统工具
zstd,"
Zstd shared library.","
Zstandard compression shared library.",zstd library shared ,compression zstandard library shared ,zstd share library ,zstandard compression share library ,0,系统工具
atk,"
Interfaces for accessibility support.","
The ATK library provides a set of interfaces for adding accessibility
support to applications and graphical user interface toolkits. By
supporting the ATK interfaces, an application or toolkit can be used
with tools such as screen readers, magnifiers, and alternative input
devices.",accessibility interfaces support ,accessibility atk toolkits interface library ,interfaces accessibility support ,interface application support reader screen ,0,系统库
atkmm,"
C++ interface for the ATK library.","
atkmm provides a C++ interface for the ATK library. Highlights
include typesafe callbacks, widgets extensible via inheritance and a
comprehensive set of widget classes that can be freely combined to
quickly create complex user interfaces.",atk library interface ,atkmm widgets interface library callbacks ,interface library ,widget interface quickly combine freely ,0,系统库
cairomm,"
C++ API for the cairo graphics library.","
Cairomm is the C++ API for the cairo graphics library. It offers all the power
of cairo with an interface familiar to C++ developers, including use of the
Standard Template Library where it makes sense.",cairo graphics api ,cairomm cairo library graphics template ,cairo graphic library ,cairo library familiar standard developer ,0,系统库
dbus-glib,"
GLib bindings for D-Bus.","

D-Bus add-on library to integrate the standard D-Bus library with
the GLib thread abstraction and main loop.",glib bindings bus ,glib library bus abstraction add ,glib binding d-bus ,library glib d-bus thread standard ,0,系统库
gnu-efi,"
Development Libraries and headers for EFI.","
This package contains development headers and libraries for developing
applications that run under EFI (Extensible Firmware Interface).",efi libraries headers ,efi firmware development interface libraries ,development libraries header ,library develop header application development ,0,系统库
gobject-introspection,"
Introspection system for GObject-based libraries.","
GObject Introspection can scan C header and source files in order to
generate introspection ""typelib"" files.  It also provides an API to examine
typelib files, useful for creating language bindings among other
things.",gobject libraries introspection ,typelib gobject files introspection api ,introspection system gobject-based ,file typelib create useful introspection ,0,系统库
libaio,"
Linux-native asynchronous I/O access library.","
The Linux-native asynchronous I/O facility (""async I/O"", or ""aio"") has a
richer API and capability set than the simple POSIX async I/O facility.
This library, libaio, provides the Linux-native API for async I/O.
The POSIX async I/O facility requires this library in order to provide
kernel-accelerated async I/O capabilities, as do applications which
require the Linux-native async I/O API.",asynchronous linux access ,async linux api native posix ,linux-native asynchronous access ,async capability facility linux-native provide ,0,系统库
libappstream-glib,"
Library for AppStream metadata.","
This library provides GObjects and helper methods to make it easy to read and
write AppStream metadata. It also provides a simple DOM implementation that
makes it easy to edit nodes and convert to and from the standardized XML
representation.",appstream metadata library ,appstream xml library gobjects metadata ,library appstream metadata ,easy make provide edit method ,0,系统库
libassuan,"
GnuPG IPC library.","
This is the IPC library used by GnuPG 2, GPGME and a few other
packages.",gnupg ipc library ,ipc gnupg gpgme library packages ,gnupg library ,library gnupg gpgme package ,0,系统库
libbluray,"
Library to access Blu-Ray disks for video playback.","
This package is aiming to provide a full portable free open source Blu-Ray
library, which can be plugged into popular media players to allow full Blu-Ray
navigation and playback on Linux. It will eventually be compatible with all
current titles, and will be easily portable and embeddable in standard players
such as MPlayer and VLC.",blu disks library ,blu playback library vlc linux ,access blu-ray disk ,portable full blu-ray player easily ,0,系统库
libbpf,"
Libbpf library.","
A mirror of bpf-next linux tree bpf-next/tools/lib/bpf directory plus its
supporting header files. The version of the package reflects the version of
ABI.",libbpf library ,bpf abi lib linux package ,libbpf library ,bpf-next/tools/lib/bpf directory tree plus version ,0,系统库
libdc1394,"
1394-based digital camera control library.","
Libdc1394 is a library that is intended to provide a high level programming
interface for application developers who wish to control IEEE 1394 based
cameras that conform to the 1394-based Digital Camera Specification.",camera 1394 library ,libdc1394 camera 1394 library ieee ,digital camera control ,high ieee level control program ,0,系统库
libgudev,"
GObject-based wrapper library for libudev.","
This library makes it much simpler to use libudev from programs
already using GObject. It also makes it possible to easily use libudev
from other programming languages, such as Javascript, because of
GObject introspection support.",libudev gobject wrapper ,libudev gobject library javascript introspection ,gobject-based wrapper library ,libudev program make gobject language ,0,系统库
libidn,"
Internationalized Domain Name support library.","
GNU Libidn is an implementation of the Stringprep, Punycode and
IDNA specifications defined by the IETF Internationalized Domain
Names (IDN) working group, used for internationalized domain
names.",domain internationalized library ,libidn gnu idn stringprep domain ,internationalized domain name ,internationalized domain idna specification define ,0,系统库
libiec61883,"
Streaming library for IEEE1394.","
The libiec61883 library provides an higher level API for streaming DV,
MPEG-2 and audio over IEEE1394.  Based on the libraw1394 isochronous
functionality, this library acts as a filter that accepts DV-frames,
MPEG-2 frames or audio samples from the application and breaks these
down to isochronous packets, which are transmitted using libraw1394.",streaming ieee1394 library ,mpeg streaming ieee1394 libiec61883 library ,streaming library ieee1394 ,library mpeg-2 isochronous audio level ,0,系统库
libjpeg-turbo,"
A MMX/SSE2/SIMD accelerated library for manipulating JPEG image files.
Utilities for manipulating JPEG images.
TurboJPEG library.","
The libjpeg-turbo package contains a library of functions for manipulating JPEG
images.
The libjpeg-turbo-utils package contains simple client programs for accessing
the libjpeg functions. It contains cjpeg, djpeg, jpegtran, rdjpgcom and
wrjpgcom. Cjpeg compresses an image file into JPEG format. Djpeg decompresses a
JPEG file into a regular image file. Jpegtran can perform various useful
transformations on JPEG files. Rdjpgcom displays any text comments included in a
JPEG file. Wrjpgcom inserts text comments into a JPEG file.
The turbojpeg package contains the TurboJPEG shared library.",jpeg turbojpeg sse2 ,jpeg jpegtran libjpeg turbojpeg library ,library manipulate jpeg ,jpeg contain file package function ,0,系统库
libnetfilter_cthelper,"
User-space infrastructure for connection tracking helpers.","
This library provides the infrastructure for the user-space helper
infrastructure available since the Linux kernel 3.6.",tracking infrastructure helpers ,linux library helper infrastructure space ,user-space infrastructure connection ,infrastructure helper user-space available since ,0,系统库
libnftnl,"
Library for low-level interaction with nftables Netlink's API over libmnl.","
A library for low-level interaction with nftables Netlink's API over libmnl.",netlink nftables libmnl ,netlink nftables libmnl library api ,low-level interaction nftables ,low-level interaction nftables netlink library ,0,系统库
liboauth,"
OAuth library functions.","
liboauth is a collection of POSIX-c functions implementing the OAuth
Core RFC 5849 standard. liboauth provides functions to escape and
encode parameters according to OAuth specification and offers
high-level functionality to sign requests or verify OAuth signatures
as well as perform HTTP requests.",oauth library functions ,liboauth oauth rfc functions sign ,oauth library function ,oauth function request encode verify ,0,系统库
libpsl,"
C library for the Publix Suffix List.","
libpsl is a C library to handle the Public Suffix List. A ""public suffix"" is a
domain name under which Internet users can directly register own names.

Browsers and other web clients can use it to

- Avoid privacy-leaking ""supercookies"";
- Avoid privacy-leaking ""super domain"" certificates;
- Domain highlighting parts of the domain in a user interface;
- Sorting domain lists by site;

Libpsl...

- has built-in PSL data for fast access;
- allows to load PSL data from files;
- checks if a given domain is a ""public suffix"";
- provides immediate cookie domain verification;
- finds the longest public part of a given domain;
- finds the shortest private part of a given domain;
- works with international domains (UTF-8 and IDNA2008 Punycode);
- is thread-safe;
- handles IDNA2008 UTS#46;",publix suffix library ,libpsl domains suffix privacy cookie ,library publix suffix ,domain public part give suffix ,0,系统库
libqrtr-glib,"
Support library to use and manage the QRTR (Qualcomm IPC Router) bus..","
This package contains the libraries that make it easier to use and
manage the QRTR (Qualcomm IPC Router) bus.",qrtr qualcomm ipc ,qrtr qualcomm router ipc libraries ,library manage qrtr ,easy make manage library qrtr ,0,系统库
librepo,"
Repodata downloading library.
Python 3 bindings for the librepo library.","
A library providing C and Python (libcURL like) API to downloading repository
metadata.
Python 3 bindings for the librepo library.",librepo library repodata ,repository libcurl librepo library metadata ,library python binding ,python libcurl like library download ,0,系统库
libsmbios,"
Libsmbios C/C++ shared libraries.","
Libsmbios is a library and utilities that can be used by client programs to get
information from standard BIOS tables, such as the SMBIOS table.

This package provides the C-based libsmbios library, with a C interface.",libsmbios libraries shared ,libsmbios smbios bios library tables ,libsmbios c/c++ share ,library libsmbios information program standard ,0,系统库
libtirpc,"
Transport Independent RPC Library.","
This package contains SunLib's implementation of transport-independent
RPC (TI-RPC) documentation.  This library forms a piece of the base of
Open Network Computing (ONC), and is derived directly from the
Solaris 2.3 source.

TI-RPC is an enhanced version of TS-RPC that requires the UNIX System V
Transport Layer Interface (TLI) or an equivalent X/Open Transport Interface
(XTI).  TI-RPC is on-the-wire compatible with the TS-RPC, which is supported
by almost 70 vendors on all major operating systems.  TS-RPC source code
(RPCSRC 4.0) remains available from several internet sites.",rpc transport library ,rpc sunlib solaris unix transport ,transport independent library ,ts-rpc ti-rpc system source open ,0,系统库
libusb,"
A library which allows userspace access to USB devices.","
This package provides a way for applications to access USB devices.
Legacy libusb-0.1 is no longer supported by upstream, therefore content of this
package was replaced by libusb-compat. It provides compatibility layer allowing
applications written for libusb-0.1 to work with libusb-1.0.",usb userspace library ,libusb usb package supported legacy ,library allow userspace ,application libusb-0.1 package therefore upstream ,0,系统库
libusbx,"
Library for accessing USB devices.","
This package provides a way for applications to access USB devices.

Libusbx is a fork of the original libusb, which is a fully API and ABI
compatible drop in for the libusb-1.0.9 release. The libusbx fork was
started by most of the libusb-1.0 developers, after the original libusb
project did not produce a new release for over 18 months.

Note that this library is not compatible with the original libusb-0.1 series,
if you need libusb-0.1 compatibility install the libusb package.",usb library devices ,libusbx libusb usb abi api ,library access device ,libusb original compatible libusb-0.1 package ,0,系统库
lua-filesystem,"
File System Library for the Lua Programming Language.","
LuaFileSystem is a Lua library developed to complement the set of functions
related to file systems offered by the standard Lua distribution.

LuaFileSystem offers a portable way to access the underlying directory
structure and file attributes.",lua library file ,luafilesystem lua file library portable ,file system library ,file offer underlying relate luafilesystem ,0,系统库
mozjs52,"
SpiderMonkey JavaScript library.","
SpiderMonkey is the code-name for Mozilla Firefox's C++ implementation of
JavaScript. It is intended to be embedded in other applications
that provide host environments for JavaScript.",spidermonkey javascript library ,spidermonkey firefox mozilla javascript implementation ,spidermonkey javascript library ,javascript application provide host code-name ,0,系统库
mozjs60,"
SpiderMonkey JavaScript library.","
SpiderMonkey is the code-name for Mozilla Firefox's C++ implementation of
JavaScript. It is intended to be embedded in other applications
that provide host environments for JavaScript.",spidermonkey javascript library ,spidermonkey firefox mozilla javascript implementation ,spidermonkey javascript library ,javascript application provide host code-name ,0,系统库
nettle,"
A low-level cryptographic library.","
Nettle is a cryptographic library that is designed to fit easily in more
or less any context: In crypto toolkits for object-oriented languages
(C++, Python, Pike, ...), in applications like LSH or GNUPG, or even in
kernel space.",cryptographic library low ,nettle crypto library toolkits gnupg ,low-level cryptographic library ,easily like less application context ,0,系统库
pygobject3,"
Python 3 bindings for GObject Introspection base package.","
This package provides the non-cairo specific bits of the GObject Introspection
library.",gobject bindings introspection ,gobject cairo library introspection bits ,binding gobject introspection ,non-cairo specific gobject provide introspection ,0,系统库
python-dbus-client-gen,"
Library for Generating D-Bus Client Code.","
This library contains a few methods that consume an XML specification
of a D-Bus interface and return classes or functions that may be useful
in constructing a python D-Bus client. The XML specification has the format
of the data returned by the Introspect() method
of the Introspectable interface.

Python 3 version.",bus library client ,xml python bus specification interface ,library generating d-bus ,return d-bus method specification interface ,0,系统库
trousers,"
TCG's Software Stack v1.2.
TrouSerS libtspi library.","
TrouSerS is an implementation of the Trusted Computing Group's Software Stack
(TSS) specification. You can use TrouSerS to write applications that make use
of your TPM hardware. TPM hardware can create, store and use RSA keys
securely (without ever being exposed in memory), verify a platform's software
state using cryptographic hashes and more.
The libtspi library for use in Trusted Computing enabled applications.",tcg libtspi library ,tpm trousers tss specification libtspi ,software stack v1.2 ,software computing trusted application trousers ,0,系统库
polkit,"
Libraries for polkit.
An authorization framework.
Development documentation for polkit.","
Libraries files for polkit.
polkit is a toolkit for defining and handling authorizations.  It is
used for allowing unprivileged processes to speak to privileged
processes.
Development documentation for polkit.",authorization polkit documentation ,polkit authorizations privileged documentation libraries ,polkit authorization framework ,polkit toolkit define handle authorization ,0,系统服务
go-gir-generator,"
Generate static golang bindings for GObject.","
Generate static golang bindings for GObject",gobject golang bindings ,gobject golang bindings static generate ,generate static golang ,generate static golang binding gobject ,1,golang语言
golang-github-alecthomas-template,"
Go's text/template package with newline elision.","
Go's text/template package with newline elision

This package contains library source intended for
building other packages which use import path with
github.com/alecthomas/template prefix.",newline template text ,template newline path packages import ,text/template package newline ,package building import contain library ,1,golang语言
golang-github-davecgh-go-spew,"
Deep pretty printer for Go data structures to aid in debug.","

Go-spew implements a deep pretty printer for Go data structures to aid in
debugging. A comprehensive suite of tests with 100% test coverage is
provided to ensure proper functionality.

This package contains library source intended for
building other packages which use import path with
github.com/davecgh/go-spew prefix.",printer debug pretty ,debugging spew printer tests path ,pretty printer data ,package coverage building pretty printer ,1,golang语言
golang-github-disintegration-imaging,"
Unit tests for golang-github-disintegration-imaging package.
Simple Go image processing package.","
Unit tests for golang-github-disintegration-imaging package.

This package contains unit tests for project
providing packages with github.com/disintegration/imaging prefix.
Simple Go image processing package.

This package contains library source intended for
building other packages which use import path with
github.com/disintegration/imaging prefix.",golang imaging tests ,golang packages tests github imaging ,package unit test ,package contain building github.com/disintegration/imaging test ,1,golang语言
golang-github-freetype,"
Freetype font rasterizer in the Go programming language.","
Freetype font rasterizer in the Go programming language

This package contains library source intended for
building other packages which use import path with
github.com/golang/freetype prefix.",freetype rasterizer font ,golang freetype rasterizer font packages ,freetype font rasterizer ,package language building contain programming ,1,golang语言
golang-github-nfnt-resize,"
Pure golang image resize.","
Pure golang image resize.

This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",golang resize image ,import_path golang resize image packages ,pure golang image ,package building import intend pure ,1,golang语言
golang-github-rickb777-plural,"
Simple Go API for pluralisation.","
Simple Go API for pluralisation

This package contains library source intended for
building other packages which use import path with
github.com/rickb777/plural prefix.",pluralisation api simple ,pluralisation prefix path packages api ,simple pluralisation ,package building import contain library ,1,golang语言
golang-gopkg-alecthomas-kingpin,"
A Go command line and flag parser.","
A Go command line and flag parser.

This package contains library source intended for
building other packages which use import path with
gopkg.in/alecthomas/kingpin.v2 prefix.",flag parser command ,gopkg import kingpin path parser ,command line flag ,package building import intend command ,1,golang语言
golang-x-sys,"
Go packages for low-level interaction with the operating system.","
Go packages for low-level interaction with the operating system

This package contains library source intended for
building other packages which use import path with
golang.org/x/sys prefix.",packages operating interaction ,golang packages sys library path ,package low-level interaction ,package contain building system import ,1,golang语言
golang-x-text,"
Go text processing support.","
Go text processing support

This package contains library source intended for
building other packages which use import path with
golang.org/x/text prefix.",text processing support ,golang prefix path text import ,text processing support ,package contain building import library ,1,golang语言
golang-x-xerrors,"
Transition packages for the new Go 1.13 error values.","
Transition packages for the new Go 1.13 error values

This package contains library source intended for
building other packages which use import path with
golang.org/x/xerrors prefix.",transition error packages ,golang xerrors packages path transition ,transition package error ,package building import contain library ,1,golang语言
java-17-openjdk,"
OpenJDK 17 Runtime Environment.
OpenJDK 17 Demos.
OpenJDK 17 Headless Runtime Environment.
OpenJDK 17 API documentation.
OpenJDK 17 API documentation compressed in a single archive.
JMods for OpenJDK 17.
OpenJDK 17 Source Bundle.
OpenJDK 17 libraries for static linking.","
The OpenJDK 17 runtime environment.
The OpenJDK 17 demos.
The OpenJDK 17 runtime environment without audio and video support.
The OpenJDK 17 API documentation.
The OpenJDK 17 API documentation compressed in a single archive.
The JMods for OpenJDK 17.
The java-17-openjdk-src sub-package contains the complete OpenJDK 17
class library source code for use by IDE indexers and debuggers.
The OpenJDK 17 libraries for static linking.",openjdk runtime documentation ,openjdk libraries runtime debuggers demos ,openjdk documentation compress ,openjdk library class complete source ,1,java
swig,"
Commands for easier debugging of SWIG.
Connects C/C++/Objective C to some high-level programming languages.","
This package contains file with commands for easier debugging of SWIG
in gdb.
Simplified Wrapper and Interface Generator (SWIG) is a software
development tool for connecting C, C++ and Objective C programs with a
variety of high-level programming languages.  SWIG is primarily used
with Perl, Python and Tcl/TK, but it has also been extended to Java,
Eiffel and Guile. SWIG is normally used to create high-level
interpreted programming environments, systems integration, and as a
tool for building user interfaces",swig debugging commands ,swig interface gdb debugging wrapper ,commands easy debugging ,swig tool high-level programming interface ,1,none
slf4j,"
JCL 1.1.1 implemented over SLF4J.
Simple Logging Facade for Java.","
JCL 1.1.1 implemented over SLF4J.
The Simple Logging Facade for Java or (SLF4J) is intended to serve
as a simple facade for various logging APIs allowing to the end-user
to plug in the desired implementation at deployment time. SLF4J also
allows for a gradual migration path away from
Jakarta Commons Logging (JCL).

Logging API implementations can either choose to implement the
SLF4J interfaces directly, e.g. NLOG4J or SimpleLogger. Alternatively,
it is possible (and rather easy) to write SLF4J adapters for the given
API implementation, e.g. Log4jLoggerAdapter or JDK14LoggerAdapter..",jcl slf4j logging ,log4jloggeradapter jdk14loggeradapter slf4j logging jcl ,simple logging facade ,slf4j implementation allow logging facade ,1,none
rust-toolset,"
Package that installs rust-toolset.","
This is the main package for rust-toolset.",toolset rust package ,toolset rust package main ,package install rust-toolset ,main package rust-toolset ,1,none
rust,"
Lints to catch common mistakes and improve your Rust code.
Rust Language Server for IDE integration.
GDB pretty printers for Rust.
LLDB pretty printers for Rust.
Sources for the Rust standard library.
Standard library for Rust.
Standard library for Rust wasm32-unknown-unknown.
Standard library for Rust wasm32-wasi.
Tool to find and fix Rust formatting issues.
Rust's package manager and build tool.
The Rust Programming Language.
Compiler analysis data for the Rust standard library.
Common debugger pretty printers for Rust.","
A collection of lints to catch common mistakes and improve your Rust code.
The Rust Language Server provides a server that runs in the background,
providing IDEs, editors, and other tools with information about Rust programs.
It supports functionality such as 'goto definition', symbol search,
reformatting, and code completion, and enables renaming and refactorings.
This package includes the rust-gdb script, which allows easier debugging of Rust
programs.
This package includes the rust-lldb script, which allows easier debugging of Rust
programs.
This package includes source files for the Rust standard library.  It may be
useful as a reference for code completion tools in various editors.
This package includes the standard libraries for building applications
written in Rust.
This package includes the standard libraries for building applications
written in Rust for the WebAssembly target wasm32-unknown-unknown.
This package includes the standard libraries for building applications
written in Rust for the WebAssembly target wasm32-wasi.
A tool for formatting Rust code according to style guidelines.
Cargo is a tool that allows Rust projects to declare their various dependencies
and ensure that you'll always get a repeatable build.
Rust is a systems programming language that runs blazingly fast, prevents
segfaults, and guarantees thread safety.

This package includes the Rust compiler and documentation generator.
This package contains analysis data files produced with rustc's -Zsave-analysis
feature for the Rust standard library. The RLS (Rust Language Server) uses this
data to provide information about the Rust standard library.
This package includes the common functionality for rust-gdb and rust-lldb.",rust compiler lints ,rust rustc compiler debugging documentation ,rust common standard ,rust code tool include package ,1,none
rubygem-bson,"
Ruby Implementation of the BSON specification.","
A full featured BSON specification implementation, in Ruby.",bson ruby specification ,bson ruby specification implementation featured ,ruby implementation bson ,featured bson specification implementation full ,1,none
